sl,name
1,NCTPS I - NCTPS II- Alamathy
2,Alamathy - Sunguvarchatram
3,Thiruvalam - Alamathy
4,Sriperumpudur - SPKOIL
5,SPKOIL - Villupuram
6,Suguvarchatram- Nokia
7,LILO portion of SIPCOT  IN SVC - NOKIA
8,NCTPS Stage II - Athipattu
9,LILO portion of Oragadam  in  SPR - Sp Koil
10,Nokia - Sriperumpudur
11,230 KADAPERI - Kalivanthapattu
12,230 KADAPERI - Porur
13,230 KADAPERI - Traction
15,Manali-ETPS
16,Manali - Korattur
17,S.P.Koil- OMEGA
18,Manali- Tondiarpet
19,Tondiarpet - Vyasarpadi
20,Vyasarpadi - Basin Bridge
21,Basin bridge - Pulianthope
22,Basin bridge - Tondiarpet
23,Basin bridge - Vyasarpadi
24,Basin bridge - TNEB HQ
25,Vyasarpadi - Vyasarapdi
26,Basin bridge - Pulianthope
27,Pulianthope - BBGTPH
28,CMRL Central - Pulianthope
29,Mosur -Kancheepuram
30,Sriperumpudur - Mosur (for thiruvalam link)
31,Mosur - Thiruvalam
32,Thiruvalam - Vellore RCE office
33,Taramani - KITS PARK SS
34,KITS PARK SS - Sholinganallur
35,Siruseri - Sholinganallur
36,KITS PARK SS - Sholinganallur
37,Korattur - Ambattur
38,Ambattur - Thirumangalam
39,Guindy SS - Porur
40,Guindy SS - Mambalam
41,RA Puram - Mambalam
42,Alandur GIS - Guindy SS
43,Guindy SS - Guindy SS
44,Alandur GIS - Airport
45,Pallavaram - Airport
46,Porur GIS - Chinmaya Nagar
47,Guindy SS - Koyambedu
48,Ambattur - TVKDU
49,Koyambedu (AIS) - Koyambedu CMRL (GIS)
50,Koyambedu CMRL (GIS) - Metrozone
51,Koyambedu CMRL (GIS) - Chinmayanagar
52,Metrozone - Thirumangalam
53,S.P.Koil - Chengalpet
54,NCTPS STAGE II - Vallur
55,NCTPS STAGE 1 - NCTPS STAGE 3
56,MANALI (GIS) - Pulianthope GIS
57,ENNORE - KATHIVAKKAM TRACTION
58,MANALI (GIS)- NCTPS STAGE 2
59,ThiruvalamKV- Thiruvalam
60,Koyambedu CMRL - Koyambedu AIS
61,Kilpauk - TNEB HQ
62,Neyveli Auto - NNTPS
63,Neyveli Auto - Neyveli TS II
64,Neyveli - Eachangadu
65,Ulundurpet - Neyveli TS II
66,Villupuram - Neyveli TS I
67,Villupuram - Villupuram RCE office
68,Trichy -Jambunathapuram
69,LILO of Trichy - Madurai at Alandur
70,LILO portion of  Alundur - Alagarkoil at TNPL
71,Sankarapuram - Thiruvannamalai
72,Sankarapuram - Ulundurpet
73,Neyveli -Kadalangudy
74,VILLUPURAM -SP kovil
75,Cuddalore -Ulundurpet
76,Cuddalore -NLC -TS2
77,Cuddalore -Veerapuram
78,ALAGAPURAM (RS) -PUGALUR
79,Alagapuram (RS)-Kalivanthapattu
80,Thanjavur-Tiruvarur
81,Thanjavur-Alundur
82,Thuvakudy -Vellalavidhuthi
83,Pudukkottai -Vellalavidhuthi
84,Mondipatty-Vellalavidhuthi( 3km yet to be laid at Mondipatty
85,Trichy -perambalur
86,Lilo of mondipatty -Vellalavidhuthi at Pudukkottai
87,LILO Of Trichy - Perambalur   at Jampunathapuram
88,LILO of Alundur -Thanjavur  at thuvakudy
89,LILO of Mondipatty -Vellalavidhuthi at Thuvakudy
90,Trichy kv -Erode kv
91,Alundur - Paramathi PGCIL
92,Pasumalai - K.Pudur RCE office
94,400 Kamudhi - 400 Karaikudi
95,Kamudhi - Thiruchuli
