Sl.NO,wkt_geom,gid,ss_name,volt_ratio,ss_type,ss_code,cir_code,region_id,cir_name,show
1,Point (78.02203552581606516 10.97915092919244451),276390,VEPPAMPALAYAM SS,110/11,Non-Grid,6120,443,6,KARUR,Y
2,Point (76.81345337408556873 11.40950930744251046),277071,KATTABETTU SS,110/11,NON GRID,1402,482,3,NILGIRIS,Y
3,Point (78.09322595425346947 10.92188200190594038),276388,THANTHONIMALAI SS,110/11,Non-Grid,6115,443,6,KARUR,Y
4,Point (78.0660125270767935 11.00103741321353468),276389,MANMANGALAM SS,110/11,Non-Grid,6112,443,6,KARUR,Y
5,Point (76.71105239859178937 11.32131518259367198),277073,ADIGARATTY SS,110/11,NON GRID,1408,482,3,NILGIRIS,Y
6,Point (78.73163201744314676 10.23276715029087391),276417,THIRUMAYAM,110/11,NONGRID,6312,446,6,PUDUKOTTAI,Y
7,Point (78.57880845929904012 10.3213105119427393),276416,KONNAIYUR,110/11,NONGRID,6304,446,6,PUDUKOTTAI,Y
8,Point (79.08701795955968805 10.28257269516902284),276421,KEERAMANGALAM,110/11,NONGRID,6314,446,6,PUDUKOTTAI,Y
9,Point (78.74842527667776437 10.62744693582112454),276419,T.NALLUR,110/11,NONGRID,6308,446,6,PUDUKOTTAI,Y
10,Point (78.71175362317679003 10.69989762004482436),276420,MATHUR,110/11,NONGRID,6305,446,6,PUDUKOTTAI,Y
11,Point (77.20790137896574379 11.38293529861470965),267600,KAVILIPALAYAM SS,110/11,NON GRID,4118,436,4,GOBI,Y
12,Point (77.36598330107200638 11.44595991471210183),267612,ALUKULI SS,110/11,NON GRID,4128,436,4,GOBI,Y
13,,267609,KOLAPPALUR,110/11,NON GRID,4115,436,4,GOBI,Y
14,Point (77.42596641853583606 11.34207668333144348),267610,KETTICHEVIYUR SS,110/11,NON GRID,4119,436,4,GOBI,Y
15,Point (76.77640695557471417 11.37571606188289053),277076,JAGATHALA SS,110/11,NON GRID,1404,482,3,NILGIRIS,Y
16,Point (77.21576519429967789 11.45691227091854891),267586,SHENBAGAPUDUR SS,110/11,NON GRID,4111,436,4,GOBI,Y
17,Point (77.43646686414460589 11.42182263831723787),267584,Gobi SS,110/11,NON GRID,4101,436,4,GOBI,Y
18,Point (77.18776106037118723 11.40036121224630605),267591,PUNGAMPALLY SS,110/11,NON GRID,4132,436,4,GOBI,Y
19,Point (77.16215770382861194 11.33988614999058164),267592,PULIYAMPATTI SS,110/11,NON GRID,4112,436,4,GOBI,Y
20,Point (77.15655301455974779 11.46254378628292869),267588,THOPPAMPALAYAM SS,110/11,NON GRID,4120,436,4,GOBI,Y
21,Point (77.007206118624282 11.54712956798977075),267589,GAZALATTY SS,110/11,NON GRID,4113,436,4,GOBI,N
22,Point (77.31924203619081482 11.42036213854886206),267596,KARATTUPALAYAM SS,110/11,NON GRID,4102,436,4,GOBI,Y
23,Point (77.4168868618240964 11.43281694954893268),267597,NALLAGOUNDANPALAYAM SS,110/11,NON GRID,4125,436,4,GOBI,Y
24,Point (80.21075014738235609 12.82233258198764148),273438,SIRUSERI SS,110/11,Grid,9419,401,9,Chennai-South 2,Y
25,Point (78.47393980725746587 12.05290003122033937),276567,HARUR SS,110/11,NON GRID,7112,420,8,DHARMAPURI,Y
26,Point (78.1206613010241 12.07822824165171127),276572,Adhiyamankotti,110/11,NON GRID,7109,420,8,DHARMAPURI,Y
27,Point (78.40183470524563347 12.08459848831957828),276585,Morappur,110/11,NON GRID,7186,420,8,DHARMAPURI,N
28,Point (78.15121838474179583 12.14027222724917543),276581,SOGATHUR,110/11,NON GRID,7177,420,8,DHARMAPURI,N
29,Point (79.67670811775930417 12.96186331491893817),276523,PALLUR SS,110/11,NON GRID,7414,412,8,VELLORE,Y
30,Point (79.40062682671330663 13.03823977189159855),276513,M.V.PURAM SS,110/11,NON GRID,7407,412,8,VELLORE,Y
31,Point (79.16660520622417607 12.94456187842092554),276528,SATHUVACHARI SS,110/11,Grid,7424,412,8,VELLORE,Y
32,Point (79.56999825422866479 13.08614453274311273),276525,SALAI SS,110/11,NON GRID,7412,412,8,VELLORE,Y
33,Point (79.72638996471525275 13.01776851123348955),276526,THAKKOLAM SS,110/11,NON GRID,7421,412,8,VELLORE,Y
34,Point (79.12025690947557166 12.877279121797784),276530,THORAPADI SS,110/11,Non-Grid,7442,412,8,VELLORE,Y
35,Point (79.1333456666930033 12.96174846127594016),276542,KATPADI SS,110/11,NONGRID,7433,412,8,VELLORE,Y
36,Point (80.10166889590210815 12.92904242164834017),273467,PUDUTHANGAL SS,110/11,Non-Grid,9404,401,9,Chennai-South 2,Y
37,Point (79.13056699043748665 10.76962778546647215),276118,Manimandapam SS,110/11,Non-Grid,6448,444,6,THANJAVUR,Y
38,Point (79.16398739280627694 10.7702720781460819),276119,Mariamman Koil SS,110/11,NON-GRID,6416,444,6,THANJAVUR,Y
39,Point (79.30421245214370174 10.43438402113955554),276116,Pattukkottai,110/11,Line tap,6403,444,6,THANJAVUR,Y
40,Point (79.49075411202082364 11.02269567475064349),276122,Aduthurai,110/11,NON-GRID,6413,444,6,THANJAVUR,Y
41,Point (79.34567210712390306 10.62783596704278821),276123,Okkanadu Keelaiyur,110/11,NON-GRID,6415,444,6,THANJAVUR,Y
42,Point (79.13621443630555063 10.77964089576394002),276121,Thanjavur Urban SS,110/11,Non-Grid,6412,444,6,THANJAVUR,Y
43,Point (80.25075807756789459 12.98513813911983661),273442,TIDEL PARK SS,110/11,Line tap,9414,401,9,Chennai-South 2,Y
44,Point (77.8001465904345082 12.7584016522467909),276618,ZUZUVADISS,110/11,NON GRID,7507,421,8,KRISHNAGIRI,Y
45,Point (79.32243313045296418 10.70334627487684109),276177,Vaduvoor SS,110/11,NON GRID,6704,447,6,THIRUVARUR,Y
46,Point (79.51387015119333057 10.86289391089197309),276186,Kodavasal SS,110/11,NON-GRID,6703,447,6,THIRUVARUR,Y
47,Point (79.57577848210141269 11.08744093468024516),276187,KADALANGUDY,110/11,NON GRID,6250,445,6,NAGAI,Y
48,Point (79.4462670166036844 10.52453217524104723),276191,Thirumakottai SS,110/11,NON GRID,6708,447,6,THIRUVARUR,Y
49,Point (78.70842190156291451 10.85904385575071807),276192,THIRUVANAIKOIL,110/11,NON GRID,6648,442,6,TRICHY METRO,Y
50,Point (79.35934696371653274 10.78483366482135253),276190,Kovilveni SS,110/11,NON-GRID,6707,447,6,THIRUVARUR,Y
51,Point (79.202983329443299 10.51002927704701051),276127,Uranipuram SS,110/11,NON-GRID,6450,444,6,THANJAVUR,Y
52,Point (79.07639456961010183 10.68980055195279988),276124,Thirukanurpatti SS,110/11,NON-GRID,6411,444,6,THANJAVUR,Y
53,Point (79.44487310786044532 11.08410214757687662),276125,Thiruppanandal,110/11,NON-GRID,6414,444,6,THANJAVUR,Y
54,Point (79.32392282705198738 10.43213234743723916),276128,Urban Pattukottai SS,110/11,Line tap,6454,444,6,THANJAVUR,Y
55,Point (78.80023597469808294 10.75345080439017131),276215,THUVAKUDI SS,110/11,NON-GRID,6605,442,6,TRICHY METRO,Y
56,Point (78.69080344394588167 10.81734778111822592),276212,THENNUR SS,110/11,NON-GRID,6608,442,6,TRICHY METRO,Y
57,Point (78.78005140062099088 10.74714573449213617),276213,THIRUVERUMBUR SS,110/11,NON-GRID,6606,442,6,TRICHY METRO,Y
58,Point (78.80191073124538548 10.91578574365996346),276219,VALADI SS,110/11,NON-GRID,6638,442,6,TRICHY METRO,Y
59,Point (78.37841975076256062 10.38653025540033781),276216,THUVARANKURICHY SS,110/11,NON-GRID,6612,442,6,TRICHY METRO,Y
60,Point (78.81660877437626311 10.77485748961640688),276220,VALAVANTHANKOTTAI SS,110/11,NON-GRID,6659,442,6,TRICHY METRO,Y
61,Point (78.61947742832491315 10.81359630668504046),276238,ADAVATHUR SS,110/11,NON GRID,6661,442,6,TRICHY METRO,Y
62,Point (78.6848366749875936 10.81182941813765197),276197,COURT SS,110/11,NON-GRID,6617,442,6,TRICHY METRO,Y
63,Point (78.55501973971379925 10.72645796007505581),276196,AMMAPETTAISS,110/11,OUTDOOR,6615,442,6,TRICHY METRO,Y
64,Point (78.61923452203340901 10.70718304710413449),276202,MANIKANDAMSS,110/11,NON-GRID,6653,442,6,TRICHY METRO,Y
65,Point (78.43631995293812054 10.97086110632008982),276203,MUSIRI SS,110/11,NON-GRID,6632,442,6,TRICHY METRO,Y
66,Point (78.3830185739062415 10.45634392017919723),276207,PUTHANATHAM SS,110/11,NON-GRID,6623,442,6,TRICHY METRO,Y
67,Point (78.48778935344007834 10.89506971680686398),276204,PETTAVAITHALAI SS,110/11,NON-GRID,6609,442,6,TRICHY METRO,Y
68,Point (78.8423984809649312 10.90571520496642499),276205,POOVALUR SS,110/11,NON-GRID,6631,442,6,TRICHY METRO,Y
69,Point (78.68139654630840596 10.86021610031170503),276210,SRIRANGAM SS,110/11,GRID,6622,442,6,TRICHY METRO,Y
70,Point (79.47069787417193254 11.44605973652696029),277189,VALAYAMADEVI,110/11,NON GRID,8121,418,2,CUDDALORE,Y
71,Point (79.3955067199969875 11.40570626012144118),277187,SRIMUSHNAM,110/11,NON GRID,8108,418,2,CUDDALORE,Y
72,Point (79.4248711178451714 11.53431778886604775),277192,UMANGALAM,110/11,NON GRID,8146,418,2,CUDDALORE,Y
73,Point (79.31095305043507437 11.61032425693245784),277190,KO POOVANUR,110/11,NON GRID,8109,418,2,CUDDALORE,Y
74,Point (79.25089888704410157 11.5810847254501379),277191,M PARUR,110/11,NON GRID,8143,418,2,CUDDALORE,Y
75,Point (78.98496785142855003 11.41470075833260189),277194,THOLUDUR,110/11,NON GRID,8145,418,2,CUDDALORE,Y
76,Point (79.64474248660741296 11.60879820365668635),277184,THOPPUKOLLAI,110/11,NON GRID,8122,418,2,CUDDALORE,Y
77,Point (79.58853336089089225 11.56451883554403537),277182,KURINJIPADY,110/11,NON GRID,8118,418,2,CUDDALORE,Y
78,Point (79.6967310228533421 11.64655623121277017),277183,KULLANCHAVADI,110/11,NON GRID,8110,418,2,CUDDALORE,Y
79,Point (79.3069416321066285 11.78014453483111801),277282,PILLAIYARKUPPAM SS,110/11,GRID,8408,417,2,KALLAKURICHI,Y
80,Point (80.26926425856377989 13.1088119945207584),432,VYASARPADI SS,110/11,NON-GRID,2116,404,1,Chennai-North,Y
81,Point (79.98618973023042145 13.36398138980123917),478,THERVOIKANDIGAI SS,110/11,NON-GRID,2157,404,1,Chennai-North,Y
82,Point (80.13651800080124588 13.1771218921893567),547,SIDCO THIRUMULLAIVOYAL SS,110/11,Non-Grid,9322,406,1,Chennai-West,Y
83,Point (80.10070000204103735 13.20852698055578323),534,ALAMATHY SS,110/11,Non-Grid,9333,406,1,Chennai-West,Y
84,Point (80.24746306556922093 13.17422327486094069),424,MATHUR SS,110/11,Non-Grid,2118,404,1,Chennai-North,Y
85,Point (80.129228899777317 13.10408596337294718),557,AYAPAKKAM ,110/11,Grid,9318,406,1,Chennai-West,Y
86,Point (80.076562076176387 13.11662232837548991),552,PATTABIRAM SS,110/11,Non-Grid,9323,406,1,Chennai-West,Y
87,Point (80.17124897129578187 13.07851213238376964),554,NOLAMBUR SS,110/11,Non-Grid,9331,406,1,Chennai-West,Y
88,Point (80.19910261639435589 13.15627713495105233),565,PUZHAL SS,110/11,Non-Grid,9305,406,1,Chennai-West,Y
89,Point (80.16482552646706949 13.09560906245439682),563, AMBATTUR IE SS,110/11,Non-grid,9303,406,1,Chennai-West,Y
90,Point (80.18206021371372572 13.09972278907681797),569,KORATTOR SS,110/11,NON-GRID,9337,406,1,Chennai-West,Y
91,Point (77.95191849293934183 11.13911135971795474),267645,KABILARMALAI SS,110/11,NON GRID,4517,437,4,NAMAKKAL,Y
92,Point (77.90581161332856652 11.15384322635215142),267646,JEDARPALAYAM SS,110/11,NON GRID,4521,437,4,NAMAKKAL,N
