S.No,Station,Latitude,Longitude,line_geom
1,Madurai,10.441852670653216,78.09356377362073,
2,TAP on Madurai-Trichy,10.241642437535452,77.76912819616608,"LINESTRING(78.09356377362073 10.441852670653216, 77.76912819616608 10.241642437535452)"
3,Checkkanoorani,9.922300201713872,77.96619531186218,"LINESTRING(77.76912819616608 10.241642437535452, 77.96619531186218 9.922300201713872)"
4,TAP on Madurai-Trichy,10.241642437535452,77.76912819616608,"LINESTRING(77.96619531186218 9.922300201713872, 77.76912819616608 10.241642437535452)"
5,TAP on Madurai-Trichy,10.291526831740049,77.8499645849346,"LINESTRING(77.76912819616608 10.241642437535452, 77.8499645849346 10.291526831740049)"
6,Samayanallur,9.974337424768692,78.04570318305767,"LINESTRING(77.8499645849346 10.291526831740049, 78.04570318305767 9.974337424768692)"
7,TAP on Madurai-Trichy,10.291526831740049,77.8499645849346,"LINESTRING(78.04570318305767 9.974337424768692, 77.8499645849346 10.291526831740049)"
8,TAP on Madurai-Trichy,10.37675802634402,77.98807956241542,"LINESTRING(77.8499645849346 10.291526831740049, 77.98807956241542 10.37675802634402)"
9,Alagarkoil,10.052451475592614,78.18821017274169,"LINESTRING(77.98807956241542 10.37675802634402, 78.18821017274169 10.052451475592614)"
10,TAP on Madurai-Trichy,10.37675802634402,77.98807956241542,"LINESTRING(78.18821017274169 10.052451475592614, 77.98807956241542 10.37675802634402)"
11,TAP on Madurai-Trichy,10.660305933144725,78.44756171498268,"LINESTRING(77.98807956241542 10.37675802634402, 78.44756171498268 10.660305933144725)"
12,Mondipatty,10.680479886052817,78.43511230408168,"LINESTRING(78.44756171498268 10.660305933144725, 78.43511230408168 10.680479886052817)"
13,TAP on Madurai-Trichy,10.660305933144725,78.44756171498268,"LINESTRING(78.43511230408168 10.680479886052817, 78.44756171498268 10.660305933144725)"
14,TAP on Madurai-Trichy,10.742868996645255,78.58135305404707,"LINESTRING(78.44756171498268 10.660305933144725, 78.58135305404707 10.742868996645255)"
15,Alundur,10.693208550341748,78.61199867438613,"LINESTRING(78.58135305404707 10.742868996645255, 78.61199867438613 10.693208550341748)"
16,TAP on Madurai-Trichy,10.742868996645255,78.58135305404707,"LINESTRING(78.61199867438613 10.693208550341748, 78.58135305404707 10.742868996645255)"
17,Trichy,10.798876890929053,78.67211241854616,"LINESTRING(78.58135305404707 10.742868996645255, 78.67211241854616 10.798876890929053)"
