Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21(6),,T,SD,28,20-21,,251.4915577,2.17,147,"33°20'04""(LT)",11.1742,78.2398,GOOD,GOOD,,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2398 11.1742, 78.24071 11.17612)"
22(5),,T,SD,28,21-22,,234.6592433,2.66,151,"23°34'16""(RT)",11.17612,78.24071,GOOD,GOOD,"230KV LINE CROSSING(68-69), LT LINE CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24071 11.17612, 78.24216 11.17738)"
23(4),,S,SA,26,22-23,,211.1202245,1.43,151,,11.17738,78.24216,GOOD,GOOD,,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24216 11.17738, 78.243799 11.17879)"
24(3),,S,SA,26,23-24,,237.5996986,1.07,151,,11.17879,78.243799,GOOD,GOOD,,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.243799 11.17879, 78.24532 11.18011)"
25(2),,T,SB,24,24-25,,221.3321034,2.09,150,"00°00'00""",11.18011,78.24532,GOOD,GOOD,,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24532 11.18011, 78.24657 11.18125)"
26(1) (39) LILO POINT,3W,T,SD,28,25-26,,185.9858746,1.63,150,"48°54'44""(RT)",11.18125,78.24657,GOOD,GOOD,,,,LILO POINT TO 110 KV NAMAKKAL SS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24657 11.18125, 78.24928 11.18096)"
27(40),,S,SA,26,26-27,,297.9340103,1.09,149,,11.18096,78.24928,GOOD,GOOD,LT LINE CROSSING(2),,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24928 11.18096, 78.25217 11.18065)"
28(41),,S,SA,26,27-28,,317.7313989,0.93,149,,11.18065,78.25217,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25217 11.18065, 78.25513 11.18031)"
29(42),,S,SA,26,28-29,,325.7051956,2.63,150,,11.18031,78.25513,GOOD,GOOD,LT LINE CROSSING(2),,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25513 11.18031, 78.25803 11.17999)"
30(43),,S,SA,26,29-30,,318.9382516,1.13,151,,11.17999,78.25803,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25803 11.17999, 78.26085 11.17972)"
31(44),,S,SA,26,30-31,,309.6664973,1.07,141,,11.17972,78.26085,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26085 11.17972, 78.26382 11.17937)"
32(45),,S,SA,26,31-32,,326.9189548,1.73,155,,11.17937,78.26382,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26382 11.17937, 78.26603 11.17914)"
33(46),,S,SA,26,32-33,,242.886408,1.5,155,,11.17914,78.26603,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26603 11.17914, 78.26852 11.17887)"
34(47),,S,SA,26,33-34,,273.7876754,2.09,155,,11.17887,78.26852,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING",ROAD CROSSING,,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26852 11.17887, 78.270967 11.178616)"
35(48),2W,T,SD,28,34-35,,268.9252166,1.09,158,"33°05'52""(RT)",11.178616,78.270967,GOOD,GOOD,LT LINE CROSSING,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.270967 11.178616, 78.27328 11.17676)"
36(49),,S,SA,26,35-36,,325.7594151,2.73,159,,11.17676,78.27328,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27328 11.17676, 78.27573 11.17472)"
37(50),,S,SA,26,36-37,,350.2835389,0.73,160,,11.17472,78.27573,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING",,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27573 11.17472, 78.2781 11.17278)"
38(51),,S,SA,26,37-38,,336.4757356,7.1,162,,11.17278,78.2781,GOOD,GOOD,LT LINE CROSSING(3),TAR ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2781 11.17278, 78.28025 11.17105)"
39(52),,S,SA,26,38-39,,303.1395899,4.06,163,,11.17105,78.28025,GOOD,GOOD,,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28025 11.17105, 78.28188 11.16972)"
40(53),,S,SA,26,39-40,,231.1158188,2.73,163,,11.16972,78.28188,GOOD,GOOD,LT LINE CROSSING,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28188 11.16972, 78.28346 11.16839)"
41(54),,S,SA,26,40-41,,226.9300613,1.67,163,,11.16839,78.28346,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28346 11.16839, 78.28568 11.16657)"
42(55),,S,SA,26,41-42,,315.3786586,1.03,162,,11.16657,78.28568,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING",,CANNAL CROSSING,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28568 11.16657, 78.28785 11.1648)"
43(56),2W,T,SC,26,42-43,,307.6400495,5.67,166,"25°42'14""(LT)",11.1648,78.28785,GOOD,GOOD,"LT LINE CROSSING, 400KV LINE CROSSING(D/C)NEW TOWER STRINGING WORK NOT DONE",SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28785 11.1648, 78.29056 11.16414)"
