S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.NO 27,,S,DA,26,28-27,229.9565176,6.48,351,"0°00'00""",77.16736111,11.05727778,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16736111111112 11.057277777777779, 77.16619444444446 11.058694444444445)"
20,T.NO 26,,S,DA,26,27-26,202.2992832,8.38,351,"0°00'00""",77.16619444,11.05869444,GOOD,GOOD,HT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16619444444446 11.058694444444445, 77.16425000000001 11.06102777777778)"
21,T.NO 25,,S,DA,26,26-25,332.8978822,4.74,352,"0°00'00""",77.16425,11.06102778,GOOD,GOOD,LT,TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16425000000001 11.06102777777778, 77.1623888888889 11.063194444444445)"
22,T.NO 24 SENGATHURAI LILO,2W,T,DD,28,25-24,314.8745782,3.1,350,"42°37'26""",77.16238889,11.06319444,GOOD,GOOD,NIL,NOYYAL RIVER (KARAVALIMADAPUR),PLAIN,SENGATHURAI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1623888888889 11.063194444444445, 77.15997222222222 11.063555555555556)"
23,T.NO 23,,S,DA,26,24-23,267.8544381,4.38,353,"0°00'00""",77.15997222,11.06355556,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15997222222222 11.063555555555556, 77.15797222222223 11.063777777777778)"
24,T.NO 22,,T,DC,26,23-22,220.102249,5.31,350,"20°33'18""",77.15797222,11.06377778,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15797222222223 11.063777777777778, 77.15547222222223 11.065111111111111)"
25,T.NO 21,,S,DA,26,22-21,310.0016129,7.36,355,"0°00'00""",77.15547222,11.06511111,GOOD,GOOD,LT,TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15547222222223 11.065111111111111, 77.15302777777778 11.06638888888889)"
26,T.NO 20,,S,DA,26,21-20,302.4119707,5.35,358,"0°00'00""",77.15302778,11.06638889,GOOD,GOOD,HT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15302777777778 11.06638888888889, 77.15055555555556 11.067694444444443)"
27,T.NO 19,,T,DD+6,34,20-19,305.0262284,2.18,358,"32°0'19""",77.15055556,11.06769444,GOOD,GOOD,3NOS LT,TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15055555555556 11.067694444444443, 77.15013888888889 11.068444444444443)"
28,T.NO 18,,T,DB+6,30,19-18,97.24710793,1.9,358,"14°1'49""",77.15013889,11.06844444,GOOD,GOOD,NIL,RAILWAY CROSSING,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15013888888889 11.068444444444443, 77.14797222222222 11.070666666666666)"
29,T.NO 17,,T,DB,24,18-17,340.851874,3.8,362,"5°20'45""",77.14797222,11.07066667,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14797222222222 11.070666666666666, 77.14725 11.071555555555555)"
30,T.NO 16,,T-MC,MB,42,17-16,127.2831489,4.87,364,"11°44'59""",77.14725,11.07155556,GOOD,GOOD,NIL,NIL,PLAIN,NEED 4WAY JUNCTION BOX ARASUR - THINGALUR FEEDER CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14725 11.071555555555555, 77.14491666666667 11.073527777777777)"
31,T.NO 15,,S,DA,26,16-15,332.8978822,5.39,373,"0°00'00""",77.14491667,11.07352778,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14491666666667 11.073527777777777, 77.14297222222223 11.075055555555556)"
32,T.NO 14,,T,DD,28,15-14,273.3056897,5.18,371,"37°28'25""",77.14297222,11.07505556,GOOD,GOOD,HT,MUDROAD,PLAIN,IN KPR COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14297222222223 11.075055555555556, 77.14155555555556 11.075111111111111)"
33,T.NO 13,2W,T,DD,28,14-13,156.0801076,7.18,366,"52°58'57""",77.14155556,11.07511111,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14155555555556 11.075111111111111, 77.14127777777779 11.074805555555555)"
34,GT-KANIYUR 110kv SS,2W,T,GANTRY,15,13-GT,46.22769733,NIL,370,"0°00'00""",77.14127778,11.07480556,GOOD,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTH WIRE  TERMINATED IN TAKE OFF TOWER OF KANIYUR 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                                                                                                                                                                                                                                               TOWER HEIGHT; A-TYPE 26M , B-TYPE 24M ,                                                                                                                                                                                                                                                                                                                                     C-TYPE 26M, D-TYPE 28M,GANTRY TOWER 15M,                                                                                                                                                                                                                                                                                                                             MA-45,MB-42M,MC-45M,MD-48M                                                                                                                                                                                                                                                                                                                                                               M-MULTI CIRCUIT, D-DOUBLE CIRCUIT, S-SINGLE                                                                                                                                                                                   CIRCUIT         ",,,,,,TOTAL,8215M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
