S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 164 MUDHALIPALAYAM LILO,,T,DC,26,,,5.78,279,NIL,77.41247222,11.12786111,GOOD,GOOD,NIL,NIL,PLAIN,MUDHALIPALAYAM LILO.NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41247222222223 11.12786111111111, 77.41266666666667 11.127555555555556)"
2,T.NO 164/1,,T,DD,28,164-164/1,40.22437072,4.98,280,"44°49'5""",77.41266667,11.12755556,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41266666666667 11.127555555555556, 77.41225 11.125305555555556)"
3,T.NO 164/2,,T,DB,24,164/1-164/2,254.8273926,6.87,282,"11°0'3""",77.41225,11.12530556,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41225 11.125305555555556, 77.41227777777779 11.123361111111112)"
4,T.NO 164/3,,S,DA,26,164/2-164/3,215.0372061,8.74,284,"0°0'0""",77.41227778,11.12336111,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41227777777779 11.123361111111112, 77.41227777777779 11.121861111111112)"
5,T.NO 164/4,,T,DD,28,164/3-164/4,164.0274367,8.47,293,"62°22'37""",77.41227778,11.12186111,GOOD,GOOD,"HT,LT",TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41227777777779 11.121861111111112, 77.41269444444445 11.121666666666668)"
6,T.NO 164/5,,T,DD,28,164/4-164/5,49.1934955,9.15,290,"85°14'11""",77.41269444,11.12166667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41269444444445 11.121666666666668, 77.41252777777778 11.12125)"
7,GANTRY 110KV MUDHALIPALAYAM SS,2W,T,GT,20,164/5-GT,48.46648326,NIL,283,NIL,77.41252778,11.12125,GOOD,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTH WIRE TERMINATED IN TAKE OFF TOWER OF 110KV MUDHALIPALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
