Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY NEGAMAM,2W,GANTRY,GANTRY,20,,,,369,,77.10311111,10.75472222,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1031111111111 10.754722222222222, 77.10297222222222 10.754416666666666)"
T.NO-2,,DC,T,26,GANTRY-2,36.24913792,,374,"15°2'40.44""",77.10297222,10.75441667,GOOD,MISSING,YES,,,SUBSTATION HEAVY BUSHES,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10297222222222 10.754416666666666, 77.10202777777778 10.753277777777777)"
T.NO-3,2W,DB,T,24,2--3,161.9691329,8.63,367,"3°57'3.04""",77.10202778,10.75327778,GOOD,GOOD,YES,"3nos 22KV,2nos LT","TAAR ROAD,CEMENT ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10202777777778 10.753277777777777, 77.10175 10.752916666666666)"
T.NO-4,,DP,DP,20,3--4,51.6139516,,370,,77.10175,10.75291667,GOOD,MISSING,NO,110KV DC LINE & 230KV SC LINE  CROSSING ABOVE OUR LINE,,PLAIN LAND,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10175 10.752916666666666, 77.10144444444444 10.752555555555556)"
T.NO-5,,DB,T,24,4--5,51.0881591,8.12,365,"0°39'30.76""",77.10144444,10.75255556,GOOD,MISSING,YES,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10144444444444 10.752555555555556, 77.09966666666666 10.750555555555556)"
T.NO-6,2W,DA,S,26,5--6,296.3308961,12.1,363,,77.09966667,10.75055556,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09966666666666 10.750555555555556, 77.09797222222221 10.748527777777777)"
T.NO-7,,DA,S,26,6--7,288.6173938,11.43,352,,77.09797222,10.74852778,GOOD,GOOD,NO,"2nos LT,TAAR ROAD",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09797222222221 10.748527777777777, 77.09602777777778 10.746277777777777)"
T.NO-8,,DA,S,26,7--8,327.2628913,11.78,346,,77.09602778,10.74627778,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09602777777778 10.746277777777777, 77.09424999999999 10.744138888888887)"
T.NO-9,,DA,S,26,8--9,307.6832787,8.96,345,,77.09425,10.74413889,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09424999999999 10.744138888888887, 77.09272222222222 10.74236111111111)"
T.NO-10,,DA,S,26,09-Oct,257.8701223,9.82,340,,77.09272222,10.74236111,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09272222222222 10.74236111111111, 77.09116666666667 10.740527777777777)"
T.NO-11,,DA,S,26,10-Nov,264.9094185,6.6,336,,77.09116667,10.74052778,GOOD,GOOD,NO,"LT,22KV",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09116666666667 10.740527777777777, 77.0893611111111 10.738333333333333)"
T.NO-12,,DA,S,26,11-Dec,312.8226335,6.36,335,,77.08936111,10.73833333,GOOD,GOOD,NO,LT,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0893611111111 10.738333333333333, 77.08772222222221 10.736416666666665)"
T.NO-13,,DA,S,26,Dec-13,277.5842215,5.98,335,,77.08772222,10.73641667,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08772222222221 10.736416666666665, 77.08602777777777 10.734416666666666)"
T.NO-14,2W,DB,T,24,13-14,289.1107054,8.26,344,"12°9'29.67""",77.08602778,10.73441667,GOOD,GOOD,NO,LT,TAARROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08602777777777 10.734416666666666, 77.08522222222221 10.732888888888889)"
T.NO-15,,DA,S,29,14-15,191.426226,5.02,331,,77.08522222,10.73288889,GOOD,GOOD,NO,"22KV,LT",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08522222222221 10.732888888888889, 77.08375 10.730027777777778)"
T.NO-16,,DA,S,26,15-16,355.0887213,5.96,330,,77.08375,10.73002778,GOOD,GOOD,NO,"LT,2nos 11KV",TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08375 10.730027777777778, 77.0825 10.727555555555556)"
T.NO-17,,DA,S,26,16-17,306.3494736,4.27,328,,77.0825,10.72755556,GOOD,GOOD,NO,"LT,11KV",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0825 10.727555555555556, 77.08130555555555 10.725305555555556)"
T.NO-18,,DA,S,26,17-18,279.0842167,5.68,335,,77.08130556,10.72530556,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08130555555555 10.725305555555556, 77.08027777777778 10.72325)"
T.NO-19,,DB,T,30,18-19,254.0236209,4.7,334,"0°42'49.49""",77.08027778,10.72325,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08027777777778 10.72325, 77.07922222222221 10.721277777777777)"
T.NO-20,,DA,S,32,19-20,247.7599645,9.61,339,,77.07922222,10.72127778,GOOD,GOOD,NO,2nos LT,TAAR ROAD (SH),CULTIVATION ,POLLACHI - NEGAMAM (SH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07922222222221 10.721277777777777, 77.07794444444444 10.718777777777778)"
T.NO-21,,DA,S,26,20-21,309.9193443,9.12,347,,77.07794444,10.71877778,GOOD,GOOD,NO,,"3nos MUD ROAD,TAAR ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07794444444444 10.718777777777778, 77.07680555555555 10.716527777777777)"
T.NO-22,,DD,T,26,21-22,278.6198126,9.48,356,"30°59'45.05""",77.07680556,10.71652778,GOOD,GOOD,NO,"22KV,LT",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07680555555555 10.716527777777777, 77.07458333333334 10.715138888888887)"
T.NO-23,,DA,S,26,22-23,287.923601,10.16,351,,77.07458333,10.71513889,GOOD,GOOD,NO,LT,NALA,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07458333333334 10.715138888888887, 77.07219444444443 10.7135)"
T.NO-24,,DA,S,26,23-24,317.6192689,15.87,345,,77.07219444,10.7135,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07219444444443 10.7135, 77.06975 10.711888888888888)"
T.NO-25,,DA,S,26,24-25,322.3042041,8.02,350,,77.06975,10.71188889,GOOD,GOOD,NO,LT,MUDROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06975 10.711888888888888, 77.06769444444444 10.710527777777777)"
T.NO-26,,DA,S,26,25-26,270.9723233,11.73,346,,77.06769444,10.71052778,GOOD,GOOD,NO,LT,2nos MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06769444444444 10.710527777777777, 77.06538888888889 10.708972222222222)"
T.NO-27,2W,DC,T,26,26-27,303.4534561,3.14,341,"15°1'42.19""",77.06538889,10.70897222,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06538888888889 10.708972222222222, 77.06375 10.70711111111111)"
T.NO-28,,DA,S,26,27-28,275.9365869,15.07,334,,77.06375,10.70711111,GOOD,GOOD,NO,,"NALA,MUDROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06375 10.70711111111111, 77.06219444444444 10.705416666666666)"
T.NO-29,,DA,S,26,28-29,251.4617267,6.43,324,,77.06219444,10.70541667,GOOD,GOOD,NO,,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06219444444444 10.705416666666666, 77.06044444444444 10.703249999999999)"
T.NO-30,,DA,S,26,29-30,306.7262623,4.98,318,,77.06044444,10.70325,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06044444444444 10.703249999999999, 77.05872222222222 10.701333333333332)"
T.NO-31,,DA,S,32,30-31,283.6370921,7.82,314,,77.05872222,10.70133333,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05872222222222 10.701333333333332, 77.05702777777778 10.699305555555556)"
T.NO-32,,DA,S,32,31-32,291.9263606,12.06,306,,77.05702778,10.69930556,GOOD,GOOD,NO,,"MUDROAD,RIVER",CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05702777777778 10.699305555555556, 77.05513888888889 10.697166666666666)"
T.NO-33,,DA,S,26,32-33,313.4645115,9.52,312,,77.05513889,10.69716667,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05513888888889 10.697166666666666, 77.05347222222223 10.695166666666667)"
T.NO-34,,DB,T,24,33-34,287.0679362,8.9,310,"8°57'22.63""",77.05347222,10.69516667,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05347222222223 10.695166666666667, 77.05297222222222 10.694722222222222)"
T.NO-1 THALAKARAI (MUTHUR) LILO,3W,MC,T,45,34-1,73.66138744,6.55,305,"10°18'34.97""",77.05297222,10.69472222,GOOD,GOOD,NO,LT ,TAAR ROAD,WATER LOGGED INSIDE CANAL,2 EARTH WIRE 1 IS CONTINUE TO OUR T.NO-35 ANOTHER ONE CONNECT WITH THALAKARAI T.NO-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05297222222222 10.694722222222222, 77.05175 10.693194444444444)"
T.NO-35,,DA,S,32,Jan-35,214.4411341,10.11,312,,77.05175,10.69319444,GOOD,GOOD,NO,LT,RIVER,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05175 10.693194444444444, 77.05005555555556 10.691222222222223)"
T.NO-36,,DA,S,26,35-36,286.1625412,11.07,315,,77.05005556,10.69122222,GOOD,GOOD,NO,LT,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05005555555556 10.691222222222223, 77.04897222222222 10.69)"
