Tower No,JOINT BOX,CIRCUIT,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,   Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-6 LILO  KOTAGIRI FROM 110KV KATTABETTU SS,,DC,LILO,LILO,34,,,2.73,2026,,76.81288889,11.40958333,GOOD,GOOD,NO,,,PLAIN,"3 EARTH WIRE. 1 E/W CONTINUE TO OUR T.NO-7, 2 E/WIRE CONNECT TO 110KV BB2, 3 E/W CONNECT OUR T.NO-6A NEED 4 WAY JUCTION BOX, 3 FEEDER ON THIS TOWER (FEEDER 1.KOTAGIRI 2.KATTABETU 3.BB-2 ) ROCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81288888888889 11.409583333333334, 76.81519444444444 11.41136111111111)"
T.NO-7,,DC,DB,T,27,LILO-6 -7,322.5042635,3.71,1991,"5°31'38.4""",76.81519444,11.41136111,GOOD,GOOD,NO,11KV,TAAR ROAD (KOTAGIRI - COONOOR,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81519444444444 11.41136111111111, 76.8193611111111 11.413972222222222)"
T.NO-8,,DC,DC,T,29,7--8,535.3503526,3.66,1933,"18°54'37.6""",76.81936111,11.41397222,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,SLOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8193611111111 11.413972222222222, 76.8218611111111 11.414555555555555)"
T.NO-9,,DC,DB,T,24,8--9,283.2825445,3.42,1949,"13°48'50.9""",76.82186111,11.41455556,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,SLOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8218611111111 11.414555555555555, 76.82461111111111 11.415972222222223)"
T.NO-10,,DC,DB,T,30,9--10,337.7128958,3.48,1967,"4°36'13.9""",76.82461111,11.41597222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82461111111111 11.415972222222223, 76.82719444444444 11.417027777777777)"
T.NO-11,,DC,DB,T,24,10-Nov,303.3183146,3.64,1977,"3°40'36.0""",76.82719444,11.41702778,GOOD,GOOD,NO,11KV,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82719444444444 11.417027777777777, 76.82877777777777 11.417555555555555)"
T.NO-12,,DC,DB,T,24,11-Dec,183.4393633,3.82,1968,"8°19'52.1""",76.82877778,11.41755556,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.82877777777777 11.417555555555555, 76.83341666666666 11.418444444444443)"
T.NO-13,2W,DC,DC,T,29,Dec-13,514.6124756,3.58,1951,"25°3'1.7""",76.83341667,11.41844444,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.83341666666666 11.418444444444443, 76.83669444444443 11.42075)"
T.NO-14,,DC,DB,T,24,13-14,440.8355703,3.83,1942,"0°11'43.1""",76.83669444,11.42075,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.83669444444443 11.42075, 76.83858333333333 11.422138888888888)"
T.NO-15,,DC,DD,T,28,14-15,258.2111539,3.39,1900,"40°45'39.0""",76.83858333,11.42213889,GOOD,GOOD,NO,LT,,CULTIVATION,SLOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.83858333333333 11.422138888888888, 76.84344444444444 11.421722222222222)"
