S.NO,Tower  No      ,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,14 A,,DD,T,28,14-14A,100,101.7362655,0.92,297,"61⁰46'38"" RT",11.63846,78.1683,GOOD,GOOD,,,,"POND INSIDE THE TOWER,ALC TEXTILE BOUNDARY CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1683 11.63846, 78.16943 11.63887)"
17,15/2 TAPPING POINT,3W,DB,T,24,14A-15/2,130,131.4054684,13.44,298,"14⁰00'15"" RT",11.63887,78.16943,GOOD,GOOD,,,,ALC TEXTILE FACTORY INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16943 11.63887, 78.16971 11.6389)"
18,15-Jan,,DC,T,26,15/2-15/1,33,30.73646385,14.29,297,"20⁰54'51"" RT",11.6389,78.16971,GOOD,GOOD,,,,ALC TEXTILE FACTORY INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16971 11.6389, 78.17056 11.63868)"
19,15A,,DD,T,28,15/1-15A,95,95.90487093,12.69,299,"47⁰54'53"" LT",11.63868,78.17056,GOOD,GOOD,,,,ALC TEXTILE FACTORY INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17056 11.63868, 78.17087 11.63888)"
20,15,,DA,S,26,15A-15,41,40.43172499,10.93,297,,11.63888,78.17087,GOOD,GOOD,"LT LINE CROSSING 3, 33KV LINE CROSSING ",,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17087 11.63888, 78.1734 11.64026)"
21,16,,DB,T,24,15-16,316,315.5473998,8.29,296,"2⁰40'23"" RT",11.64026,78.1734,GOOD,GOOD, 33KV LINE CROSSING ,TAR ROAD CROSSING,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1734 11.64026, 78.17568 11.64137)"
22,16 A,,DB,T,24,16-16A,278,277.5046595,9.17,295,"5⁰28'58"" LT",11.64137,78.17568,GOOD,GOOD,LT LINE CROSSING(2),"TAR ROAD CROSSING(NH -79), TAR ROAD CROSSING 2",,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17568 11.64137, 78.17645 11.64184)"
23,17,,DB,T,24,16A-17,100,98.83398681,14.21,296,"6⁰8'55"" LT",11.64184,78.17645,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,HILLS AREA,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17645 11.64184, 78.17912 11.64389)"
24,18,,DB,T,24,17-18,370,369.3259821,13.21,307,"4⁰26'18"" RT",11.64389,78.17912,GOOD,GOOD,,TAR ROAD CROSSING,HILLS AREA,"HOUSING AREA,TOWER IN HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17912 11.64389, 78.18182 11.64565)"
25,19,,DB,T,24,18-19,353,353.2382954,10.28,298,"4⁰48'53"" RT",11.64565,78.18182,GOOD,GOOD,"LT LINE CROSSING , 33KV LINE CROSSING ",,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18182 11.64565, 78.18414 11.6469)"
26,20,,DA,S,26,19-20,288,288.5233551,6.75,299,,11.6469,78.18414,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,"HOUSING AREA, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18414 11.6469, 78.18674 11.64825)"
27,21,,DA,S,26,20-21,320,320.6808293,8.19,300,,11.64825,78.18674,GOOD,GOOD,"LT LINE CROSSING 2 , 33KV LINE CROSSING ",TAR ROAD CROSSING,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18674 11.64825, 78.18957 11.64973)"
28,22,,DA,S,26,21-22,349,349.5938146,7.19,302,,11.64973,78.18957,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18957 11.64973, 78.19254 11.65128)"
29,23,,DA,S,26,22-23,367,366.7190837,5.61,305,,11.65128,78.19254,GOOD,GOOD,"LT LINE CROSSING 4, 22KV LINE CROSSING ","TAR ROAD CROSSING ,SAND ROAD CROSSING",,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19254 11.65128, 78.195 11.65259)"
30,24,,DA,S,26,23-24,305,305.111117,4.54,310,,11.65259,78.195,GOOD,GOOD,"LT LINE CROSSING 3, 33KV LINE CROSSING ",TAR ROAD CROSSING,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.195 11.65259, 78.19769 11.65398)"
31,25,,DA,S,26,24-25,332,331.4264322,8.84,310,,11.65398,78.19769,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19769 11.65398, 78.199323 11.654782)"
32,26,,DB,T,24,25-26,196,199.0886703,1.92,312,"2⁰25'27"" RT",11.654782,78.199323,GOOD,GOOD,,SAND ROAD CROSSING,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.199323 11.654782, 78.2005 11.6553)"
33,27,,DB,T,24,26-27,143,140.6559718,1.26,315,"9⁰5'41"" LT",11.6553,78.2005,GOOD,GOOD,,SAND ROAD CROSSING,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2005 11.6553, 78.20255 11.65662)"
34,27A,,DB,T,24,27-27A,267,267.1964786,8.75,315,"8⁰14'25"" RT",11.65662,78.20255,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING (NH 79),,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20255 11.65662, 78.20504 11.65776)"
35,27B,,DB,T,24,27A-27B,300,299.5872762,2.56,317,"10⁰8'29"" RT",11.65776,78.20504,GOOD,GOOD,"LT LINE CROSSING , 22KV LINE CROSSING ",,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20504 11.65776, 78.20731 11.65835)"
36,28 TAPPING POINT,3W,DD,T,28,27B-28,256,256.1678678,13.39,340,"30⁰50'48"" LT",11.65835,78.20731,GOOD,GOOD,,TAR ROAD CROSSING (NH 79),HILLS AREA,TOWER IN HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20731 11.65835, 78.2087 11.65975)"
37,29 TAPPING POINT,,DD,T,28,28-29,217,216.8529823,11.73,363,"62⁰3'27"" RT",11.65975,78.2087,GOOD,GOOD,"LT LINE CROSSING , 22KV LINE CROSSING ",,HILLS AREA,TOWER IN HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2087 11.65975, 78.21176 11.65886)"
38,30,,DB,T,24,29-30,348,348.1358098,9.82,333,"0⁰2'5"" LT",11.65886,78.21176,GOOD,GOOD,"LT LINE CROSSING 4, ",TAR ROAD CROSSING,,"HOUSING AREA, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21176 11.65886, 78.21462 11.65803)"
39,31,,DC,T,26,30-31,325,325.3246903,1.12,339,"24⁰56'14"" LT",11.65803,78.21462,GOOD,GOOD,LT LINE CROSSING 3,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21462 11.65803, 78.21719 11.65841)"
40,32,,DA,S,26,31-32,283,283.5724478,3.23,335,,11.65841,78.21719,GOOD,GOOD,LT LINE CROSSING ,,,"MANGO GARDEN,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21719 11.65841, 78.22018 11.65877)"
41,33,,DA,S,26,32-33,328,328.6884964,5.23,334,,11.65877,78.22018,GOOD,GOOD,,SAND ROAD CROSSING,,"MANGO GARDEN,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22018 11.65877, 78.22305 11.65915)"
42,34,,DC,T,26,33-34,314,315.9808596,2.24,335,"19⁰7'10"" RT",11.65915,78.22305,GOOD,GOOD,,,HILLS AREA,"MANGO GARDEN,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22305 11.65915, 78.2264 11.65848)"
43,35,,DA,S,26,34-35,374,372.9926834,7.59,346,,11.65848,78.2264,GOOD,GOOD,,SAND ROAD CROSSING,LAKE CROSSING,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2264 11.65848, 78.22941 11.65792)"
44,36,,DB,T,24,35-36,333,334.2430762,4.21,340,"0⁰41'17"" RT",11.65792,78.22941,GOOD,GOOD,LT LINE CROSSING 2,SAND ROAD CROSSING,HILLS AREA,LAKE INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22941 11.65792, 78.23304 11.6572)"
45,37,2W,DC,T,26,36-37,403,404.0362431,8.95,362,"15⁰12'30"" LT",11.6572,78.23304,GOOD,GOOD,"LT LINE CROSSING , 22KV LINE CROSSING ",TAR ROAD CROSSING,HILLS AREA,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23304 11.6572, 78.23698 11.65746)"
