S.NO,Tower  No      ,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
84,76,,DA,S,26,75-76,358,358.0953855,10.12,339,,11.64792,78.34621,GOOD,GOOD,LT LINE CROSSING  ,,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34621 11.64792, 78.34933 11.64713)"
85,77,,DA,S,26,76-77,352,351.4788096,12.78,338,,11.64713,78.34933,GOOD,GOOD,,"SAND ROAD CROSSING,TAR ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34933 11.64713, 78.352 11.64647)"
86,78,,DA,S,26,77-78,299,300.3475318,6.46,334,,11.64647,78.352,GOOD,GOOD,"LT LINE CROSSING  , 33KV LINE CROSSING ",SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.352 11.64647, 78.35457 11.64583)"
87,79,,DA,S,26,78-79,289,289.2261012,8.92,333,,11.64583,78.35457,GOOD,GOOD,,"SAND ROAD CROSSING,TAR ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35457 11.64583, 78.35714 11.64514)"
88,80,,DA,S,26,79-80,291,290.6312773,12.59,330,,11.64514,78.35714,GOOD,GOOD,LT LINE CROSSING  2,,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35714 11.64514, 78.35993 11.64446)"
89,81,2W,DB,T,24,80-81,312,313.5880464,8.02,330,"4⁰13'12"" LT",11.64446,78.35993,GOOD,GOOD,LT LINE CROSSING  ,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35993 11.64446, 78.36255 11.64402)"
90,82,,DA,S,26,81-82,290,289.9910025,4.53,333,,11.64402,78.36255,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36255 11.64402, 78.36539 11.64355)"
91,83,,DA,S,26,82-83,314,314.2130032,13.92,332,,11.64355,78.36539,GOOD,GOOD,LT LINE CROSSING  ,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36539 11.64355, 78.36817 11.64312)"
92,84,,DA,S,26,83-84,307,307.040978,6.08,331,,11.64312,78.36817,GOOD,GOOD,"LT LINE CROSSING 2  , 22KV LINE CROSSING ","SAND ROAD CROSSING 2,TAR ROAD CROSSING",CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36817 11.64312, 78.37157 11.64256)"
93,85,,DA,S,26,84-85,375,376.1210858,5.18,331,,11.64256,78.37157,GOOD,GOOD,LT LINE CROSSING  ,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37157 11.64256, 78.37448 11.6421)"
94,86,,DA,S,26,85-86,321,321.5701332,7.54,328,,11.6421,78.37448,GOOD,GOOD,"LT LINE CROSSING 2  , 22KV LINE CROSSING ",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37448 11.6421, 78.377524 11.641602)"
95,87,,DA,S,26,86-87,335,336.6773824,10.68,331,,11.641602,78.377524,GOOD,GOOD,LT LINE CROSSING  ,"SAND ROAD CROSSING,TAR ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.377524 11.641602, 78.38029 11.64115)"
96,88,,DA,S,26,87-88,307,305.9199985,11.55,333,,11.64115,78.38029,GOOD,GOOD,LT LINE CROSSING 5  ,,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38029 11.64115, 78.38335 11.64066)"
97,89,,DA,S,26,88-89,336,338.2562102,5.61,330,,11.64066,78.38335,GOOD,GOOD,LT LINE CROSSING  ,"SAND ROAD CROSSING,TAR ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38335 11.64066, 78.38638 11.64017)"
98,90,,DA,S,26,89-90,334,335.025429,4.38,334,,11.64017,78.38638,GOOD,GOOD,, ROAD CROSSING,HILLS AREA,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38638 11.64017, 78.38914 11.63973)"
99,91,,DA,S,26,90-91,306,305.0587338,2.13,347,,11.63973,78.38914,GOOD,GOOD,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38914 11.63973, 78.39269 11.63917)"
100,92,,DA,S,26,91-92,392,392.2715401,1.26,345,,11.63917,78.39269,GOOD,GOOD,,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39269 11.63917, 78.39407 11.63896)"
101,92A,2W,DB,T,24,92-92A,151,152.3563906,2.98,33,"0⁰59'8"" RT",11.63896,78.39407,GOOD,NO,230KV LINE CROSSING( DEVIYAKURICHI TO SINGAPURAM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39407 11.63896, 78.39578 11.63867)"
102,93,,DA,S,26,92A-93,188,189.3203418,4.24,329,,11.63867,78.39578,GOOD,GOOD, 22KV LINE CROSSING ,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39578 11.63867, 78.39932 11.63805)"
103,94,,DA,S,26,93-94,392,392.3007524,13.56,321,,11.63805,78.39932,GOOD,GOOD,,TAR ROAD CROSSING 2,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39932 11.63805, 78.40247 11.6376)"
104,95,,DA,S,26,94-95,346,347.2887854,7.68,324,,11.6376,78.40247,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40247 11.6376, 78.40475 11.63709)"
105,95A,,DB,T,24,95-95A,254,255.0962503,5.84,327,"9⁰11'20"" LT",11.63709,78.40475,GOOD,GOOD,,SAND ROAD CROSSING,,TOWER INSIDE THE CEMENT FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40475 11.63709, 78.40588 11.63702)"
106,95B,,DD,T,28,95A-95B,123,123.5381298,4.19,328,"75⁰54'26"" LT",11.63702,78.40588,GOOD,GOOD,,,,TOWER INSIDE THE CEMENT FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40588 11.63702, 78.40601 11.63715)"
107,96,,DC,T,26,95B-96,20(136),20.20494851,8.1,328,"26⁰53'59"" LT",11.63715,78.40601,GOOD,GOOD,LT LINE CROSSING  ,,,TOWER INSIDE THE CEMENT FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40601 11.63715, 78.40623 11.63783)"
108,97,,DD,T,28,96-97,80,79.00073914,12.85,327,"70⁰14'9"" RT",11.63783,78.40623,GOOD,GOOD,LT LINE CROSSING  ,TAR ROAD CROSSING ,,SUBSTATION INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40623 11.63783, 78.40763 11.63788)"
109,98,,DD,T,28,97-98,151,152.8543709,14.1,325,"97⁰00'25"" LT",11.63788,78.40763,GOOD,NO,,TAR ROAD CROSSING ,,SUBSTATION INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40763 11.63788, 78.40757 11.63825)"
110,SINGAPURAM GANTRY,2W,GANTRY,T,20,98-GANTRY,40,41.47325296,,323,,11.63825,78.40757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
