S.No,Tower No.,Tower Suspension / Tension,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
2,1,DP,26,GAN - 1,50,0.85,187,,12.1631655,78.0610089,5272767439,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0610089 12.1631655, 78.0614997 12.1630514)"
3,2,DP,26,1-2,60,0.47,188,,12.1630514,78.0614997,5272767418,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0614997 12.1630514, 78.0618256 12.1631484)"
4,3,T,31,2-3,50,1.03,186,,12.1631484,78.0618256,5272767438,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0618256 12.1631484, 78.062523 12.1635785)"
5,4,T,26,3-4,100,0.87,184,"6°24'13"" RT",12.1635785,78.062523,5272767441,GOOD,400KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.062523 12.1635785, 78.0648806 12.1646299)"
6,5,T,26,4-5,280,0.69,184,,12.1646299,78.0648806,5272767447,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0648806 12.1646299, 78.0672075 12.1639246)"
7,6,T,26,5-6,260,0.78,185,,12.1639246,78.0672075,5272767443,GOOD,765KV - HT-2 LT-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0672075 12.1639246, 78.0694766 12.1646509)"
8,7,S,26,6-7,260,0.54,182,,12.1646509,78.0694766,5272767448,GOOD,400KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0694766 12.1646509, 78.0714748 12.1652565)"
9,8,T,27,7-8,230,0.69,180,,12.1652565,78.0714748,5272767453,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0714748 12.1652565, 78.0740377 12.1652867)"
10,9,T,27,8-9,275,16.54,179,,12.1652867,78.0740377,5272767454,GOOD,,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0740377 12.1652867, 78.0761835 12.1649445)"
11,10,S,26,9-10,270,1.05,178,,12.1649445,78.0761835,5272767451,GOOD,LT-1,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0761835 12.1649445, 78.0787021 12.1645329)"
