S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT-PALLADAM 230kv SS,,T,GANTRTY,15,NIL,NIL,NIL,376,,77.31136111,11.00419444,GOOD,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTH WIRE TERMINATED IN TAKE OFF TOWER OF PALLADAM 230KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31136111111111 11.004194444444444, 77.31072222222222 11.004305555555556)"
2,T.NO 1,2W,T,DD,28,GT-1,69.05070601,3.1,370,"69°5'57""",77.31072222,11.00430556,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31072222222222 11.004305555555556, 77.31022222222222 11.006944444444445)"
3,T.NO 2,,T,DB,24,01-Feb,296.3393325,3.26,372,"13°18'1""",77.31022222,11.00694444,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31022222222222 11.006944444444445, 77.30966666666666 11.008194444444445)"
4,T.NO 3,,T,DC,26,02-Mar,151.2878052,9.5,368,"28°14'18""",77.30966667,11.00819444,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30966666666666 11.008194444444445, 77.3086111111111 11.009)"
5,T.NO 4,,T,DD,28,03-Apr,147.6109752,6.1,364,"99°28'37""",77.30861111,11.009,GOOD,GOOD,HT,TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3086111111111 11.009, 77.30941666666666 11.009722222222223)"
6,T.NO 5,,T,DD,28,04-May,118.8696765,3.45,362,"33°57'13""",77.30941667,11.00972222,GOOD,GOOD,NIL,NIL,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30941666666666 11.009722222222223, 77.31008333333332 11.012444444444444)"
7,T.NO 6,,T,DC,26,05-Jun,309.0323608,10.05,360,"24°14'13""",77.31008333,11.01244444,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31008333333332 11.012444444444444, 77.31202777777777 11.014944444444444)"
8,T.NO 7,,T,DC,26,06-Jul,349.6112126,9.25,357,"21°59'21""",77.31202778,11.01494444,GOOD,GOOD,LT,NIL,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31202777777777 11.014944444444444, 77.31341666666667 11.01575)"
9,T.NO 8,,T,DB,24,07-Aug,174.416169,2.3,354,"10°31'27""",77.31341667,11.01575,GOOD,GOOD,HT,NIL,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31341666666667 11.01575, 77.31527777777778 11.017305555555556)"
10,T.NO 9,,T,DB,24,08-Sep,267.1647432,12.1,356,"1°10'3""",77.31527778,11.01730556,GOOD,GOOD,"3NOS LT,HT",TAARROAD,WATERLOGGED,GOUNDAMPALAYAM VILLAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31527777777778 11.017305555555556, 77.31577777777777 11.017777777777779)"
11,T.NO 10,,T,DD,28,09-Oct,77.15568676,5.12,354,"36°36'10""",77.31577778,11.01777778,GOOD,GOOD,NIL,TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31577777777777 11.017777777777779, 77.3175 11.017944444444446)"
12,T.NO 11,2W,T,DB,24,10-Nov,188.9576672,6.25,353,"7°35'4""",77.3175,11.01794444,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3175 11.017944444444446, 77.31877777777777 11.018222222222223)"
13,T.NO 12,,T,DD,28,11-Dec,142.8635713,5.85,353,"78°58'31""",77.31877778,11.01822222,GOOD,GOOD,NIL,NIL,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31877777777777 11.018222222222223, 77.31869444444445 11.021333333333335)"
14,T.NO 13,,T,DD,28,Dec-13,344.2847659,6.38,349,"33°49'59""",77.31869444,11.02133333,GOOD,GOOD,NIL,NIL,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31869444444445 11.021333333333335, 77.31697222222222 11.023666666666667)"
15,T.NO 14,,S ,DA,26,13-14,317.4051039,6.4,351,,77.31697222,11.02366667,GOOD,GOOD,NIL,TAARROAD,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31697222222222 11.023666666666667, 77.31522222222222 11.026111111111112)"
16,T.NO 15,,T,DD,28,14-15,331.6579563,7.32,352,"32°44'4""",77.31522222,11.02611111,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31522222222222 11.026111111111112, 77.31508333333333 11.028500000000001)"
17,T.NO 16,,T,DD,28,15-16,267.4789711,5.38,351,"49°32'30""",77.31508333,11.0285,GOOD,GOOD,LT,TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31508333333333 11.028500000000001, 77.31605555555555 11.029416666666668)"
18,T.NO 17,,T,DB,24,16-17,145.6914548,7.15,348,"1°42'56""",77.31605556,11.02941667,GOOD,GOOD,NIL,NIL,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31605555555555 11.029416666666668, 77.31736111111111 11.030722222222224)"
19,T.NO 18,,T,DD,28,17-18,201.5365972,6.1,345,"37°7'44""",77.31736111,11.03072222,GOOD,GOOD,"LT,HT",NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31736111111111 11.030722222222224, 77.31777777777778 11.033833333333334)"
20,T.NO 19,,T,DD,28,18-19,347.7944795,5.86,345,"46°50'48""",77.31777778,11.03383333,GOOD,GOOD,NIL,MUDROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31777777777778 11.033833333333334, 77.32022222222221 11.035527777777778)"
21,T.NO 20,,T,DB,24,19-20,325.8481241,4.95,343,"5°29'1""",77.32022222,11.03552778,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32022222222221 11.035527777777778, 77.322 11.036555555555555)"
22,T.NO 21,,T,DB,24,20-21,227.2465621,6.35,342,"0°1'21""",77.322,11.03655556,GOOD,GOOD,NIL,NIL,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.322 11.036555555555555, 77.32333333333332 11.037305555555555)"
23,T.NO 22,,T,DD,28,21-22,168.0773631,7.43,342,"32°21'18""",77.32333333,11.03730556,GOOD,GOOD,4NOS HT,TAARROAD,PLAIN,GANAPATHYPALAYAM VILLAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32333333333332 11.037305555555555, 77.32397222222222 11.038472222222222)"
