S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 65 LILO MADHUKKARAI,,T,,,,,9.15,424,,76.95530556,10.94833333,GOOD,GOOD,LT,,PLAIN,MADHUKARAI LILO.NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95530555555555 10.948333333333334, 76.95533333333334 10.947416666666667)"
2,T.NO 1,,T,DB,24,65-1,101.0791769,20,420,"0°6'8""",76.95533333,10.94741667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95533333333334 10.947416666666667, 76.95541666666666 10.945527777777778)"
3,T.NO 2,,S,DA,26,01-Feb,208.2402459,3.7,413,,76.95541667,10.94552778,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95541666666666 10.945527777777778, 76.95544444444445 10.943138888888889)"
4,T.NO 3,,S,DA,26,02-Mar,266.0469883,18,430,,76.95544444,10.94313889,GOOD,GOOD,"2nos LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95544444444445 10.943138888888889, 76.95552777777777 10.940972222222223)"
5,T.NO 4,,T,DC,26,03-Apr,240.2998127,3,417,"24°56'47""",76.95552778,10.94097222,GOOD,GOOD,4nos LT,3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95552777777777 10.940972222222223, 76.95452777777778 10.938694444444444)"
6,T.NO 5,,S,DA,26,04-May,275.0872589,6.35,409,,76.95452778,10.93869444,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95452777777778 10.938694444444444, 76.95380555555556 10.937)"
7,T.NO 6,,S,DA,26,05-Jun,203.5386941,7.8,401,,76.95380556,10.937,GOOD,GOOD,3nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95380555555556 10.937, 76.95308333333334 10.935277777777777)"
8,T.NO 7,2W,T,DB,24,06-Jul,205.7692883,13,396,"5°39'43""",76.95308333,10.93527778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95308333333334 10.935277777777777, 76.95283333333333 10.934833333333334)"
9,T.NO DP,,T,DP,28,7-DP,54.58937626,5,392,"81°34'23""",76.95283333,10.93483333,GOOD,MISSING,230KV DC LINE CROSSING ABOVE,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95283333333333 10.934833333333334, 76.95272222222222 10.934416666666667)"
11,T.NO 8,2W,T,DB,24,DP-8,44.72135955,6.05,394,"3°56'43""",76.95272222,10.93441667,GOOD,MISSING,"LT,HT",TAAR ROAD,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95272222222222 10.934416666666667, 76.95194444444445 10.932666666666666)"
12,T.NO 9,,S,DA,26,08-Sep,212.3228674,30,399,,76.95194444,10.93266667,GOOD,GOOD,"3nos LT,HT",3nos TAAR ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95194444444445 10.932666666666666, 76.95122222222223 10.931111111111111)"
13,T.NO 10,,S,DA,26,09-Oct,188.4489321,2.3,397,,76.95122222,10.93111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95122222222223 10.931111111111111, 76.95055555555555 10.929416666666667)"
14,T.NO 11,,S,DA,32,10-Nov,202.6079959,1.65,391,,76.95055556,10.92941667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95055555555555 10.929416666666667, 76.94994444444445 10.927944444444444)"
15,T.NO 12,,T,DB,30,11-Dec,176.7823521,5.25,398,"0°44'47""",76.94994444,10.92794444,GOOD,GOOD,2nos HT,TAAR ROAD,PLAIN,COVAI - PALAKKAD HIGHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94994444444445 10.927944444444444, 76.94911111111111 10.926083333333333)"
16,T.NO 13,,T,DC,26,Dec-13,224.4036542,4.3,405,"19°49'3""",76.94911111,10.92608333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94911111111111 10.926083333333333, 76.94894444444445 10.92375)"
17,T.NO 14,,T,DB,24,13-14,258.4956479,4,398,"11°58'32""",76.94894444,10.92375,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94894444444445 10.92375, 76.94844444444445 10.922194444444443)"
18,T.NO 15,,S,DA,26,14-15,181.2318956,6.1,397,,76.94844444,10.92219444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94844444444445 10.922194444444443, 76.94805555555556 10.920666666666666)"
19,T.NO 16,,T,DB,24,15-16,173.9022714,5.85,393,"11°23'36""",76.94805556,10.92066667,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94805555555556 10.920666666666666, 76.94791666666667 10.919027777777778)"
20,T.NO 17,,T,DB,24,16-17,180.4688339,4.9,391,"1°28'4""",76.94791667,10.91902778,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94791666666667 10.919027777777778, 76.94783333333334 10.91638888888889)"
21,T.NO 18,,S,DA,26,17-18,292.1386657,3.15,383,,76.94783333,10.91638889,GOOD,GOOD,"4nos LT,HT",6nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94783333333334 10.91638888888889, 76.94766666666668 10.913611111111111)"
22,T.NO 19,,S,DA,26,18-19,308.4153044,3.75,383,,76.94766667,10.91361111,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94766666666668 10.913611111111111, 76.94752777777778 10.911666666666667)"
23,T.NO 20,,T,DC,26,19-20,217.3890522,6.15,392,"23°33'2""",76.94752778,10.91166667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94752777777778 10.911666666666667, 76.94602777777779 10.908694444444444)"
24,T.NO 21,,T,DC,26,20-21,364.4859394,15,376,"18°46'56""",76.94602778,10.90869444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94602777777779 10.908694444444444, 76.94597222222222 10.908305555555556)"
25,GANTRY MADHUKARAI,2W,GANTRY,,,21-GANTRY,46.38965402,,372,,76.94597222,10.90830556,GOOD,GOOD,,,,MADHUKARAI 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
