SL NO,Tower No,JOINT BOX,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Koppampatty Gantry,2W,GANTRY,T,20,,,,301,,11.28527778,78.50138889,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50138888888888 11.285277777777777, 78.5 11.285277777777777)"
2,1A,,DC,T,28,GANTRY-1A,188.596589,13.12,304,19°47'41''RT,11.28527778,78.5,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5 11.285277777777777, 78.4975 11.286111111111111)"
3,1,,DB,T,28,1A-1,278.7369896,3.17,310,6°15'23''RT,11.28611111,78.4975,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4975 11.286111111111111, 78.49583333333334 11.286944444444444)"
4,2,,DD,T,28,01-Feb,218.3388967,3.3,315,28°22'16''RT,11.28694444,78.49583333,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49583333333334 11.286944444444444, 78.49444444444444 11.28888888888889)"
5,3,,DA,S,26,02-Mar,268.3140785,1.44,315,,11.28888889,78.49444444,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49444444444444 11.28888888888889, 78.49333333333334 11.290833333333333)"
6,4,,DD,T,28,03-Apr,247.9482737,4.25,310,28°47'13''RT,11.29083333,78.49333333,GOOD,GOOD,LT,"ROAD, AGRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49333333333334 11.290833333333333, 78.49305555555556 11.293333333333333)"
7,5,,DA,S,26,04-May,273.4512271,10.27,309,,11.29333333,78.49305556,GOOD,GOOD,HT,"ROAD, AGRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49305555555556 11.293333333333333, 78.49277777777777 11.295833333333333)"
8,6,,DC,T,24,05-Jun,277.2780014,11.35,309,14°50'8''LT,11.29583333,78.49277778,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49277777777777 11.295833333333333, 78.49222222222222 11.298055555555555)"
9,7,,DA,S,26,06-Jul,268.671364,9.08,311,,11.29805556,78.49222222,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49222222222222 11.298055555555555, 78.49138888888889 11.300277777777778)"
10,8,,DA,S,28,07-Aug,269.3310887,7.36,310,,11.30027778,78.49138889,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49138888888889 11.300277777777778, 78.49055555555556 11.3025)"
11,9,2W,DC,T,24,08-Sep,271.3168042,5.01,309,34°59'28''LT,11.3025,78.49055556,GOOD,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49055555555556 11.3025, 78.48916666666666 11.303611111111111)"
12,10,,DA,S,24,09-Oct,202.6510932,8.12,313,,11.30361111,78.48916667,GOOD,GOOD,HT,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48916666666666 11.303611111111111, 78.48694444444445 11.305000000000001)"
13,11,,DB,T,26,10-Nov,303.468426,6.75,311,5°3'26''LT,11.305,78.48694444,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48694444444445 11.305000000000001, 78.485 11.306111111111111)"
14,12,,DA,S,26,11-Dec,239.8704362,11.16,311,,11.30611111,78.485,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.485 11.306111111111111, 78.48333333333333 11.307222222222222)"
15,13,,DA,S,26,Dec-13,232.2514524,3.01,309,,11.30722222,78.48333333,GOOD,GOOD,LT,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48333333333333 11.307222222222222, 78.48111111111112 11.308333333333334)"
16,14,,DD,T,24,13-14,284.5337109,1.09,311,41°43'46''RT,11.30833333,78.48111111,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48111111111112 11.308333333333334, 78.48027777777779 11.310555555555556)"
17,15,,DA,S,24,14-15,273.1810025,8.76,309,,11.31055556,78.48027778,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48027777777779 11.310555555555556, 78.47944444444444 11.313055555555556)"
18,16,,DC,T,26,15-16,280.8917097,10.79,312,22°14'31''rT,11.31305556,78.47944444,GOOD,GOOD,HT,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47944444444444 11.313055555555556, 78.47972222222222 11.315277777777778)"
19,17,,DA,S,24,16-17,266.9695761,1.06,311,,11.31527778,78.47972222,GOOD,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47972222222222 11.315277777777778, 78.47972222222222 11.317777777777778)"
20,18,,DA,S,26,17-18,262.6522942,4.36,313,,11.31777778,78.47972222,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47972222222222 11.317777777777778, 78.48 11.32)"
21,19,2W,DC,T,24,18-19,244.0199056,8.91,315,23°43'1''RT,11.32,78.48,GOOD,GOOD,LT,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48 11.32, 78.47944444444444 11.3225)"
