S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 230KV GOBI SS,2W,T,GANTRY,15,,,,275,,77.43672222,11.40025,GOOD,,,,PLAIN,230KV GOBI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43672222222223 11.40025, 77.43683333333334 11.400444444444444)"
2,T.NO 1,,T,DB,24,GANTRY-1,26.40075756,2.13,274,"6°3'13""",77.43683333,11.40044444,GOOD,MISSING,"LT,HT-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43683333333334 11.400444444444444, 77.43780555555556 11.402055555555556)"
3,T.NO 2,,T,DB,24,01-Feb,205.8008746,6.23,272,"10°50'4""",77.43780556,11.40205556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43780555555556 11.402055555555556, 77.43858333333334 11.404111111111112)"
4,T.NO 3,,T,DD,28,02-Mar,244.517893,5.73,265,"44°40'55""",77.43858333,11.40411111,GOOD,GOOD,LT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43858333333334 11.404111111111112, 77.44033333333334 11.404916666666667)"
5,T.NO 4,,T,DD,28,03-Apr,211.5703193,5.35,262,"55°43'39""",77.44033333,11.40491667,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44033333333334 11.404916666666667, 77.44058333333334 11.406444444444444)"
6,T.NO 5,,T,DC,32,04-May,170,4.24,261,"21°51'17""",77.44058333,11.40644444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44058333333334 11.406444444444444, 77.44163888888889 11.408111111111111)"
7,T.NO 6,,S,DA,32,05-Jun,217.1174797,4.38,255,,77.44163889,11.40811111,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44163888888889 11.408111111111111, 77.44277777777778 11.410166666666667)"
8,T.NO 7,,S,DA,26,06-Jul,260.4169733,3.88,252,,77.44277778,11.41016667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44277777777778 11.410166666666667, 77.44433333333333 11.412555555555556)"
9,T.NO 8,,S,DA,26,07-Aug,314.0780158,4.34,245,,77.44433333,11.41255556,GOOD,GOOD,"LT,HT ",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44433333333333 11.412555555555556, 77.44555555555556 11.414527777777778)"
10,T.NO 9,,S,DA,26,08-Sep,252.9604712,3.95,244,,77.44555556,11.41452778,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44555555555556 11.414527777777778, 77.44686111111112 11.416694444444444)"
