Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-1 GUDIMANGALAM  LILO,T,DB,24,,,3.1,360,,77.32791666666667,10.682583333333334,GOOD,GOOD,,,NO,CULTIVATION,"NEED JUNCTION BOX.2EARTH WIRE.1 WIRE CONTINUE TO OUR T.NO-02, ANOTHER EARTH WIRE CONNECT TO UDUMALAIPET- PONNAPUAM LINE T.NO-57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32791666666667 10.682583333333334, 77.32724999999999 10.684333333333333)"
T.NO-2,T,DC,26,1 LILO-2,206.1286006356226,3.8,363,"27°51'52.92""",77.32724999999999,10.684333333333333,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32724999999999 10.684333333333333, 77.32747222222221 10.68613888888889)"
T.NO-3,S,DA,26,2-3,202.3116407921205,3.85,367,,77.32747222222221,10.68613888888889,GOOD,GOOD,LT,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32747222222221 10.68613888888889, 77.32775 10.688055555555556)"
T.NO-4,T,DC,26,3-4,215.24404753674375,2.89,373,"27°27'34.89""",77.32775,10.688055555555556,GOOD,GOOD,11KV,TAAR ROAD,YES,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32775 10.688055555555556, 77.32769444444445 10.688277777777778)"
GUDIMANGALAM 110KV GANTRY,GANTRY,GANTRY,20,4-GANTRY,24.351591323771842,,,,77.32769444444445,10.688277777777778,GOOD,MISSING,,,NO,SUBSTATION,"NO EARTH WIRE,GANTRY GUDIMANGALAM SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,=SUM(F8:F11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
