S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 36 DEVARAYAPURAM LILO,,T,LILO,,,,,,,76.85963889,10.9635,GOOD,GOOD,,,PLAIN,DEVARAYAPURAM LILO.NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85963888888888 10.9635, 76.85924999999999 10.963444444444443)"
2,T.NO 1,,T,DB,24,36LILO -1,42.57933771,5.12,449,"2°11'9""",76.85925,10.96344444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85924999999999 10.963444444444443, 76.85691666666666 10.963138888888889)"
3,T.NO 2,,S,DA,26,01-Feb,259.2392717,5.32,448,,76.85691667,10.96313889,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85691666666666 10.963138888888889, 76.85422222222222 10.962833333333332)"
4,T.NO 3,,S,DA,26,02-Mar,295.0830392,4.45,449,,76.85422222,10.96283333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85422222222222 10.962833333333332, 76.85202777777778 10.962583333333333)"
5,T.NO 4,,T,DB,24,03-Apr,243.115199,4.62,448,"6°20'28""",76.85202778,10.96258333,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.85202777777778 10.962583333333333, 76.84977777777777 10.962555555555555)"
6,T.NO 5,,T,DB,24,04-May,245.0326509,5.95,448,"13°39'52""",76.84977778,10.96255556,GOOD,GOOD,"HT,LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.84977777777777 10.962555555555555, 76.84736111111111 10.963055555555554)"
7,T.NO 6,,S,DA,26,05-Jun,269.8740447,5.2,439,,76.84736111,10.96305556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.84736111111111 10.963055555555554, 76.84519444444445 10.963555555555555)"
8,T.NO 7,,S,DA,26,06-Jul,242.4252462,4.35,444,,76.84519444,10.96355556,GOOD,GOOD,"2nos HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.84519444444445 10.963555555555555, 76.84313888888889 10.964083333333333)"
9,T.NO 8,,T,DD,28,07-Aug,232.1077336,5.85,446,"32°1'6""",76.84313889,10.96408333,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.84313888888889 10.964083333333333, 76.84169444444444 10.965416666666666)"
10,T.NO 9,,S,DA,26,08-Sep,217.1750446,3.75,445,,76.84169444,10.96541667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.84169444444444 10.965416666666666, 76.84002777777778 10.967166666666667)"
11,T.NO 10,,T,DB,24,09-Oct,264.4919659,6.8,437,"14°4'13""",76.84002778,10.96716667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.84002777777778 10.967166666666667, 76.83788888888888 10.968444444444444)"
12,T.NO 11,,T,DD,28,10-Nov,274.4011662,5.65,438,"51°2'13""",76.83788889,10.96844444,GOOD,GOOD,"2nos LT,2nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.83788888888888 10.968444444444444, 76.83775 10.96936111111111)"
13,T.NO 12,,T,DD,28,11-Dec,104.0865025,4.38,434,"67°31'36""",76.83775,10.96936111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.83775 10.96936111111111, 76.83613888888888 10.969777777777779)"
14,T.NO 13,,T,DD,28,Dec-13,183.6001089,4.75,432,"42°33'29""",76.83613889,10.96977778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.83613888888888 10.969777777777779, 76.83502777777777 10.971444444444444)"
15,T.NO 14,,T,DD,28,13-14,218.8355547,3.95,432,"52°5'10""",76.83502778,10.97144444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.83502777777777 10.971444444444444, 76.8321111111111 10.971694444444445)"
16,T.NO 15,2W,T,DD,28,14-15,320.0578073,4.01,438,"77°42'44""",76.83211111,10.97169444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8321111111111 10.971694444444445, 76.83188888888888 10.973527777777777)"
17,T.NO 16,,S,DA,26,15-16,204.7876949,3.58,441,,76.83188889,10.97352778,GOOD,GOOD,LT,"TAAR ROAD,DRAIN",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.83188888888888 10.973527777777777, 76.8316111111111 10.97575)"
