S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (mtrs),Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY SALEM 230KV SS,2W,GT,GT,15,,,,277,,11.6345,78.1318,,,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1318 11.6345, 78.1318 11.6342)"
2,T.NO-207,,T,DD,28,GT-207,35.35533906,0.2,276,"8°54'50"" ",11.6342,78.1318,GOOD,GOOD,11KV-1,MUD-1,INSIDE SS,JOINT BOX AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1318 11.6342, 78.1314 11.6329)"
3,T.NO-206,,S,DA,26,207-206,143.2934053,1.8,275,,11.6329,78.1314,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1314 11.6329, 78.131 11.6312)"
4,T.NO-205,,S,DA,26,206-205,203.4944717,1.5,271,,11.6312,78.131,RUSTED,GOOD,"11KV-1,LT-3","NH-1,TAR-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.131 11.6312, 78.1303 11.6286)"
5,T.NO-204,,T,DD,28,205-204,294.9593192,1.2,271,,11.6286,78.1303,RUSTED,GOOD,LT-2,TAR-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1303 11.6286, 78.1295 11.6257)"
6,T.NO-203,,T,DD,28,204-203,331.0966626,1.65,278,"1°22'39"" ",11.6257,78.1295,RUSTED,GOOD,,TAR-1,HILL(SMALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1295 11.6257, 78.1287 11.6228)"
7,T.NO-202,,S,DA,26,203-202,332.2800024,1.4,266,,11.6228,78.1287,RUSTED,GOOD,"LT-2,11KV-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1287 11.6228, 78.1279 11.6197)"
8,T.NO-201,,S,DA,26,202-201,347.844793,1.7,265,,11.6197,78.1279,RUSTED,GOOD,LT-2,"TAR-2,MUD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1279 11.6197, 78.1274 11.6177)"
9,T.NO-201 A,,S,DA,26,201-201A,235.3146829,0.8,265,,11.6177,78.1274,RUSTED,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1274 11.6177, 78.1271 11.6166)"
10,T.NO-200,,T,DD,28,201A-200,122.8006515,0.95,263,"7°7'8"" ",11.6166,78.1271,GOOD,GOOD,,,PLAIN,"JOINT BOX AVAILABLE,FROM T.NO-207 DC TOWER WITH SINGLE FEEDER AND FROM T.NO-200 DC TOWER TWO FEEDER STARTS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1271 11.6166, 78.1268 11.6151)"
11,T.NO-199,,T,DD,28,200-199,167.0359243,1.35,263,,11.6151,78.1268,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1268 11.6151, 78.1267 11.614)"
12,T.NO-198 B,2W,T,DD,28,199-198B,129.4024729,1.2,263,"12°6'46"" ",11.614,78.1267,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1267 11.614, 78.1265 11.6134)"
13,T.NO-198 A,,T,DD,28,198B-198A,68.35202996,0.2,263,"44°40'8"" ",11.6134,78.1265,GOOD,GOOD,"LT-2,11KV-1","TAR-2,ELECTRIC RW-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1265 11.6134, 78.1254 11.6129)"
14,T.NO-198,,T,DD,28,198A-198,128.8603896,0.2,261,"33°28'24"" ",11.6129,78.1254,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1254 11.6129, 78.124 11.6107)"
15,T.NO-197 A,,T,DD,28,198-197A,286.9442455,1.5,264,"37°54'32"" ",11.6107,78.124,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.124 11.6107, 78.1243 11.6087)"
16,T.NO-197,,S,DA,26,197A-197,214.2381852,0.95,267,,11.6087,78.1243,GOOD,GOOD,,,CULTIVATION,FROM T.NO-200 DC TOWER WITH DOUBLE FEEDER AND ENDS IN T.NO-197 DC TOWER ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1243 11.6087, 78.1245 11.6068)"
17,T.NO-196 A,,T,DD,28,191-196A,215.8379021,6.9,266,"20°43'30"" ",11.6068,78.1245,RUSTED,GOOD,11KV-1,"TAR-1,NALA-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1245 11.6068, 78.124 11.605)"
18,T.NO-196,,S,DA,26,196A-196,203.5706266,8.2,264,,11.605,78.124,RUSTED,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.124 11.605, 78.1233 11.6026)"
19,T.NO-195,,S,DA,26,196-195,275.8350957,5.6,260,,11.6026,78.1233,RUSTED,GOOD,"11KV-1,LT-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1233 11.6026, 78.1227 11.6002)"
20,T.NO-194,,T,DD,28,195-194,280.4924241,5.2,258,"25°6'4"" ",11.6002,78.1227,RUSTED,GOOD,,MUD-1,PLAIN,JOINT BOX AVAILABE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1227 11.6002, 78.1211 11.5982)"
21,T.NO-193,,S,DA,26,194-193,275.960142,4.9,257,,11.5982,78.1211,RUSTED,GOOD,LT-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1211 11.5982, 78.1195 11.5962)"
22,T.NO-192,,S,DA,26,193-192,286.1118662,5.8,258,,11.5962,78.1195,RUSTED,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1195 11.5962, 78.1179 11.5942)"
23,T.NO-191,,S,DA,26,192-191,283.1430734,6.7,258,,11.5942,78.1179,RUSTED,GOOD,,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1179 11.5942, 78.1163 11.5922)"
