S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 38 VEERAPANDI  LILO,,T,DC,26,NIL,NIL,NIL,322,"0°00'00""",77.32422222,11.06652778,GOOD,GOOD,NIL,NIL,PLAIN,VEERAPANDI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32422222222222 11.066527777777779, 77.32480555555556 11.067277777777777)"
2,T.NO 39,,T,DB,24,38-39,103.406963,5.98,321,"2°49'55""",77.32480556,11.06727778,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32480555555556 11.067277777777777, 77.32594444444445 11.06925)"
3,T.NO 40,,S ,DA,26,39-40,251.1772283,5.21,316,"0°00'00""",77.32594444,11.06925,GOOD,GOOD,"2NOS LT,HT",MUDROAD,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32594444444445 11.06925, 77.32727777777778 11.07075)"
4,T.NO 41,,T,DC,26,40-41,221.9211572,7.34,317,"20°20'27""",77.32727778,11.07075,GOOD,GOOD,HT,NIL,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32727777777778 11.07075, 77.32925 11.072111111111111)"
5,T.NO 42,,T,DC,26,41-42,263.5469598,11.2,321,"24°35'5""",77.32925,11.07211111,GOOD,GOOD,HT,NIL,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32925 11.072111111111111, 77.33005555555555 11.0735)"
6,T.NO 43,,S,DA,26,42-43,176.2980431,8.25,317,"0°00'00""",77.33005556,11.0735,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33005555555555 11.0735, 77.33127777777777 11.075416666666666)"
7,T.NO 44,,T,DD,28,43-44,251.9622988,9.76,320,"42°16'49""",77.33127778,11.07541667,GOOD,GOOD,NIL,"MUDROAD,CANAL",PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33127777777777 11.075416666666666, 77.33088888888888 11.077361111111111)"
8,T.NO 45,,T,DC,26,44-45,219.6588264,6.28,312,"15°52'16""",77.33088889,11.07736111,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33088888888888 11.077361111111111, 77.33102777777778 11.079416666666667)"
9,T.NO 46,,T,DD,28,45-46,226.5656638,8.85,311,"46°34'52""",77.33102778,11.07941667,GOOD,GOOD,NIL,TAARROAD,WATERLOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33102777777778 11.079416666666667, 77.3321111111111 11.08025)"
10,T.NO 47,,T,DD,28,46-47,151.3439791,6.72,311,"46°48'53""",77.33211111,11.08025,GOOD,GOOD,HT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3321111111111 11.08025, 77.33372222222222 11.080055555555555)"
