S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.NO-115,S,DA,26,114-115,284.859614547236,2.7,505,,12.553583333333334,78.17200000000001,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17200000000001 12.553583333333334, 78.16975000000001 12.55488888888889)"
20,T.NO-116,S,DA,26,115-116,283.832697200305,2.9,507,,12.55488888888889,78.16975000000001,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16975000000001 12.55488888888889, 78.16780555555556 12.555972222222223)"
21,T.NO-117,T,DC,26,116-117,241.646435934818,15.1,509,"10°45'15"" ",12.555972222222223,78.16780555555556,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16780555555556 12.555972222222223, 78.16555555555556 12.55788888888889)"
22,T.NO-118,S,DA,26,117-118,325.960120260132,4.8,510,,12.55788888888889,78.16555555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16555555555556 12.55788888888889, 78.16341666666668 12.559694444444444)"
23,T.NO-119,S,DA,26,118-119,306.022874961987,2.3,512,,12.559694444444444,78.16341666666668,GOOD,GOOD,,,CULTIVATION,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16341666666668 12.559694444444444, 78.16122222222222 12.561611111111112)"
24,T.NO-120,S,DA,26,119-120,318.650278518629,4.19,516,,12.561611111111112,78.16122222222222,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16122222222222 12.561611111111112, 78.15927777777779 12.563222222222223)"
25,T.NO-121,S,DA,26,120-121,277.04331791256,4.24,517,,12.563222222222223,78.15927777777779,GOOD,GOOD,"LT-1,MUD ROAD-1",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15927777777779 12.563222222222223, 78.15722222222223 12.564972222222224)"
26,T.NO-122,S,DA,26,121-122,295.392958616146,6.12,518,,12.564972222222224,78.15722222222223,GOOD,GOOD,11KV-1,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15722222222223 12.564972222222224, 78.15491666666668 12.566972222222223)"
27,T.NO-123,T,DC,26,122-123,333.594064695402,15.8,518,"18°9'48"" ",12.566972222222223,78.15491666666668,GOOD,GOOD,11KV-2,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15491666666668 12.566972222222223, 78.15366666666667 12.569027777777778)"
28,T.NO-124,S,DA,26,123-124,267.052429309303,2.04,519,,12.569027777777778,78.15366666666667,GOOD,GOOD,"LT-1,11KV-2,33KV-1",TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15366666666667 12.569027777777778, 78.15255555555557 12.571055555555555)"
29,T.NO-125,S,DA,26,124-125,255.415348011822,2.3,520,,12.571055555555555,78.15255555555557,GOOD,GOOD,,,PLAIN,INSIDE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15255555555557 12.571055555555555, 78.15172222222223 12.572472222222222)"
30,T.NO-1 (LILO) DC,T,DD,28,125-1(LILO),178.238604123798,15.3,523,"86°39'21"" ",12.572472222222222,78.15172222222223,GOOD,GOOD,"LT-1,33KV-1",TAR ROAD-1,CULTIVATION,FROM T.NO-1(LILO)-T.NO-5 OPGW DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15172222222223 12.572472222222222, 78.15302777777778 12.57311111111111)"
31,T.NO-2,T,DD,28,1(LILO)-2,158.316139417306,15.2,524,"67°29'22"" ",12.57311111111111,78.15302777777778,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15302777777778 12.57311111111111, 78.1528888888889 12.574944444444444)"
32,T.NO-3,T,DD,28,2-3,203.415830259103,15.6,523,"67°27'52"" ",12.574944444444444,78.1528888888889,GOOD,GOOD,"LT-1,33KV-1",TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1528888888889 12.574944444444444, 78.1515 12.575555555555555)"
33,T.NO-4,T,DD,28,3-4,166.43617395266,1.87,522,"1°28'59"" ",12.575555555555555,78.1515,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1515 12.575555555555555, 78.15047222222223 12.576027777777778)"
34,T.NO-5,T,DD,28,4-5,121.642920057026,0.92,521,"72°48'29"" ",12.576027777777778,78.15047222222223,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15047222222223 12.576027777777778, 78.15052777777778 12.576305555555555)"
35,T.NO-6,T,DC,26,5-6,31.4006369362152,0.92,520,"92°8'51"" ",12.576305555555555,78.15052777777778,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15052777777778 12.576305555555555, 78.15016666666668 12.57638888888889)"
37,GANTRY GURUBARPALLI        110KV S/S,GT,GT,15,6-GT,40.7921561087423,,520,,12.57638888888889,78.15016666666668,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G41),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
