Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY 110KV PULIYAMPATTI ,2W,GANTRY,GANTRY,20,,,,318,,77.16227723,11.33959574,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16227723 11.33959574, 77.16239649 11.33962198)"
T.NO-58,,DB,T,24,GANTRY-58,13.34166406,8.06,316,"13°9'8.01""",77.16239649,11.33962198,GOOD,MISSING,YES,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16239649 11.33962198, 77.16391306 11.34034292)"
T.NO-57,,DB,T,27,58-57,183.8096842,2.64,314,"5°17'32.58""",77.16391306,11.34034292,GOOD,GOOD,NO,"LT,2nos11KV",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16391306 11.34034292, 77.16642026 11.34126446)"
T.NO-56,,DA,S,29,57-56,292.1386657,4.25,314,,77.16642026,11.34126446,GOOD,GOOD,NO,11KV ,NALA,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16642026 11.34126446, 77.16928551 11.34230083)"
T.NO-55,,DA,S,29,56-55,333.2161461,6.38,318,,77.16928551,11.34230083,GOOD,GOOD,NO,,"NALA,MUDROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16928551 11.34230083, 77.17190298 11.34326669)"
T.NO-54,,DB,T,27,55-54,305.132758,8.97,322,"4°36'37.18""",77.17190298,11.34326669,GOOD,GOOD,NO,2nos 11KV,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17190298 11.34326669, 77.17376868 11.34412962)"
T.NO-53,,DA,S,29,54-53,224.9844439,8.56,312,,77.17376868,11.34412962,GOOD,GOOD,NO,11KV ,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17376868 11.34412962, 77.17570772 11.34500102)"
T.NO-52,,DA,S,29,53-52,232.6478025,6.28,310,,77.17570772,11.34500102,GOOD,GOOD,NO,LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17570772 11.34500102, 77.17779398 11.3459617)"
T.NO-51,,DC,T,29,52-51,251.3821792,5.92,308,"24°54'43.48""",77.17779398,11.3459617,GOOD,GOOD,NO,2nos LT,"TAAR ROAD,NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17779398 11.3459617, 77.1791339 11.34753341)"
T.NO-50,2W,DD,T,28,51-50,227.2663635,7.36,312,"52°13'10.71""",77.1791339,11.34753341,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1791339 11.34753341, 77.17862055 11.34988701)"
T.NO-49,,DA,S,26,50-49,266.3906905,7.1,308,,77.17862055,11.34988701,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17862055 11.34988701, 77.1781698 11.35204132)"
T.NO-48,,DA,S,26,49-48,243.4029581,6.53,303,,77.1781698,11.35204132,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1781698 11.35204132, 77.1777017 11.35432228)"
T.NO-47,,DA,S,29,48-47,257.5131065,4.29,295,,77.1777017,11.35432228,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1777017 11.35432228, 77.17715184 11.35669423)"
T.NO-46,,DA,S,29,47-46,269.235956,3.78,300,,77.17715184,11.35669423,GOOD,GOOD,NO,LT,"CANAL,TAAR ROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17715184 11.35669423, 77.17672883 11.35888449)"
T.NO-45,,DB,T,24,46-45,246.7144098,4.81,299,"7°41'22.61""",77.17672883,11.35888449,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17672883 11.35888449, 77.17617341 11.36052442)"
T.NO-44,,DA,S,26,45-44,191.324332,3.89,296,,77.17617341,11.36052442,GOOD,GOOD,NO,LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17617341 11.36052442, 77.17545732 11.36271684)"
T.NO-43,,DA,S,26,44-43,254.8803641,7.63,300,,77.17545732,11.36271684,GOOD,GOOD,NO,LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17545732 11.36271684, 77.17469803 11.36525301)"
T.NO-42,,DA,S,29,43-42,292.6174978,9.32,308,,77.17469803,11.36525301,GOOD,GOOD,NO,"11KV,LT, 11KV/LT",,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17469803 11.36525301, 77.17403612 11.36734562)"
T.NO-41,,DD,T,31,42-41,242.5633938,6.98,304,"37°3'48.54""",77.17403612,11.36734562,GOOD,GOOD,NO,LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17403612 11.36734562, 77.17481254 11.36948183)"
T.NO-40,,DA,S,29,41-40,251.1135201,6.89,300,,77.17481254,11.36948183,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17481254 11.36948183, 77.17563429 11.37155443)"
T.NO-39,,DA,S,26,40-39,246.2600252,7.93,296,,77.17563429,11.37155443,GOOD,GOOD,NO,2nos 11KV ,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17563429 11.37155443, 77.17661533 11.37409582)"
T.NO-38,,DA,S,26,39-38,300.9136089,6.31,291,,77.17661533,11.37409582,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17661533 11.37409582, 77.17766194 11.3768265)"
T.NO-37,,DA,S,29,38-37,323.0371496,8.77,291,,77.17766194,11.3768265,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17766194 11.3768265, 77.17854138 11.37925114)"
T.NO-36,,DA,S,26,37-36,284.950873,4.1,293,,77.17854138,11.37925114,GOOD,GOOD,NO,"11KV,LT","TAAR ROAD,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17854138 11.37925114, 77.17957744 11.38179209)"
T.NO-35  LILO 110KV KAVILIPALAYAM,3W,DB,T,24,36-35,303.0594001,6.13,285,"1°23'8.69""",77.17957744,11.38179209,GOOD,GOOD,NO,"11KV,LT",,CULTIVATION,NEED 3WAY JUNCTION BOX.2EARTH WIRE ON THIS TOWER 1 CONTINUE TO OUR LINE ANOTHER LINE CONNECT TO KAVILIPALAYAM TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17957744 11.38179209, 77.18052151 11.3842795)"
T.NO-34,,DA,S,26,35-34,293.8996427,9.28,284,,77.18052151,11.3842795,GOOD,GOOD,NO,,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18052151 11.3842795, 77.18143778 11.38672192)"
T.NO-33,,DA,S,26,34-33,288.1752939,8.36,281,,77.18143778,11.38672192,GOOD,GOOD,NO,"LT,11KV",MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18143778 11.38672192, 77.182279 11.38892991)"
T.NO-32,,DA,S,26,33-32,261.0076627,9.13,280,,77.182279,11.38892991,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.182279 11.38892991, 77.1832513 11.39150746)"
T.NO-31,,DA,S,26,32-31,304.3221977,10.29,280,,77.1832513,11.39150746,GOOD,GOOD,NO,,,CULTIVATION, FROM THIS TOWER  OUR EARTH WIRE CONNECT TO CROSSING  TOWER AND CONNECT TO T.NO-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1832513 11.39150746, 77.18421473 11.39412123)"
T.NO-30,,DA,S,26,31-30,307.7482738,8.11,279,,77.18421473,11.39412123,GOOD,GOOD,NO,230KV DC LINE CROSSING ABOVE OUR LINE,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18421473 11.39412123, 77.1851299 11.39640999)"
T.NO-29,,DA,S,26,30-29,272.2498852,6.97,281,,77.1851299,11.39640999,GOOD,GOOD,NO,LT,CANAL,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1851299 11.39640999, 77.18588731 11.39842879)"
T.NO-28,,DC,T,26,29-28,238.195298,5.36,285,"17°59'40.67""",77.18588731,11.39842879,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18588731 11.39842879, 77.18724684 11.40012678)"
T.NO-27 LILO PUNGAMPALLY,3W,DB,T,24,28-27,239.4368393,4.12,286,"10°43'31.09""",77.18724684,11.40012678,GOOD,GOOD,YES,"11KV,LT",TAAR ROAD,INSIDE SS,NEED 3WAY JUNCTION BOX.NEED APPROACH CABLE FROM THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18724684 11.40012678, 77.18743273 11.40047787)"
T.NO-26A,,DB,T,24,27-26A,43.829214,3.94,285,"5°35'7.96""",77.18743273,11.40047787,GOOD,MISSING,YES,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18743273 11.40047787, 77.18843361 11.40198873)"
T.NO-26,,DA,S,26,26A-26,199.7198037,4.16,276,,77.18843361,11.40198873,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18843361 11.40198873, 77.1899049 11.40392086)"
T.NO-25,,DA,S,26,26-25,267.4060583,2.74,277,,77.1899049,11.40392086,GOOD,GOOD,NO,LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1899049 11.40392086, 77.19157182 11.40627627)"
T.NO-24,,DA,S,26,25-24,317.8741889,4.1,278,,77.19157182,11.40627627,GOOD,GOOD,NO,11KV,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19157182 11.40627627, 77.19315418 11.40835214)"
T.NO-23,,DC,T,26,24-23,287.4056367,3.76,281,"21°14'11.29""",77.19315418,11.40835214,GOOD,GOOD,NO,"11KV,LT",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19315418 11.40835214, 77.19379434 11.41059772)"
T.NO-22,,DA,S,26,23-22,258.11819,5.69,280,,77.19379434,11.41059772,GOOD,GOOD,NO,11KV,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19379434 11.41059772, 77.19437705 11.41251837)"
T.NO-21,,DA,S,26,22-21,221.8400325,6.81,279,,77.19437705,11.41251837,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19437705 11.41251837, 77.19497886 11.41453829)"
T.NO-20,,DA,S,26,21-20,232.9635165,8.19,286,,77.19497886,11.41453829,GOOD,GOOD,NO,,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19497886 11.41453829, 77.19561892 11.41676579)"
T.NO-19,,DC,T,26,20-19,256.1893831,13.74,289,"29°57'40.50""",77.19561892,11.41676579,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19561892 11.41676579, 77.19712323 11.41820957)"
T.NO-18,,DA,S,26,19-18,229.1069619,15.34,278,,77.19712323,11.41820957,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19712323 11.41820957, 77.19854497 11.41963589)"
T.NO-17,,DA,S,26,18-17,221.3526598,14.81,280,,77.19854497,11.41963589,GOOD,GOOD,NO,,2nos TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19854497 11.41963589, 77.20029929 11.42142121)"
T.NO-16,,DA,S,26,17-16,275.1381471,12.1,284,,77.20029929,11.42142121,GOOD,GOOD,NO,"11KV,LT",,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20029929 11.42142121, 77.20216431 11.42330509)"
T.NO-15,,DA,S,26,16-15,291.3829096,14.42,288,,77.20216431,11.42330509,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20216431 11.42330509, 77.20387141 11.42490094)"
T.NO-14,,DA,S,26,15-14,256.727482,15.57,293,,77.20387141,11.42490094,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20387141 11.42490094, 77.20602262 11.4270628)"
T.NO-13 - TAPPING 110KV IRUMBORAI,3W,DB,T,27,14-13,335.2163481,16.04,295,"11°41'43.58""",77.20602262,11.4270628,GOOD,GOOD,NO,,,PLAINLAND,NEED 3WAY JUNCTION BOX.2 EARTH WIRE ON THIS TOWER 1 CONTINUE TO OUR LINE ANOTHER LINE CONNECT TO PULIYAMPATTI TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20602262 11.4270628, 77.20765431 11.42956294)"
T.NO-12,,DA,S,26,13-Dec,329.0288741,14.87,287,,77.20765431,11.42956294,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20765431 11.42956294, 77.20908212 11.43175733)"
T.NO-11,,DA,S,29,12-Nov,288.5342267,10.77,282,,77.20908212,11.43175733,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20908212 11.43175733, 77.21078757 11.43431111)"
