Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span length             (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken ,etc)","Condition of Earthwire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
NBKB-50(TAPPING)NALLUR TO BKB-III,T,T,28,,,,1.9,210,"11⁰32'44""  RT ",11.2576,77.94778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94778 11.2576, 77.94485 11.25719)"
NBKB-49,B,T,30,50-49,325,323.4147026378983,1.07,206,"2⁰31'28""   LT",11.25719,77.94485,GOOD,GOOD,LT LINE CROSSING-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94485 11.25719, 77.94225 11.25671)"
NBKB-48,A,S,26,49-48,290,289.07485723395223,0.84,202,,11.25671,77.94225,GOOD,GOOD,LT LINE CROSSING-1,"TAR ROAD CROSSING, SAND ROAD CROSSING",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94225 11.25671, 77.93935 11.25613)"
NBKB-47,A,S,26,48-47,325,323.3739668544728,0.56,208,,11.25613,77.93935,GOOD,GOOD,,SAND ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93935 11.25613, 77.93694 11.25564)"
NBKB-46,C,T,24,47-46,270,268.912055180421,0.66,212,"3⁰56'48""  RT",11.25564,77.93694,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93694 11.25564, 77.93469 11.25534)"
NBKB-45,A,S,26,46-45,250,248.12997996416016,4.49,205,,11.25534,77.93469,GOOD,GOOD,LT LINE CROSSING-2,TAR ROAD CROSSING-1,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93469 11.25534, 77.93233 11.25501)"
NBKB-44,A,S,26,45-44,265,260.4932048411796,2.79,201,,11.25501,77.93233,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93233 11.25501, 77.93018 11.25471)"
NBKB-43,D,T,26,44-43,231,237.3036559017384,1.07,201,"18⁰22'14""  LT",11.25471,77.93018,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93018 11.25471, 77.9281 11.25369)"
NBKB-42,A,S,26,43-42,259,253.82237449565207,1.62,196,,11.25369,77.9281,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9281 11.25369, 77.92607 11.2526)"
NBKB-41,B,T,24,42-41,249,252.55075400307302,0.53,199,"7⁰16'38""  RT",11.2526,77.92607,GOOD,GOOD,,,SMALL FOREST,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92607 11.2526, 77.92417 11.25187)"
NBKB-40,B,T,24,41-40,228,222.8205618696992,0.79,201,"1⁰30'21""  LT",11.25187,77.92417,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92417 11.25187, 77.92195 11.25095)"
NBKB-39,A,S,26,40-39,271,263.13196434773,0.62,199,,11.25095,77.92195,GOOD,GOOD,22V LINE CROSSING-1,SAND ROAD CROSSING-1,DRUMSTICK FARM CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92195 11.25095, 77.91966 11.24994)"
