Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Difference,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
41 /1 LILO,,T,28,,,,,22,310,"50°34'14"" RT",11.863037,77.921011,Good,Good,,Sand Road ,Plain,Suitable Drum point ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.921011 11.863037, 77.92236 11.86398)"
42,,T,24,41/1 lilo  to 42,,199,,18,234,"6°47'17"" RT",11.86398,77.92236,Good,Good,,,Plain,Tapping tower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92236 11.86398, 77.92506 11.86509)"
43,,S,26,42 to 43,,329,,19,271,,11.86509,77.92506,Good,Good,LT /11kv line crossing ,Tar Road ,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92506 11.86509, 77.92744 11.86624)"
44,,S,26,43 to 44 ,,309,,17,277,,11.86624,77.92744,Good,Good,LT line crossing ,Tar Road ,HIll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92744 11.86624, 77.93053 11.86775)"
45,,S,26,44 to 45 ,,376.1565164,,18,313,,11.86775,77.93053,Good,Good,,Tar Road ,HIll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93053 11.86775, 77.93294 11.8689)"
46,,T,24,45 to 46 ,,292.0270458,,20,322,"0°45'15"" LT",11.8689,77.93294,Good,Good,LT line crossing ,Sand Road,HIll,Suitable for drum point ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93294 11.8689, 77.93517 11.87)"
47,,S,26,46 to 47 ,,271.9716707,,21,327,,11.87,77.93517,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93517 11.87, 77.937614 11.871145)"
48,,S,26,47 to 48 ,,295.1291808,,22,327,,11.871145,77.937614,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.937614 11.871145, 77.93939 11.87205)"
49,,S,26,48 to 49 ,,258,,22,314,,11.87205,77.93939,Good,Good,,,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93939 11.87205, 77.9419 11.87326)"
50,,T,24,49 to 50 ,,304.7381676,,28,307,"0°14'7"" LT",11.87326,77.9419,Good,Good,LT/400 kv line crossing ,,forest,400 kv MTPS II -Palavady (64-65),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9419 11.87326, 77.94461 11.87458)"
51,,S,26,50 to 51,,329.6836452,,22,309,,11.87458,77.94461,Good,Good,LT line crossing ,Tar Road,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94461 11.87458, 77.94694 11.87569)"
52,2W,T,24,51 to 52,,282.242879,,24,326,"3°33'28"" LT",11.87569,77.94694,Good,Good,,,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94694 11.87569, 77.94869 11.87666)"
53,,S,26,52 to 53,,238,,21,311,,11.87666,77.94869,Good,Good,765 kv line crossing ,Sand Road,forest,Power Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94869 11.87666, 77.95168 11.87825)"
54,,S,26,53 to 54 ,,370,,22,312,,11.87825,77.95168,Good,Good,LT line crossing -2,Sand Road,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95168 11.87825, 77.95358 11.87931)"
55,,T,24,54 to 55,,258,,28,315,"0°38'41"" RT",11.87931,77.95358,Good,Good,33/765 kv line crossing ,,Vegitable ,Power Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95358 11.87931, 77.95658 11.88094)"
56,,S,26,55 to 56 ,,373.6184848,,26,311,,11.88094,77.95658,Good,Good,LT line crossing ,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95658 11.88094, 77.95909 11.88229)"
57,,T,24,56 to 57 ,,311.8601699,,22,315,"0°11'37"" LT",11.88229,77.95909,Good,Good,,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95909 11.88229, 77.96075 11.88319)"
58,,T,24,57 to 58 ,,227,,25,339,"12°36'59"" LT",11.88319,77.96075,Good,Good,,,Hill/Forest ,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96075 11.88319, 77.9629 11.88506)"
59,,S,26,58 to 59 ,,323,,26,322,,11.88506,77.9629,Good,Good,LT line crossing ,,Hill/Forest ,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9629 11.88506, 77.96517 11.88703)"
60,,S,26,59 to 60 ,,329.9210794,,25,321,,11.88703,77.96517,Good,Good,,Sand Road,Hill/Forest ,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96517 11.88703, 77.967364 11.888825)"
61,,S,26,60 to61,,311.0245938,,22,317,,11.888825,77.967364,Good,Good,,,Hill/Forest ,Suitable Drum point ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.967364 11.888825, 77.96953 11.89081)"
62,,S,26,61 to 62 ,,322.6277824,,21,308,,11.89081,77.96953,Good,Good,,Sand Road,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96953 11.89081, 77.97175 11.89272)"
63,,S,26,62 to 63 ,,321.4394479,,28,303,,11.89272,77.97175,Good,Good,LT linecrossing ,Tar Road,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97175 11.89272, 77.97384 11.89452)"
64,,S,26,63 to 64 ,,302.7504064,,26,308,,11.89452,77.97384,Good,Good,,Tar Road,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97384 11.89452, 77.97586 11.89629)"
65,2W,T,24,64 to 65 ,,294.8282294,,24,305,"0°21'30"" RT",11.89629,77.97586,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97586 11.89629, 77.97727 11.89751)"
66,,S,26,65 to 66 ,,227,,25,303,,11.89751,77.97727,Good,Good,,"Pond,Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97727 11.89751, 77.97856 11.89862)"
66A,,S,26,66 to 66A,,207,,28,307,,11.89862,77.97856,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97856 11.89862, 77.98093 11.90069)"
67,,T,26,66A to 67 ,,364,,24,300,"15°47'19"" RT",11.90069,77.98093,Good,Good,,"Tar Road,Canal",Coconut,Suitable Drum point ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98093 11.90069, 77.9836 11.90196)"
68,,S,26,67 to 68 ,,323.318656,,22,312,,11.90196,77.9836,Good,Good,Lt line crossing ,Sand Road,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9836 11.90196, 77.98661 11.90345)"
69,,S,26,68 to 69 ,,367.3420321,,23,312,,11.90345,77.98661,Good,Good,Lt line crossing ,Canal,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98661 11.90345, 77.98949 11.90491)"
70,,T,24,69 to 70 ,,353.2007173,,22,314,"0°24'13"" RT",11.90491,77.98949,Good,Good,Lt line crossing ,Sand Road,Vegitable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98949 11.90491, 77.99224 11.90628)"
71,,S,26,70 to 71,,336.0443023,,26,316,,11.90628,77.99224,Good,Good,Lt line crossing ,Sand Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99224 11.90628, 77.99458 11.90744)"
72,,S,26,71 to 72,,285.6561441,,28,313,,11.90744,77.99458,Good,Good,Lt line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99458 11.90744, 77.99731 11.90879)"
73,,T,26,72 to 73,,333.0992421,,25,315,"16°35'30"" RT",11.90879,77.99731,Good,Good,,,Coconut,Transopsition Tower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99731 11.90879, 77.99994 11.90925)"
74,,T,24,73 to 74 ,,291.261276,,26,319,"0°12'10"" RT",11.90925,77.99994,Good,Good,,Sand Road,paddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99994 11.90925, 78.00288 11.90977)"
75,,T,24,74 to 75 ,,324,,24,323,"0°5'25"" LT",11.90977,78.00288,Good,Good,,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00288 11.90977, 78.0058241 11.910332)"
76,,S,26,75 to 76 ,,326.9959548,,25,330,,11.910332,78.0058241,Good,Good,,Sand Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0058241 11.910332, 78.008398 11.910773)"
77,2W,T,24,76 to 77,,284.8693227,,22,330,"0°55'13"" LT",11.910773,78.008398,Good,Good,,,cocount,Tapping tower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.008398 11.910773, 78.011382 11.911333)"
78,,T,24,77 to 78 ,,331.2238167,,21,,"0°53'14"" RT",11.911333,78.011382,Good,Good,,Sand Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.011382 11.911333, 78.0142441 11.911825)"
79,,S,26,78 to 79 ,,316.7942603,,25,309,,11.911825,78.0142441,Good,Good,,Sand Road,Coconut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0142441 11.911825, 78.017155 11.912374)"
80,,T,26,79 to 80 ,,323.1633599,,24,323,"23°20'34"" LT",11.912374,78.017155,Good,Good,,Sand Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,T,24,80 to 81,,322.4004101,,24,320,"0°6'1"" LT",,,Good,Good,LT Line crossing ,,Plain,Suitable Drum point ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,S,26,83 to 84 ,,410.2232356,,28,323,,11.919548,78.027888,Good,Good,400 kv line crossing ,,Plain,Power Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.027888 11.919548, 78.030024 11.920984)"
85,,S,26,84 to 85 ,,281.9901948,,26,329,,11.920984,78.030024,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.030024 11.920984, 78.032319 11.922512)"
86,,T,24,85 to 86,,322,,28,327,"0°7'10"" LT",11.922512,78.032319,Good,Good,,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.032319 11.922512, 78.034855 11.924208)"
87,,S,26,86 to 87,,354,,26,330,,11.924208,78.034855,Good,Good,,,Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.034855 11.924208, 78.037306 11.925869)"
88,,S,26,87 to 88,,338,,28,334,,11.925869,78.037306,Good,Good,,,Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.037306 11.925869, 78.040016 11.927674)"
89,,T,24,88 to 89 ,,367,,25,335,"0°5'11"" RT",11.927674,78.040016,Good,Good,,,Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.040016 11.927674, 78.042403 11.929269)"
90LILO,2W,T,28,89 to 90,,325,,22,345,"99°53'17"" LT",11.929269,78.042403,Good,Good,,,Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.042403 11.929269, 78.041403 11.930287)"
1,,T,26,90 to 90/1,,189,,22,334,"27°37'51"" LT",11.930287,78.041403,Good,Good,,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.041403 11.930287, 78.040164 11.930691)"
2,,T,28,90/1 to 90/2,,162,,24,335,"98°17'29"" RT",11.930691,78.040164,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.040164 11.930691, 78.040232 11.930903)"
Thoppur Gantry,2W,Gantry,20,90/2 to gantry,,35,,,336,,11.930903,78.040232,,,,,,inside the 110 kv  thoppur SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
