Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
3 lilo ,,T,26,,,,,19,255,,11.483,77.701505,Good,Good,,,hardrock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.701505 11.483, 77.703755 11.48157)"
4,,T,24,3 to 4,,292.2365587,,13,261,"14°11'20"" RT",11.48157,77.703755,Good,Good,,River Crossing ,sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.703755 11.48157, 77.705539 11.479684)"
5,,S,26,4 to 5 ,,285.5212379,,14,262,,11.479684,77.705539,Good,Good,,,sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.705539 11.479684, 77.707245 11.477943)"
6,,S,26,5 to 6,,268.0186751,,18,266,,11.477943,77.707245,Good,Good,,Tar Road,sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.707245 11.477943, 77.70874 11.4764)"
7,,S,26,6 to 7,,236.253788,,16,269,,11.4764,77.70874,Good,Good,Lt line crossing ,,sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70874 11.4764, 77.710104 11.475021)"
8,,S,26,7 to 8,,223,,11,276,,11.475021,77.710104,Good,Good,,Tar Road,sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.710104 11.475021, 77.711546 11.473554)"
9,,S,26,8 to 9 ,,226.1812864,,15,282,,11.473554,77.711546,Good,Good,,Tar Road,sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.711546 11.473554, 77.71278 11.472287)"
10,,T,26,9 to 10,,204,,13,292,"25°42'21"" RT",11.472287,77.71278,Good,Good,Lt line crossing ,Canal,hardrock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71278 11.472287, 77.71329 11.470752)"
11,,S,26,10 to 11,,189,,19,286,,11.470752,77.71329,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71329 11.470752, 77.714043 11.468435)"
12,,S,26,11 to 12 ,,269.3334214,,16,298,,11.468435,77.714043,Good,Good,,Sand road,sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.714043 11.468435, 77.714537 11.466815)"
13,,T,28,12 to 13,,197,,18,311,"30°28'39"" RT",11.466815,77.714537,Good,Good,,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.714537 11.466815, 77.713938 11.464398)"
14,,S,26,13 to 14,,275.4253612,,19,301,,11.464398,77.713938,Good,Good,,Sand road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.713938 11.464398, 77.713377 11.46189)"
15,,T,28,14 to 15,,284.2976233,,15,279,"37°44'35"" LT",11.46189,77.713377,Good,Good,,Sand road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.713377 11.46189, 77.714392 11.459772)"
16,,T,28,15 to 16,,259.3245993,,16,279,"36°36'37"" RT",11.459772,77.714392,Good,Good,Lt line crossing ,Sand road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.714392 11.459772, 77.713905 11.45737)"
17,,S,26,16 to 17,,271.1519906,,17,279,,11.45737,77.713905,Good,Good,,"Tar Road,Canal ",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.713905 11.45737, 77.713318 11.45469)"
18,,S,26,17 to 18,,303.5045751,,15,277,,11.45469,77.713318,Good,Good,,Sand road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.713318 11.45469, 77.71274 11.45171)"
19,,S,26,18 to 19 ,,335.8508064,,18,278,,11.45171,77.71274,Good,Good,,"Lake,Sand Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71274 11.45171, 77.712393 11.44991)"
20,,S,26,19 to 20 ,,202.8193326,,16,278,,11.44991,77.712393,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.712393 11.44991, 77.711965 11.447865)"
21,,T,26,20 to 21,,231.1425124,,18,277,,11.447865,77.711965,Good,Good,,,Plain,Tapping point ( pallakkapalayam ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.711965 11.447865, 77.71188 11.44671)"
22,,T,24,21 to 22,,138,,19,276,"1°17'11"" LT",11.44671,77.71188,Good,Good,,Sand road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71188 11.44671, 77.711805 11.445232)"
23,,T,26,22 to 23 ,,174,,15,277,"27°57'40"" RT",11.445232,77.711805,Good,Good,,Tar Road,Plain,End in side the Substation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.711805 11.445232, 77.711707 11.44507)"
Komarapalaym Gantry,2W,Gantry ,20,23 to Gantry,,20.88260374,,,278,,11.44507,77.711707,Good,Good,,,Plain,Inside the 110 kv Kumarapalayam SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
