SL NO,Tower No,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Koppampatty Gantry,GANTRY,T,20,,,,301,,11.285277777777777,78.50138888888888,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50138888888888 11.285277777777777, 78.5 11.285277777777777)"
2,1A,DC,T,28,GANTRY-1A,188.59658901761128,13.12,304,19°47'41''RT,11.285277777777777,78.5,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5 11.285277777777777, 78.4975 11.286111111111111)"
3,1,DB,T,28,1A-1,278.7369896092731,3.17,310,6°15'23''RT,11.286111111111111,78.4975,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4975 11.286111111111111, 78.49583333333334 11.286944444444444)"
4,2,DD,T,28,1-2,218.33889667266394,3.3,315,28°22'16''RT,11.286944444444444,78.49583333333334,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49583333333334 11.286944444444444, 78.49444444444444 11.28888888888889)"
5,3,DA,S,26,2-3,268.3140784764382,1.44,315,,11.28888888888889,78.49444444444444,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49444444444444 11.28888888888889, 78.49333333333334 11.290833333333333)"
6,4,DD,T,28,3-4,247.9482736795559,4.25,310,28°47'13''RT,11.290833333333333,78.49333333333334,GOOD,GOOD,LT,"ROAD, AGRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49333333333334 11.290833333333333, 78.49305555555556 11.293333333333333)"
7,5,DA,S,26,4-5,273.45122714843,10.27,309,,11.293333333333333,78.49305555555556,GOOD,GOOD,HT,"ROAD, AGRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49305555555556 11.293333333333333, 78.49277777777777 11.295833333333333)"
8,6,DC,T,24,5-6,277.2780014475761,11.35,309,14°50'8''LT,11.295833333333333,78.49277777777777,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49277777777777 11.295833333333333, 78.49222222222222 11.298055555555555)"
9,7,DA,S,26,6-7,268.6713640134653,9.08,311,,11.298055555555555,78.49222222222222,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49222222222222 11.298055555555555, 78.49138888888889 11.300277777777778)"
10,8,DA,S,28,7-8,269.33108866165315,7.36,310,,11.300277777777778,78.49138888888889,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49138888888889 11.300277777777778, 78.49055555555556 11.3025)"
11,9,DC,T,24,8-9,271.3168042224259,5.01,309,34°59'28''LT,11.3025,78.49055555555556,GOOD,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49055555555556 11.3025, 78.48916666666666 11.303611111111111)"
12,10,DA,S,24,9-10,202.65109324900374,8.12,313,,11.303611111111111,78.48916666666666,GOOD,GOOD,HT,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48916666666666 11.303611111111111, 78.48694444444445 11.305000000000001)"
13,11,DB,T,26,10-11,303.46842596493525,6.75,311,5°3'26''LT,11.305000000000001,78.48694444444445,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48694444444445 11.305000000000001, 78.485 11.306111111111111)"
14,12,DA,S,26,11-12,239.87043622239582,11.16,311,,11.306111111111111,78.485,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.485 11.306111111111111, 78.48333333333333 11.307222222222222)"
15,13,DA,S,26,12-13,232.25145240446614,3.01,309,,11.307222222222222,78.48333333333333,GOOD,GOOD,LT,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48333333333333 11.307222222222222, 78.48111111111112 11.308333333333334)"
16,14,DD,T,24,13-14,284.53371093095717,1.09,311,41°43'46''RT,11.308333333333334,78.48111111111112,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48111111111112 11.308333333333334, 78.48027777777779 11.310555555555556)"
17,15,DA,S,24,14-15,273.181002547434,8.76,309,,11.310555555555556,78.48027777777779,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48027777777779 11.310555555555556, 78.47944444444444 11.313055555555556)"
18,16,DC,T,26,15-16,280.8917097073499,10.79,312,22°14'31''rT,11.313055555555556,78.47944444444444,GOOD,GOOD,HT,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47944444444444 11.313055555555556, 78.47972222222222 11.315277777777778)"
19,17,DA,S,24,16-17,266.96957610642977,1.06,311,,11.315277777777778,78.47972222222222,GOOD,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47972222222222 11.315277777777778, 78.47972222222222 11.317777777777778)"
20,18,DA,S,26,17-18,262.6522942073536,4.36,313,,11.317777777777778,78.47972222222222,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47972222222222 11.317777777777778, 78.48 11.32)"
21,19,DC,T,24,18-19,244.01990561630765,8.91,315,23°43'1''RT,11.32,78.48,GOOD,GOOD,LT,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48 11.32, 78.47944444444444 11.3225)"
22,20,DA,S,24,19-20,295.05895570590485,3.91,318,,11.3225,78.47944444444444,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47944444444444 11.3225, 78.47916666666667 11.325)"
23,21,DA,S,26,20-21,291.09481036608616,5.03,324,,11.325,78.47916666666667,GOOD,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47916666666667 11.325, 78.4786111111111 11.3275)"
24,22,DC,T,28,21-22,290.20447728659815,8.36,315,19°48'16''LT,11.3275,78.4786111111111,GOOD,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4786111111111 11.3275, 78.4786111111111 11.33)"
25,23,DA,S,28,22-23,275.20050978738846,1.08,315,,11.33,78.4786111111111,GOOD,GOOD,HT,VILLAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4786111111111 11.33, 78.4786111111111 11.3325)"
