Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-6,,DA,S,26,05-Jun,264.2290673,1.5,365,,77.30936111,10.57166667,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3093611111111 10.571666666666667, 77.30930555555555 10.5705)"
T.NO-7,,DD,T,28,6--7,128.0624847,1.75,361,"45°36'45.96""",77.30930556,10.5705,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30930555555555 10.5705, 77.31061111111111 10.569138888888888)"
T.NO-8,,DB,T,24,07-Aug,206.5187643,1.67,360,"3°17'53.67""",77.31061111,10.56913889,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,2 EARTH WIRE FOR DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31061111111111 10.569138888888888, 77.31086111111111 10.568916666666667)"
T.NO-9,,DA,DP,20,08-Sep,38.20994635,,361,,77.31086111,10.56891667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31086111111111 10.568916666666667, 77.31130555555555 10.56861111111111)"
T.NO-10,,DA,DP,20,09-Oct,57.42821606,,359,,77.31130556,10.56861111,GOOD,MISSING,NO,230KV DC LINE IS GOING ABOVE OUR LINE,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31130555555555 10.56861111111111, 77.31211111111111 10.568333333333333)"
T.NO-11,,DD,T,28,10-Nov,95.50916186,1.12,360,"105°43'54.18""",77.31211111,10.56833333,GOOD,GOOD,NO,,,CULTIVATION,2 EARTH WIRE FOR GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31211111111111 10.568333333333333, 77.31097222222222 10.566638888888889)"
T.NO-12,,DB,T,33,11-Dec,225.2110122,0.3,365,"13°20'10.68""",77.31097222,10.56663889,GOOD,GOOD,YES,LT,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31097222222222 10.566638888888889, 77.31061111111111 10.565722222222224)"
T.NO-13,,DC,T,35,Dec-13,110.7248843,0.22,367,"25°38'8.86""",77.31061111,10.56572222,GOOD,GOOD,YES,,NON ELECTRIC RAILWAY,CULTIVATION,NEED 3WAY JUCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31061111111111 10.565722222222224, 77.30875 10.563916666666668)"
T.NO-14,,DA,S,26,13-14,286.4000698,1.72,361,,77.30875,10.56391667,GOOD,GOOD,NO,2nos LT,"MUD ROAD, CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30875 10.563916666666668, 77.30730555555556 10.562583333333334)"
T.NO-15,,DA,S,26,14-15,215.6965461,1.07,363,,77.30730556,10.56258333,GOOD,GOOD,NO,"2nos LT, 22KV",MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30730555555556 10.562583333333334, 77.30577777777778 10.561055555555557)"
