S.NO,Tower No,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
4,87,B,T,24,88-87,298.269097690457,4.64,334,"3⁰19'13"" RT",11.49386,78.31885,GOOD,GOOD,LT LINE -1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31885 11.49386, 78.32001 11.49571)"
5,86,A,S,26,87-86,240.774173106274,4.16,331,,11.49571,78.32001,GOOD,GOOD,LT LINE -1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32001 11.49571, 78.32121 11.49762)"
6,85,D,T,28,86-85,248.719065024779,4.28,333,"30⁰49'16"" RT",11.49762,78.32121,GOOD,GOOD,"LT LINE -1,","KOVAIYARU RIVER CROSSING, SAND ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32121 11.49762, 78.32256 11.49831)"
7,84,C,T,24,85-84,165.996313540818,2.56,338,"5⁰1'52"" LT",11.49831,78.32256,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32256 11.49831, 78.32339 11.49883)"
8,83,TP,T,26,84-83,107.348200139903,,338,"19⁰51'4"" LT",11.49883,78.32339,GOOD,NO E/W,LT LINE -1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32339 11.49883, 78.32379 11.49934)"
9,82,TP,T,24,83-82,71.3708442379657,,341,"14⁰32'39"" RT",11.49934,78.32379,GOOD,NO E/W,,400KV LINE CROSSING (NYV - SLM)(8M),,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32379 11.49934, 78.32417 11.49963)"
10,81,D,T,28,82-81,52.4540834438966,4.96,341,"31⁰1'38"" RT",11.49963,78.32417,GOOD,GOOD,LT LINE -1,,,BRICK FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32417 11.49963, 78.32555 11.49979)"
11,80,C,T,26,81-80,151.692969736862,2.08,345,"22⁰42'33"" LT",11.49979,78.32555,GOOD,GOOD,"LT LINE -1,22 KV LINE -1 ",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32555 11.49979, 78.32787 11.50108)"
12,79,A,S,26,80-79,290.753247631588,10.57,335,,11.50108,78.32787,GOOD,GOOD,LT LINE -2,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32787 11.50108, 78.33018 11.50239)"
13,78,D,T,28,79-78,290.898395483947,8.7,363,"35⁰49'37"" LT",11.50239,78.33018,GOOD,GOOD,"LT LINE -5,22 KV LINE",ROAD CROSSING,ZIG ZAG LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33018 11.50239, 78.33125 11.50473)"
14,77,A,S,26,78-77,284.136568350728,14.38,367,,11.50473,78.33125,GOOD,GOOD,LT LINE -3,,,RESIDENCE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33125 11.50473, 78.33211 11.50656)"
15,76,D,T,26,77-76,223.262320119369,2.32,365,"29⁰48'48"" LT",11.50656,78.33211,GOOD,GOOD,LT LINE-2,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33211 11.50656, 78.33377 11.50772)"
16,75,D,T,28,76-75,222.095590769387,13.46,371,"32⁰1'34"" RT",11.50772,78.33377,GOOD,GOOD,22 KV LINE-2,SAND ROAD CROSSING,HILLS AREA-ZIG ZAG,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33377 11.50772, 78.33518 11.5078)"
17,74,C,T,24,75-74,154.179628639241,1.72,380,"12⁰12'3"" RT",11.5078,78.33518,GOOD,GOOD,,,HILLS AREA,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33518 11.5078, 78.336642 11.507574)"
18,73,C,T,26,74-73,161.550249582538,2.76,391,"15⁰35'9"" RT",11.507574,78.336642,GOOD,GOOD,,,HILLS AREA,TOWER IN HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.336642 11.507574, 78.33832 11.50682)"
19,72,B,T,24,73-72,201.298603537031,2.88,417,"3⁰22'29"" LT",11.50682,78.33832,GOOD,GOOD,,,,TOWER IN HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33832 11.50682, 78.339706 11.506292)"
20,71,A,S,26,72-71,162.200438434003,1.45,415,,11.506292,78.339706,GOOD,GOOD,LT LINE 4,WIRE CABLE CROSSING,HILLS AREA,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.339706 11.506292, 78.34258 11.50521)"
21,70,C,T,24,71-70,335.827811600298,2.67,425,"5⁰2'41"" LT",11.50521,78.34258,GOOD,GOOD,,"TAR ROAD CROSSING , WIRE CABLE CROSSING-2",HILLS AREA-ZIG ZAG,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34258 11.50521, 78.34558 11.50437)"
