S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 82/80 LILO POONACHI ,T,GT,15,,,,222,,77.60247199999999,11.565611,GOOD,,,,PLAIN,POONACHI LILO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60247199999999 11.565611, 77.60497222222222 11.567055555555555)"
2,T.NO 79,S,DA,26,80-79,332.9459415580854,2.24,223,,77.60497222222222,11.567055555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60497222222222 11.567055555555555, 77.60677777777778 11.567722222222223)"
3,T.NO 78,S,DA,26,79-78,210.2189334955346,7.82,229,,77.60677777777778,11.567722222222223,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60677777777778 11.567722222222223, 77.60877777777777 11.569083333333333)"
4,T.NO 77,T,DD,28,78-77,264.9396157617807,3.79,225,"41°41'9""",77.60877777777777,11.569083333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60877777777777 11.569083333333333, 77.60908333333333 11.569972222222223)"
5,T.NO 76,T,DD,28,77-76,103.09219175087898,5.69,225,"53°28'54""",77.60908333333333,11.569972222222223,GOOD,GOOD,LT2,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60908333333333 11.569972222222223, 77.61083333333333 11.570527777777778)"
6,T.NO 75,T,DB,24,76-75,202.3857702507763,2.03,228,"4°51'2""",77.61083333333333,11.570527777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61083333333333 11.570527777777778, 77.61330555555556 11.571083333333332)"
7,T.NO 74,T,DC,26,75-74,276.7417568781408,7.89,233,"22°58'36""",77.61330555555556,11.571083333333332,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61330555555556 11.571083333333332, 77.61574999999999 11.570666666666666)"
8,T.NO 73,T,DD,28,74-73,269.6145396672813,3.96,234,"62°45'5""",77.61574999999999,11.570666666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61574999999999 11.570666666666666, 77.61738888888888 11.572805555555556)"
9,T.NO 72,S,DA,26,73-72,296.40006747637557,8.34,239,,77.61738888888888,11.572805555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61738888888888 11.572805555555556, 77.6188611111111 11.574722222222222)"
10,T.NO 71,S,DA,26,72-71,266.8126683649035,9.25,237,,77.6188611111111,11.574722222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6188611111111 11.574722222222222, 77.62047222222222 11.576805555555556)"
11,T.NO 70,T,DD,28,71-70,288.00173610587836,9.85,234,"35°45'32""",77.62047222222222,11.576805555555556,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62047222222222 11.576805555555556, 77.62036111111111 11.579444444444444)"
12,T.NO 69,S,DA,26,70-69,292.33542378576016,8.2,243,,77.62036111111111,11.579444444444444,GOOD,GOOD,LT1,ANTHIYUR MAIN ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62036111111111 11.579444444444444, 77.62030555555555 11.582166666666666)"
13,T.NO 68,S,DA,26,69-68,300.1666203960727,6.3,241,,77.62030555555555,11.582166666666666,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62030555555555 11.582166666666666, 77.62016666666666 11.584611111111112)"
14,T.NO 67,S,DA,26,68-67,273.4684625327023,7.35,241,,77.62016666666666,11.584611111111112,GOOD,GOOD,HT2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62016666666666 11.584611111111112, 77.62072222222221 11.587361111111111)"
15,T.NO 66,T,DD,28,67-66,309.4834405909305,4.25,233,"51°40'36""",77.62072222222221,11.587361111111111,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62072222222221 11.587361111111111, 77.62247222222221 11.588694444444444)"
16,T.NO 65,S,DA,26,66-65,240.84019598065436,10.75,234,,77.62247222222221,11.588694444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62247222222221 11.588694444444444, 77.62455555555555 11.590194444444444)"
17,T.NO 64,T,DC,26,65-64,280.60114041108244,7.95,231,"25°29'19""",77.62455555555555,11.590194444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62455555555555 11.590194444444444, 77.6271111111111 11.590694444444445)"
18,T.NO 63,S,DA,26,64-63,287.1271495348359,8.01,224,,77.6271111111111,11.590694444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6271111111111 11.590694444444445, 77.62969444444444 11.591277777777778)"
19,T.NO 62,S,DA,26,63-62,287.4456470360962,7.79,229,,77.62969444444444,11.591277777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62969444444444 11.591277777777778, 77.63238888888888 11.591750000000001)"
20,T.NO 61,T,DC,26,62-61,299.47453981933086,6.25,227,"17°58'12""",77.63238888888888,11.591750000000001,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63238888888888 11.591750000000001, 77.63494444444446 11.592972222222222)"
21,T.NO 60,S,DA,26,61-60,307.688153818115,2.72,239,,77.63494444444446,11.592972222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63494444444446 11.592972222222222, 77.63702777777779 11.594361111111112)"
22,T.NO 59,S,DA,26,60-59,276.0036231646244,5.72,232,,77.63702777777779,11.594361111111112,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63702777777779 11.594361111111112, 77.63941666666668 11.595638888888889)"
23,T.NO 58,T,DB,24,59-58,295.95438837766875,5.02,232,"0°40'23""",77.63941666666668,11.595638888888889,GOOD,GOOD,LT1,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63941666666668 11.595638888888889, 77.64047222222223 11.596250000000001)"
