Tower No,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 24,S,DA,26,23-24,185.00270268296083,4.97,327,,77.29080555555555,11.120583333333334,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29080555555555 11.120583333333334, 77.29288888888888 11.12052777777778)"
T.NO 25,S,DA,26,24-25,230.05434140654683,2.87,324,,77.29288888888888,11.12052777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29288888888888 11.12052777777778, 77.29502777777778 11.120416666666667)"
T.NO 26,S,DA,26,25-26,232.13789005675054,4.67,319,,77.29502777777778,11.120416666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29502777777778 11.120416666666667, 77.29683333333332 11.12038888888889)"
T.NO 27,S,DA,26,26-27,198.04039991880444,6.1,319,,77.29683333333332,11.12038888888889,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29683333333332 11.12038888888889, 77.29877777777777 11.120305555555555)"
T.NO 28,T,DB,24,27-28,214.05840324546944,2.35,319,"0°3'0""",77.29877777777777,11.120305555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29877777777777 11.120305555555555, 77.30072222222222 11.120277777777778)"
T.NO 29,T,DB,24,28-29,211.03791128610044,3.85,320,"0°29'21""",77.30072222222222,11.120277777777778,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30072222222222 11.120277777777778, 77.30244444444445 11.120222222222223)"
T.NO 30,S,DA,26,29-30,188.04254837669055,5.77,326,,77.30244444444445,11.120222222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30244444444445 11.120222222222223, 77.30438888888888 11.120138888888889)"
T.NO 31,T,DB,24,30-31,212.11553455605272,3.25,320,"0°43'58""",77.30438888888888,11.120138888888889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30438888888888 11.120138888888889, 77.3068611111111 11.120083333333334)"
T.NO 32,T,DB,24,31-32,272.02941017470886,7.25,320,"0°50'33""",77.3068611111111,11.120083333333334,GOOD,GOOD,"LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3068611111111 11.120083333333334, 77.30877777777778 11.120083333333334)"
T.NO 33,T,DB,24,32-33,209,2.37,321,"3°0'46""",77.30877777777778,11.120083333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30877777777778 11.120083333333334, 77.31122222222221 11.119916666666667)"
T.NO 34,T,DB,24,33-34,266.36816626616627,8.15,321,"1°39'38""",77.31122222222221,11.119916666666667,GOOD,GOOD,"2nos LT,2nos 11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31122222222221 11.119916666666667, 77.31344444444444 11.119861111111112)"
T.NO 35,S,DA,26,34-35,245,6.7,324,,77.31344444444444,11.119861111111112,GOOD,GOOD,"2nos LT,2nos 11kv",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31344444444444 11.119861111111112, 77.31547222222223 11.119805555555557)"
T.NO 36,T,DB,24,35-36,221.11083193728885,5.92,328,"0°27'25""",77.31547222222223,11.119805555555557,GOOD,GOOD,"LT,11kv",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31547222222223 11.119805555555557, 77.31741666666666 11.119722222222222)"
T.NO 37,S,DA,26,36-37,213,4.15,327,,77.31741666666666,11.119722222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31741666666666 11.119722222222222, 77.31958333333333 11.119694444444445)"
T.NO 38,T,DB,24,37-38,235,7.15,324,"1°9'34""",77.31958333333333,11.119694444444445,GOOD,GOOD,"3nos LT,2nos 11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31958333333333 11.119694444444445, 77.32161111111111 11.119611111111112)"
T.NO 39,T,DB,24,38-39,223.14345161801185,4.72,325,"0°10'36""",77.32161111111111,11.119611111111112,GOOD,GOOD,"2nos LT,11kv",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32161111111111 11.119611111111112, 77.3236111111111 11.119555555555555)"
T.NO 40,S,DA,26,39-40,218.03669415949233,2.45,327,,77.3236111111111,11.119555555555555,GOOD,GOOD,LT,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3236111111111 11.119555555555555, 77.32575 11.119444444444445)"
T.NO 41,S,DA,26,40-41,234.2584043316269,2.25,325,,77.32575,11.119444444444445,GOOD,GOOD,11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32575 11.119444444444445, 77.32830555555554 11.119333333333334)"
T.NO 42,T,DB,24,41-42,280.1446055165082,4,317,"3°7'48""",77.32830555555554,11.119333333333334,GOOD,GOOD,2nos LT,2nos CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32830555555554 11.119333333333334, 77.32997222222222 11.119361111111111)"
T.NO 43,T,DB,24,42-43,183.04371062672436,3.9,323,"3°11'57""",77.32997222222222,11.119361111111111,GOOD,GOOD,11kv,"CEMENT ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32997222222222 11.119361111111111, 77.33222222222221 11.119250000000001)"
T.NO 44,S,DA,26,43-44,245.246814454337,5.05,328,,77.33222222222221,11.119250000000001,GOOD,GOOD,,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33222222222221 11.119250000000001, 77.33322222222222 11.119222222222223)"
T.NO 45,T,DC,26,44-45,108.00462953040486,3.81,325,"20°13'10""",77.33322222222222,11.119222222222223,GOOD,GOOD,"LT,2nos 11kv",2nos TAAR ROAD,PLAIN,TIRUPPUR - AVINASI ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33322222222222 11.119222222222223, 77.33347222222221 11.11913888888889)"
GANTRY TIRUPPUR 230 SS,GANTRY,GANTRY,20,45-GANTRY,29.154759474226502,,325,,77.33347222222221,11.11913888888889,GOOD,MISSING,,2nos TAAR ROAD,,NO EARTH WIRE.TIRUPPUR 230KV SUB STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,=SUM(F8:F112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
