Tower No,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 19,T,MB,45,18-19,216.33538776631067,6.35,348,"9°7'12""",77.18727777777778,11.154666666666667,GOOD,GOOD,,"MUD ROAD,CANAL",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18727777777778 11.154666666666667, 77.1875 11.155666666666667)"
T.NO 20,T,MB,45,19-20,114.75626344561765,3.94,352,"4°27'10""",77.1875,11.155666666666667,GOOD,GOOD,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1875 11.155666666666667, 77.18769444444445 11.156916666666667)"
T.NO 21,T,MB,45,20-21,141.4213562373095,5.15,347,"6°58'29""",77.18769444444445,11.156916666666667,GOOD,GOOD,"LT,11kv",CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18769444444445 11.156916666666667, 77.18827777777778 11.158972222222223)"
T.NO 22,T,MD,45,21-22,234.08759044426085,6.44,347,"60°41'38""",77.18827777777778,11.158972222222223,GOOD,GOOD,LT,"CANAL,TAAR ROAD",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18827777777778 11.158972222222223, 77.19052777777779 11.1595)"
T.NO 23,T,DC,32,22-23,252.7231687044146,2.85,347,"24°13'37""",77.19052777777779,11.1595,GOOD,GOOD,110KV SC CROSSING BELOW OUR LINE,"CANAL,TAAR ROAD",PLAIN,KPR-EHT 110KV CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19052777777779 11.1595, 77.19163888888889 11.160361111111111)"
T.NO 24,T,DD,34,23-24,154.45711378890906,4.25,348,"46°45'13""",77.19163888888889,11.160361111111111,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19163888888889 11.160361111111111, 77.19388888888889 11.160027777777778)"
T.NO 25,T,DC,32,24-25,248.62019226120793,2.87,345,"23°5'28""",77.19388888888889,11.160027777777778,GOOD,GOOD,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19388888888889 11.160027777777778, 77.19508333333334 11.160333333333334)"
T.NO 26,T,DC,26,25-26,133.4053971921676,5.34,345,"25°27'1""",77.19508333333334,11.160333333333334,GOOD,GOOD,11kv,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19508333333334 11.160333333333334, 77.19602777777779 11.16013888888889)"
T.NO 27,T,DB,24,26-27,107.8702924812944,4.45,345,"12°38'11""",77.19602777777779,11.16013888888889,GOOD,GOOD,110KV DC CROSSING BELOW OUR LINE,,PLAIN,THEKKALUR-KARUVALUR 110KV CROSSING',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19602777777779 11.16013888888889, 77.19808333333334 11.15925)"
T.NO 28,T,DD,34,27-28,245.01836665850175,8.47,344,"36°38'24""",77.19808333333334,11.15925,GOOD,GOOD,,"MUD ROAD,CANAL",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19808333333334 11.15925, 77.20033333333333 11.15975)"
T.NO 29,T,DB,30,28-29,251.7717220022932,2.98,346,"13°19'7""",77.20033333333333,11.15975,GOOD,GOOD,,"MUD ROAD,CANAL",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20033333333333 11.15975, 77.20258333333334 11.15975)"
T.NO 30,T,DB,30,29-30,245,3.65,337,"7°37'16""",77.20258333333334,11.15975,GOOD,GOOD,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20258333333334 11.15975, 77.20516666666667 11.15938888888889)"
T.NO 31,T,DB,30,30-31,286.53097563788805,3.14,342,"12°15'29""",77.20516666666667,11.15938888888889,GOOD,GOOD,LT,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20516666666667 11.15938888888889, 77.20680555555556 11.158777777777779)"
T.NO 32,T,DB,30,31-32,188.2153022471871,5.84,344,"0°17'47""",77.20680555555556,11.158777777777779,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20680555555556 11.158777777777779, 77.20875000000001 11.158055555555556)"
T.NO 33,T,DB,30,32-33,229.05457864884517,6.87,341,"4°11'52""",77.20875000000001,11.158055555555556,GOOD,GOOD,LT,"CANAL,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20875000000001 11.158055555555556, 77.21088888888889 11.157444444444446)"
T.NO 34,T,DB,30,33-34,243.402958075698,7.35,340,"12°20'4""",77.21088888888889,11.157444444444446,GOOD,GOOD,22kv,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21088888888889 11.157444444444446, 77.21361111111112 11.155972222222223)"
T.NO 35,T,DB,36,34-35,337.3558951611784,3.58,343,"6°6'15""",77.21361111111112,11.155972222222223,GOOD,GOOD,"LT,11kv",",TAAR ROAD",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21361111111112 11.155972222222223, 77.21558333333334 11.155138888888889)"
T.NO 36,T,DB,36,35-36,235.46761985462035,1.22,337,"7°5'3""",77.21558333333334,11.155138888888889,GOOD,GOOD,2nos LT,"TAAR ROAD,NH",PLAIN,COVAI-SALEM HIGHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21558333333334 11.155138888888889, 77.21761111111111 11.154583333333333)"
T.NO 37,T,DC,32,36-37,229.9652147608416,3.45,337,"23°29'49""",77.21761111111111,11.154583333333333,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21761111111111 11.154583333333333, 77.21972222222223 11.15488888888889)"
T.NO 38,T,DD,34,37-38,233.48875775934053,6.74,333,"48°28'26""",77.21972222222223,11.15488888888889,GOOD,GOOD,11kv,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21972222222223 11.15488888888889, 77.22147222222222 11.153416666666667)"
T.NO 39,T,DB,30,38-39,248.39484696748443,5.35,332,"7°20'44""",77.22147222222222,11.153416666666667,GOOD,GOOD,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22147222222222 11.153416666666667, 77.22275 11.152583333333334)"
T.NO 40,T,DD,34,39-40,170.03823099526764,2.15,333,"39°7'9""",77.22275,11.152583333333334,GOOD,GOOD,11kv,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22275 11.152583333333334, 77.22358333333334 11.150055555555555)"
T.NO 41,T,DC,32,40-41,292.5149568825499,8.77],328,"29°0'48""",77.22358333333334,11.150055555555555,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22358333333334 11.150055555555555, 77.22519444444444 11.14861111111111)"
T.NO 42,S ,DA,32,41-42,240.75298544358697,4.82,333,,77.22519444444444,11.14861111111111,GOOD,GOOD,11kv,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22519444444444 11.14861111111111, 77.22697222222223 11.146888888888888)"
T.NO 43,T,DB,24,42-43,270.8966592632696,3.55,331,"9°30'19""",77.22697222222223,11.146888888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22697222222223 11.146888888888888, 77.22894444444445 11.14561111111111)"
T.NO 44,S,DA,32,43-44,255.7264163124334,6.17,331,,77.22894444444445,11.14561111111111,GOOD,GOOD,11kv,"CANAL,TAAR ROAD",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22894444444445 11.14561111111111, 77.23155555555556 11.14386111111111)"
T.NO 45,S,DA,32,44-45,346.96541614403014,5.25,331,,77.23155555555556,11.14386111111111,GOOD,GOOD,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23155555555556 11.14386111111111, 77.23386111111111 11.14236111111111)"
T.NO 46,T,DC,32,45-46,301.21254953935767,7.35,334,"21°3'35""",77.23386111111111,11.14236111111111,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23386111111111 11.14236111111111, 77.23536111111112 11.14025)"
T.NO 47,T,DB,30,46-47,285.27180021866866,3.45,330,"14°42'21""",77.23536111111112,11.14025,GOOD,GOOD,,"CANAL,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23536111111112 11.14025, 77.2375 11.138444444444444)"
T.NO 48,T,DC,32,47-48,306.7767918210242,2.15,329,"20°32'29""",77.2375,11.138444444444444,GOOD,GOOD,,"CANAL,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2375 11.138444444444444, 77.23941666666667 11.137777777777778)"
T.NO 49,T,DD,28,48-49,222.32633672149595,4.85,327,"57°52'13""",77.23941666666667,11.137777777777778,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23941666666667 11.137777777777778, 77.23994444444445 11.1355)"
T.NO 50,T,DC,26,49-50,258.58847615468096,6.18,328,"28°52'51""",77.23994444444445,11.1355,GOOD,GOOD,11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23994444444445 11.1355, 77.23916666666666 11.132888888888889)"
T.NO 51,T,DB,24,50-51,302.60535355475787,2.15,335,"7°30'21""",77.23916666666666,11.132888888888889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23916666666666 11.132888888888889, 77.23872222222222 11.130083333333333)"
T.NO 52,T,DB,24,51-52,314.3835237413055,3.85,339,"11°23'2""",77.23872222222222,11.130083333333333,GOOD,GOOD,3nos 11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23872222222222 11.130083333333333, 77.23880555555556 11.128166666666667)"
T.NO 53,T,DC,26,52-53,212.2851855405836,5.65,337,"23°5'57""",77.23880555555556,11.128166666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23880555555556 11.128166666666667, 77.24022222222223 11.125194444444444)"
T.NO 54,T,DC,26,53-54,361.809342057388,1.75,333,"28°8'0""",77.24022222222223,11.125194444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24022222222223 11.125194444444444, 77.24213888888889 11.123833333333334)"
T.NO 55,T,DD,28,54-55,256.44492586128507,4.55,330,"39°59'12""",77.24213888888889,11.123833333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24213888888889 11.123833333333334, 77.24280555555556 11.121111111111112)"
T.NO 56,T,DC,26,55-56,309.4769781421552,7.15,329,"23°11'55""",77.24280555555556,11.121111111111112,GOOD,GOOD,11kv,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24280555555556 11.121111111111112, 77.24441666666667 11.119)"
T.NO 57,T,DB,24,56-57,294.61330587738223,5.74,329,"12°41'36""",77.24441666666667,11.119,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24441666666667 11.119, 77.24525 11.117166666666668)"
T.NO 58,T,DC,26,57-58,222.3803048833237,3.65,339,"18°3'1""",77.24525,11.117166666666668,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24525 11.117166666666668, 77.24544444444444 11.11561111111111)"
T.NO 59,T,DB,24,58-59,172.16561793807728,2.95,332,"6°36'50""",77.24544444444444,11.11561111111111,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24544444444444 11.11561111111111, 77.24572222222223 11.114305555555555)"
T.NO 60/1 LILO,T,DD,28,59-60/1,147.95945390545344,3.67,333,"95°9'0""",77.24572222222223,11.114305555555555,GOOD,GOOD,,,PLAIN,PALLADAM LILO.NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24572222222223 11.114305555555555, 77.24691666666666 11.114694444444444)"
