S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 156 LILO KULATHUPALAYAM ,,T,DC,26,,,4.07,256,,77.52233333,10.76719444,GOOD,GOOD,,,PLAIN,KULATHUPALAYAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52233333333334 10.767194444444446, 77.52466666666666 10.76613888888889)"
2,T.NO 1,,T,DB,26,156-1,282.0638226,3.34,261,"0°25'3""",77.52466667,10.76613889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52466666666666 10.76613888888889, 77.52686111111112 10.765138888888888)"
3,T.NO 2,,S,DA,26,01-Feb,262.7717641,4.36,257,,77.52686111,10.76513889,GOOD,GOOD,2nos HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52686111111112 10.765138888888888, 77.52863888888889 10.764416666666667)"
4,T.NO 3,,T,DB,24,02-Mar,210.2308255,3.02,254,"12°9'45""",77.52863889,10.76441667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52863888888889 10.764416666666667, 77.53058333333333 10.764)"
5,T.NO 4,,T,DB,24,03-Apr,220.2385071,2.83,246,"11°45'27""",77.53058333,10.764,GOOD,GOOD,"2nos LT,HT","TAAR ROAD,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53058333333333 10.764, 77.53280555555556 10.763972222222222)"
6,T.NO 5,,S,DA,26,04-May,241,7.16,248,,77.53280556,10.76397222,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53280555555556 10.763972222222222, 77.53505555555556 10.764)"
7,T.NO 6,,S,DA,26,05-Jun,247.0506021,2.69,246,,77.53505556,10.764,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53505555555556 10.764, 77.5376111111111 10.764027777777779)"
8,T.NO 7,,S,DA,26,06-Jul,280.016071,4.35,242,,77.53761111,10.76402778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5376111111111 10.764027777777779, 77.54005555555555 10.764)"
9,T.NO 8,,T,DB,24,07-Aug,266.0018797,3.88,240,"0°4'50""",77.54005556,10.764,GOOD,GOOD,3nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54005555555555 10.764, 77.5425 10.764)"
10,T.NO 9,,S,DA,26,08-Sep,269.0074348,5.01,241,,77.5425,10.764,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5425 10.764, 77.54513888888889 10.764027777777779)"
11,T.NO 10,,S,DA,26,09-Oct,287.0278732,2.61,243,,77.54513889,10.76402778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54513888888889 10.764027777777779, 77.54755555555555 10.764)"
12,T.NO 11,,T,DD,27,10-Nov,266,3.09,241,"45°47'8""",77.54755556,10.764,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54755555555555 10.764, 77.54897222222222 10.762555555555556)"
13,T.NO 12,,T,DB,33,11-Dec,220.6218484,4.45,248,"3°32'11""",77.54897222,10.76255556,GOOD,GOOD,,RIVER,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54897222222222 10.762555555555556, 77.55113888888889 10.76063888888889)"
14,T.NO 13,,S,DA,26,Dec-13,319.5637652,5.12,242,,77.55113889,10.76063889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55113888888889 10.76063888888889, 77.55319444444444 10.75875)"
15,T.NO 14,,T,DC,26,13-14,307.2100259,4.31,262,"21°43'41""",77.55319444,10.75875,GOOD,GOOD,LT,CANAL,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55319444444444 10.75875, 77.55402777777778 10.757083333333334)"
16,T.NO 15,,T,DC,26,14-15,206.6131651,3.65,248,"16°7'20""",77.55402778,10.75708333,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55402777777778 10.757083333333334, 77.55566666666667 10.755305555555555)"
17,T.NO 16,,T,DB,24,15-16,266.1127581,3.22,249,"8°17'4""",77.55566667,10.75530556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55566666666667 10.755305555555555, 77.55702777777778 10.753277777777777)"
18,T.NO 17,2W,T,DC,26,16-17,269.8758974,6.36,253,"26°59'36""",77.55702778,10.75327778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55702777777778 10.753277777777777, 77.55730555555556 10.751111111111111)"
19,T.NO 18,,S,DA,26,17-18,239.2864392,5.35,247,,77.55730556,10.75111111,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55730555555556 10.751111111111111, 77.55758333333333 10.748638888888888)"
20,T.NO 19,,S,DA,26,18-19,275.9800717,3.01,246,,77.55758333,10.74863889,GOOD,GOOD,3nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55758333333333 10.748638888888888, 77.55788888888888 10.74625)"
21,T.NO 20,,S,DA,26,19-20,266.18039,2.69,248,,77.55788889,10.74625,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55788888888888 10.74625, 77.55813888888889 10.744138888888887)"
22,T.NO 21,,T,DA,26,20-21,235.7901609,3.99,259,"12°41'51""",77.55813889,10.74413889,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55813888888889 10.744138888888887, 77.55911111111111 10.741388888888888)"
23,T.NO 22,,S,DA,26,21-22,324.5704854,4.02,265,,77.55911111,10.74138889,GOOD,GOOD,"HT,2nos LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55911111111111 10.741388888888888, 77.56002777777778 10.73886111111111)"
24,T.NO 23,,T,DA,26,22-23,295.7786334,3.89,270,"3°14'46""",77.56002778,10.73886111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56002777777778 10.73886111111111, 77.56066666666666 10.73661111111111)"
25,T.NO 24,,S,DA,26,23-24,257.8468538,5.86,267,,77.56066667,10.73661111,GOOD,GOOD,LT`,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56066666666666 10.73661111111111, 77.56127777777778 10.734583333333333)"
26,T.NO 25,,S,DA,26,24-25,235.0510583,15.6,266,,77.56127778,10.73458333,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56127777777778 10.734583333333333, 77.56191666666666 10.73236111111111)"
27,T.NO 26,,S,DA,26,25-26,254.1200504,15.1,270,,77.56191667,10.73236111,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56191666666666 10.73236111111111, 77.5625 10.730305555555555)"
28,T.NO 27,,S,DA,26,26-27,237.0843732,6.8,274,,77.5625,10.73030556,GOOD,GOOD,,"TAAR ROAD, MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5625 10.730305555555555, 77.563 10.728777777777777)"
29,T.NO 28,,T,DC,26,27-28,179.3014222,6.75,274,"28°41'3""",77.563,10.72877778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.563 10.728777777777777, 77.56247222222223 10.726416666666667)"
30,T.NO 29,,S,DA,26,28-29,265.9624034,5.31,278,,77.56247222,10.72641667,GOOD,GOOD,"LT,2nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56247222222223 10.726416666666667, 77.56202777777777 10.724305555555556)"
31,T.NO 30,,S,DA,26,29-30,238.673417,5.18,277,,77.56202778,10.72430556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56202777777777 10.724305555555556, 77.5616111111111 10.722555555555555)"
32,T.NO 31,,T,DC,26,30-31,200.6614064,4.76,SS,"15°59'58""",77.56161111,10.72255556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5616111111111 10.722555555555555, 77.56055555555555 10.720638888888889)"
33,T.NO 32,,T,DC,26,31-32,241.1182283,5.91,282,"17°4'10""",77.56055556,10.72063889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56055555555555 10.720638888888889, 77.56008333333332 10.718333333333334)"
34,T.NO 33,,T,DD,28,32-33,259.665169,4.32,281,"47°15'42""",77.56008333,10.71833333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56008333333332 10.718333333333334, 77.56022222222222 10.718166666666667)"
35,GANTRY 110KV KULATHUPALAYAM SS,2W,T,GANTRY,20,33-GT,23.60084744,,275,,77.56022222,10.71816667,GOOD,MISSING,,,PLAIN,110KV KULATHUPALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
