S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,20,,Tension,DC+9,35,23-24,221,0.5,338," 21°48’30.66""RT",11.287625,76.98561944,OK,OK,"LT, Two 33kv",State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98561944444444 11.287625, 76.98389722222223 11.28773611111111)"
22,21,,Suspension,DA+0,26,24-25,192,0.5,336,,11.28773611,76.98389722,OK,OK,33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98389722222223 11.28773611111111, 76.98208611111112 11.287875)"
23,22,,Tension,DD+0,28,25-26,203,4.4,330," 66°45’36.66""RT",11.287875,76.98208611,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98208611111112 11.287875, 76.98142222222222 11.289813888888888)"
24,23,,Tension,DB+0,24,26-27,225,0.5,332, 3°5’4.27”LT,11.28981389,76.98142222,OK,OK,LT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98142222222222 11.289813888888888, 76.980575 11.292008333333333)"
25,24,,Tension,DD+0,28,27-28,265,0.7,320, 67°28’5.04”LT,11.29200833,76.980575,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.980575 11.292008333333333, 76.97773611111111 11.292052777777778)"
26,25,,Suspension,DA+0,26,28-29,312,3.6,329,,11.29205278,76.97773611,OK,OK,"Two LT, 33kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97773611111111 11.292052777777778, 76.9750638888889 11.292108333333333)"
27,26,,Tension,DD+0,28,29-30,295,5,324," 49°38’38.8""RT",11.29210833,76.97506389,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9750638888889 11.292108333333333, 76.97321944444445 11.294333333333332)"
28,27,,Suspension,DA+0,26,30-31,321,3,326,,11.29433333,76.97321944,OK,OK,"Four LT, 33kv","Canal, Tar Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97321944444445 11.294333333333332, 76.97151111111111 11.296388888888888)"
29,28,2W,Tension,DD+0,28,31-32,295,2.2,335," 31°31’3.21""RT",11.29638889,76.97151111,OK,OK,"LT, 33kv",Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97151111111111 11.296388888888888, 76.97005833333334 11.296877777777778)"
30,29,,Suspension,DA+0,26,32-33,172,3.2,334,,11.29687778,76.97005833,OK,OK,33kv,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97005833333334 11.296877777777778, 76.96820555555556 11.297538888888889)"
31,30,,Tension,DB+0,24,33-34,217,0.5,338," 11°41’18.42""RT",11.29753889,76.96820556,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96820555555556 11.297538888888889, 76.96638055555556 11.298636111111112)"
32,31,,Suspension,DA+0,26,34-35,236,1.6,333,,11.29863611,76.96638056,OK,OK,-,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96638055555556 11.298636111111112, 76.96455555555556 11.299725)"
33,32,,Tension,DB+0,24,35-36,236,2.3,335, 8°33’25.71”LT,11.299725,76.96455556,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96455555555556 11.299725, 76.96271111111112 11.300425)"
34,33,,Tension,DD+0,28,36-37,219,2.6,329, 36°59’48.46”LT,11.300425,76.96271111,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96271111111112 11.300425, 76.96010555555556 11.2997)"
35,34,,Tension,DC+0,26,37-38,306,0.4,335, 18°46’26.92”RT,11.2997,76.96010556,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96010555555556 11.2997, 76.95848611111111 11.2998)"
36,35,,Tension,DB+0,24,38-39,177,1.8,339," 9°57’58.26""RT",11.2998,76.95848611,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95848611111111 11.2998, 76.95648333333334 11.300283333333335)"
37,36,,Tension,DD+0,28,39-40,235,1.6,339," 62°9’29.55""RT",11.30028333,76.95648333,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95648333333334 11.300283333333335, 76.95606388888889 11.301941666666668)"
38,37,,Tension,DC+0,26,40-41,193,0.6,339," 28°5’38.61""LT",11.30194167,76.95606389,OK,OK,-,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95606388888889 11.301941666666668, 76.95482777777778 11.303297222222223)"
39,38,,Tension,DD+0,28,41-42,205,0.4,345," 65°2’49.11""LT",11.30329722,76.95482778,OK,OK,33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95482777777778 11.303297222222223, 76.95289166666667 11.302694444444445)"
40,39,2W,Tension,DD+0,28,42-43,224,0.3,344," 59°56’27.6""LT",11.30269444,76.95289167,OK,OK,Three 33kv,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95289166666667 11.302694444444445, 76.95279444444445 11.302197222222222)"
41,40,,Suspension,DA+0,26,43-44,58,1.6,343,,11.30219722,76.95279444,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95279444444445 11.302197222222222, 76.95250555555556 11.300111111111113)"
42,41,,Suspension,DA+0,26,44-45,234,4.7,338,,11.30011111,76.95250556,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95250555555556 11.300111111111113, 76.95201111111112 11.29748611111111)"
43,42,,Suspension,DA+0,26,45-46,300,3,338,,11.29748611,76.95201111,OK,OK,Three LT,"Cement Road, Two Tar Roads",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95201111111112 11.29748611111111, 76.95166666666667 11.295441666666667)"
44,43,,Tension,DC+9,35,46-47,232,0.6,336, 25°26’15.08”RT,11.29544167,76.95166667,OK,OK,Two LT,"Three Cement Roads, Two Mud Roads",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95166666666667 11.295441666666667, 76.95038333333333 11.293602777777778)"
45,44,,Suspension,DA+0,26,47-48,250,5.2,334,,11.29360278,76.95038333,OK,OK,"Six LT, 33kv","Mud Road, Three Cement Roads, SH",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95038333333333 11.293602777777778, 76.94925555555555 11.291969444444444)"
