S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 3/1 LILO SULTANPETTAI,T,DC,26,NIL,NIL,4.36,428,"00°00'00""",77.25372222222222,10.929138888888888,GOOD,GOOD,NIL,NIL,PLAIN,SULTHANPETTAI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25372222222222 10.929138888888888, 77.25261111111111 10.92911111111111)"
2,T.NO 2,T,SB,24,3/1-2,122.03687967167957,5.85,429,"1°28'33""",77.25261111111111,10.92911111111111,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25261111111111 10.92911111111111, 77.25008333333334 10.92911111111111)"
3,T.NO 3,S,SA,26,2-3,278.0017985553331,3.64,426,"00°00'00""",77.25008333333334,10.92911111111111,GOOD,GOOD,"LT,HT,400kv CROSSING ABOVE OUR LINE",MUD ROAD,PLAIN,ARASUR - UDUMALAIPET PGCIL 400KV LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25008333333334 10.92911111111111, 77.24744444444444 10.929138888888888)"
4,T.NO 4,S,SA,26,3-4,288,4.96,425,"00°00'00""",77.24744444444444,10.929138888888888,GOOD,GOOD,HT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24744444444444 10.929138888888888, 77.24483333333333 10.929166666666665)"
5,T.NO 5,T,SD,28,4-5,285.0070174574654,6.21,427,"54°35'44""",77.24483333333333,10.929166666666665,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24483333333333 10.929166666666665, 77.24319444444444 10.926944444444445)"
6,T.NO 6/1 KARADIVAAVI LILO,T,DB,24,5-6/1,303.29028998634294,6.76,427,"0°19'28""",77.24319444444444,10.926944444444445,GOOD,GOOD,NIL,NIL,PLAIN,KARADIVAAVI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24319444444444 10.926944444444445, 77.24158333333334 10.924777777777777)"
7,T.NO 6,S,SA,26,6/1-6,299.015049788468,4.9,429,"00°00'00""",77.24158333333334,10.924777777777777,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24158333333334 10.924777777777777, 77.24002777777778 10.922694444444444)"
8,T.NO 7,S,SA,26,6-7,285.8548582760139,6.15,421,"00°00'00""",77.24002777777778,10.922694444444444,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24002777777778 10.922694444444444, 77.23838888888889 10.920472222222221)"
9,T.NO 8,S,SA,26,7-8,303.29028998634294,6.85,415,"00°00'00""",77.23838888888889,10.920472222222221,GOOD,GOOD,2nos HT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23838888888889 10.920472222222221, 77.23680555555556 10.918305555555555)"
10,T.NO 9,T,SB,24,8-9,296.66479400158016,7.15,421,"4°42'37""",77.23680555555556,10.918305555555555,GOOD,GOOD,HT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23680555555556 10.918305555555555, 77.23536111111112 10.916)"
