S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,58 LILO MADHAMPATTY,,,,,,,,413,,76.94627778,10.95994444,GOOD,GOOD,,,,MADHAMPATTY LILO.NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94627777777778 10.959944444444444, 76.94566666666667 10.959833333333332)"
2,T.NO 1,,T,DB,24,58-1,66.75327707,3.75,413,"5°24'22""",76.94566667,10.95983333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94566666666667 10.959833333333332, 76.94338888888889 10.959722222222222)"
3,T.NO 2,,S,DA,26,01-Feb,249.3932637,4.35,412,,76.94338889,10.95972222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94338888888889 10.959722222222222, 76.94077777777778 10.95961111111111)"
4,T.NO 3,,T,DB,33,02-Mar,286.4472028,3.25,421,"12°28'1""",76.94077778,10.95961111,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94077777777778 10.95961111111111, 76.93847222222223 10.959972222222222)"
5,T.NO 4,,S,DA,35,03-Apr,255.988281,2.65,421,,76.93847222,10.95997222,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93847222222223 10.959972222222222, 76.93652777777778 10.960333333333333)"
6,T.NO 5,,S,DA,26,04-May,216.5409892,8.45,419,,76.93652778,10.96033333,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93652777777778 10.960333333333333, 76.93455555555556 10.960638888888889)"
7,T.NO 6,,T,DC,26,05-Jun,217.5178154,4,421,"21°35'48""",76.93455556,10.96063889,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93455555555556 10.960638888888889, 76.93397222222222 10.960527777777777)"
8,DB 1,,T,DB,24,6-DB1,65.51335742,3.1,424,"4°37'2""",76.93397222,10.96052778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93397222222222 10.960527777777777, 76.93344444444445 10.960444444444443)"
9,DB2,,T,DB,24,DB1-DB2,59.53990259,2.78,423,"2°55'55""",76.93344444,10.96044444,GOOD,GOOD,230kv DC LINE CROSSING ABOVE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93344444444445 10.960444444444443, 76.9325 10.960277777777778)"
10,T.NO 7,,T,DB,24,DB2-7,102.7715914,5,422,"0°37'16""",76.9325,10.96027778,GOOD,GOOD,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9325 10.960277777777778, 76.92961111111111 10.95975)"
11,T.NO 8,,T,DD,28,07-Aug,322.2188697,6..15,423,"38°42'56""",76.92961111,10.95975,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92961111111111 10.95975, 76.92819444444444 10.958055555555555)"
12,T.NO 9,,S,DA,26,08-Sep,242.8868049,5.95,426,,76.92819444,10.95805556,GOOD,GOOD,"2nos LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92819444444444 10.958055555555555, 76.92663888888889 10.956277777777776)"
13,T.NO 10,2W,T,DC,26,09-Oct,261.0785322,6.15,421,"27°59'41""",76.92663889,10.95627778,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92663888888889 10.956277777777776, 76.92430555555556 10.95536111111111)"
14,T.NO 11,,S,DA,26,10-Nov,271.4866479,4.75,450,,76.92430556,10.95536111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92430555555556 10.95536111111111, 76.92202777777779 10.9545)"
15,T.NO 12,,S,DA,26,11-Dec,266.6608333,7.45,445,,76.92202778,10.9545,GOOD,GOOD,"2nos LT,HT",3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92202777777779 10.9545, 76.91961111111111 10.953527777777778)"
16,T.NO 13,,S,DA,26,Dec-13,285.6168763,5.2,442,,76.91961111,10.95352778,GOOD,GOOD,3nos LT,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91961111111111 10.953527777777778, 76.91705555555556 10.952527777777776)"
17,T.NO 14,,S,DA,26,13-14,303.2441261,4.5,443,,76.91705556,10.95252778,GOOD,GOOD,"2nos LT,HT",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91705555555556 10.952527777777776, 76.91466666666668 10.951611111111111)"
18,T.NO 15,,S,DA,26,14-15,277.800288,3.8,446,,76.91466667,10.95161111,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91466666666668 10.951611111111111, 76.91222222222223 10.95061111111111)"
19,T.NO 16,,T,DD,28,15-16,290.6217473,3.39,451,"32°54'5""",76.91222222,10.95061111,GOOD,GOOD,"2nos LT,HT","DRAIN,TAAR ROAD",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91222222222223 10.95061111111111, 76.90947222222223 10.951166666666666)"
20,T.NO 17,,S,DA,26,16-17,305.7466271,4.36,447,,76.90947222,10.95116667,GOOD,GOOD,,"POND,TAAR ROAD",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90947222222223 10.951166666666666, 76.90669444444445 10.951722222222221)"
21,T.NO 18,,S,DA,26,17-18,310.4657791,5.95,447,,76.90669444,10.95172222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90669444444445 10.951722222222221, 76.90391666666667 10.952277777777777)"
22,T.NO 19,,S,DA,26,18-19,310.0596717,6.15,448,,76.90391667,10.95227778,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90391666666667 10.952277777777777, 76.90111111111112 10.952805555555555)"
23,T.NO 20,,S,DA,26,19-20,310.2805182,3.75,452,,76.90111111,10.95280556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90111111111112 10.952805555555555, 76.89838888888889 10.95336111111111)"
