Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,DC,T,26,16-17,,190.71706793048176,6.09,214,"27°51'57""(LT)",11.290607508066337,78.19391657803673,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19391657803673 11.290607508066337, 78.19600617440217 11.293147713586022)"
18,DC,T,26,17-18,,316.7869946825469,4.93,211,"25°51'29""(RT)",11.293147713586022,78.19600617440217,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19600617440217 11.293147713586022, 78.19670039039264 11.286695137742944)"
18A(19),DD,T,28,18-18A(19),,225.81851119870575,3.52,209,"46°25'10""(RT)",11.286695137742944,78.19670039039264,GOOD,GOOD,33KV LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19670039039264 11.286695137742944, 78.1957844561476 11.284879718824554)"
19(20),DD,T,28,18A(19)-19(20),,224.50835173774718,4.09,206,"43°23'54""(LT)",11.284879718824554,78.1957844561476,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1957844561476 11.284879718824554, 78.19646486360851 11.28267288088728)"
20(21),DB,T,24,19(20)-20(21),,255.3605294480727,3.83,204,"00°00'00""",11.28267288088728,78.19646486360851,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19646486360851 11.28267288088728, 78.1971382087683 11.280249161280079)"
21(22),DA,S,26,20(21)-21(22),,278.21214926742505,3.63,201,,11.280249161280079,78.1971382087683,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1971382087683 11.280249161280079, 78.197802211298 11.277843416542687)"
22(23),DC,T,26,21(22)-22(23),,276.0235497199469,3.47,201,"24°27'00""(RT)",11.277843416542687,78.197802211298,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.197802211298 11.277843416542687, 78.19743059833081 11.275581459297706)"
23(24),DA,S,26,22(23)-23(24),,253.67104683033892,4.09,199,,11.275581459297706,78.19743059833081,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19743059833081 11.275581459297706, 78.19705767310703 11.273454996994586)"
24(25),DA,S,26,23(24)-24(25),,238.9016534057477,2.09,197,,11.273454996994586,78.19705767310703,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19705767310703 11.273454996994586, 78.19672030376886 11.271437276515606)"
25(26),DA,S,26,24(25)-25(26),,226.38462845343543,4.97,196,,11.271437276515606,78.19672030376886,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19672030376886 11.271437276515606, 78.19633945676925 11.269184267554678)"
26(27),DB,T,24,25(26)-26(27),,252.85766747322495,5.07,191,"09°33'33""(LT)",11.269184267554678,78.19633945676925,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19633945676925 11.269184267554678, 78.19634287182545 11.26694392249705)"
27(28),DA,S,26,26(27)-27(28),,248.0080643850115,3.63,188,,11.26694392249705,78.19634287182545,GOOD,GOOD,33KV-2,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19634287182545 11.26694392249705, 78.19633721903956 11.26469445776253)"
28,DA,S,26,27(28)-28,,249.0180716333656,5.09,187,,11.26469445776253,78.19633721903956,GOOD,GOOD,LT-1,TAR ROAD CROSSING,CANNAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19633721903956 11.26469445776253, 78.19639448122655 11.262563025949516)"
29,DA,S,26,28-29,,236.03389587091087,2.09,186,,11.262563025949516,78.19639448122655,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19639448122655 11.262563025949516, 78.19643562447914 11.260205596955393)"
30,DC,T,26,29-30,,261.00766272276377,2.63,184,"23°22'16""(RT)",11.260205596955393,78.19643562447914,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19643562447914 11.260205596955393, 78.19545177952612 11.25784752662665)"
31,DD,T,28,30-31,,282.3118842698621,3.09,182,"36°55'00""(LT)",11.25784752662665,78.19545177952612,GOOD,GOOD,"LT-1, 33KV-1",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19545177952612 11.25784752662665, 78.19606941916291 11.255495539528214)"
32,DB,T,24,31-32,,268.972117514065,5.63,181,"00°00'00""",11.255495539528214,78.19606941916291,GOOD,GOOD,LT-2,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19606941916291 11.255495539528214, 78.19671467137138 11.253125741429622)"
33,DA,S,26,32-33,,271.64867016055865,1.53,181,,11.253125741429622,78.19671467137138,GOOD,GOOD,LT-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19671467137138 11.253125741429622, 78.19708440019423 11.251801261252268)"
33A/1-ꓕ(TAPPING POINT),DD,T,28,33-33(1),,152.0855022676389,3.57,182,"99°33'25""(LT)",11.251801261252268,78.19708440019423,GOOD,GOOD,,,,TAPPING POINT FROM PUDHANSANTHAI TO VALAYAPATTI LINE(T.NO 33-34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19708440019423 11.251801261252268, 78.19846927373871 11.252437650057466)"
34(2),DD,T,28,33(1)-34(2),,166.9281282468596,1.73,179,"33°50'30""(LT)",11.252437650057466,78.19846927373871,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19846927373871 11.252437650057466, 78.19978466293172 11.254582025478628)"
35(3),DA,S,26,34(2)-35(3),,277.5103601669675,2.15,180,,11.254582025478628,78.19978466293172,GOOD,GOOD,230KV LINE CROSSING(ABOVE)- T.NO:27-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19978466293172 11.254582025478628, 78.20107235460272 11.256753239825501)"
36(4),DB,T,24,35(3)-36(4),,278.5139134765084,2.3,182,"05°37'04""(RT)",11.256753239825501,78.20107235460272,GOOD,GOOD,LT CROSSING,ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20107235460272 11.256753239825501, 78.20261698762141 11.258854601925)"
37(5),DC,T,26,36(4)-37(5),,287.4056366879397,4.09,181,"28°35'29""(RT)",11.258854601925,78.20261698762141,GOOD,GOOD,LT-1, ,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20261698762141 11.258854601925, 78.2047761651981 11.25986865028575)"
38(6),DC,T,26,37(5)-38(6),,261.283371074395,3.67,184,"17°58'52""(LT)",11.25986865028575,78.2047761651981,GOOD,GOOD,LT-2,"TAR ROAD CROSSING, SAND ROAD CROSSING",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2047761651981 11.25986865028575, 78.20668087160077 11.261648170916326)"
39(7),DC,T,26,38(6)-39(7),,286.574597618142,3.09,186,"18°22'53""(LT)",11.261648170916326,78.20668087160077,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20668087160077 11.261648170916326, 78.20790379838508 11.263900069332152)"
40(8),DC,T,26,39(7)-40(8),,282.842712474619,4.38,189,"28°32'17""(RT)",11.263900069332152,78.20790379838508,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20790379838508 11.263900069332152, 78.20991383042825 11.265201774279179)"
41(9),DB,T,24,40(8)-41(9),,262.68802789621,2.63,193,"03°25'19""(LT)",11.265201774279179,78.20991383042825,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20991383042825 11.265201774279179, 78.21176770171078 11.26656524017392)"
42(10),DA,S,26,41(9)-42(10),,252.62026838715852,7.09,193,,11.26656524017392,78.21176770171078,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21176770171078 11.26656524017392, 78.21388445606831 11.268193149222904)"
43(11),DB,T,24,42(10)-43(11),,293.21152774063984,8.73,193,"02°13'52""(RT)",11.268193149222904,78.21388445606831,GOOD,GOOD,33KV LINE CROSSING,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21388445606831 11.268193149222904, 78.21591154830213 11.269630495024973)"
44(12),DA,S,26,43(11)-44(12),,272.72330300141203,4.63,199,,11.269630495024973,78.21591154830213,GOOD,GOOD,LT-2,,POND CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21591154830213 11.269630495024973, 78.21762027439598 11.27086610005488)"
45(13),DC,T,26,44(12)-45(13),,231.4497785697796,4.97,202,"19°10'03""(LT)",11.27086610005488,78.21762027439598,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21762027439598 11.27086610005488, 78.21869460916571 11.272402906603833)"
46(14),DC,T,26,45(13)-46(14),,206.69300907384363,3.79,197,"19°23'17""(RT)",11.272402906603833,78.21869460916571,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21869460916571 11.272402906603833, 78.22062161191079 11.273785089944626)"
47(15),DC,T,26,46(14)-47(15),,260.2786967848118,2.09,193,"21°09'00""(RT)",11.273785089944626,78.22062161191079,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22062161191079 11.273785089944626, 78.2233056620058 11.274487770300365)"
48(16),DB,T,24,47(15)-48(16),,303.41555662160766,3.41,190,,11.274487770300365,78.2233056620058,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2233056620058 11.274487770300365, 78.225552620139 11.274960491942148)"
49(17),DD,T,28,48(16)-49(17),,251.0298786997277,4.63,190,"45°37'50""(RT)",11.274960491942148,78.225552620139,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.225552620139 11.274960491942148, 78.22769863969437 11.273553182767747)"
50(18),DD,T,28,49(17)-50(18),,281.5190934910099,2.73,189,"35°24'00""(RT)",11.273553182767747,78.22769863969437,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22769863969437 11.273553182767747, 78.22851714424311 11.272187660819874)"
51(19),DD,T,28,50(18)-51(19),,205.9927183179056,9.7,189,"59°03'01""(LT)",11.272187660819874,78.22851714424311,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22851714424311 11.272187660819874, 78.22864682476627 11.272026259901414)"
SENTHAMANGALAM GANTRY,GANTRY,T,20,51(19)-GANTRY,,27.459060435491963,,190,,11.272026259901414,78.22864682476627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G8:G61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
