S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
82,81,DA,26,80-81,,289.6281566471576,2.05,613,,12.61346,78.08391,GOOD,GOOD,LT-2,CANNAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08391 12.61346, 78.08603 12.61152)"
83,82,DB,24,81-82,,315.092665717668,1.92,613,,12.61152,78.08603,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08603 12.61152, 78.08762 12.6101)"
84,83,DA,26,82-83,,221.64318192382063,2.47,620,,12.6101,78.08762,GOOD,GOOD,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08762 12.6101, 78.08967 12.60827)"
85,84,DA,26,83-84,,313.29837651966494,0.92,619,,12.60827,78.08967,GOOD,GOOD,,"CANNAL CROSSING, FOREST AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08967 12.60827, 78.09174 12.60646)"
86,85,DC,26,84-85,,301.3817184160141,1.21,634,"18°08'26""(LT)",12.60646,78.09174,GOOD,GOOD,,"SAND ROAD CROSSING, POND CROSSING, FOREST AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09174 12.60646, 78.09368 12.60563)"
87,86,DA,26,85-86,,230.11005830335242,3.19,628,,12.60563,78.09368,GOOD,GOOD,,"FARMER LAND, SMALL HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09368 12.60563, 78.09499 12.60505)"
88,87,DA,26,86-87,,156.2601489335665,2.19,634,,12.60505,78.09499,GOOD,GOOD,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09499 12.60505, 78.09755 12.60398)"
89,88,DA,26,87-88,,302.5450291582198,3.76,638,,12.60398,78.09755,GOOD,GOOD,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09755 12.60398, 78.09956 12.60313)"
90,89,DA,26,88-89,,238.03214354905253,2.71,643,,12.60313,78.09956,GOOD,GOOD,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09956 12.60313, 78.10198 12.60213)"
91,90,DA,26,89-90,,281.409870234396,5.83,662,,12.60213,78.10198,GOOD,GOOD,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10198 12.60213, 78.10409 12.60118)"
92,91,DD,28,90-91,,256.4579320614607,5.28,661,"38°55'32""(RT)",12.60118,78.10409,GOOD,GOOD,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10409 12.60118, 78.10503 12.59932)"
93,92,DB,24,91-92,,229.9103310595897,4.85,640,,12.59932,78.10503,GOOD,GOOD,,"HILLS AREA, FOREST AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10503 12.59932, 78.10592 12.59761)"
94,93,DB,24,92-93,,212.63188130861062,5.73,626,"11°40'14""(LT)",12.59761,78.10592,GOOD,GOOD,,FOREST HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10592 12.59761, 78.10784 12.59526)"
95,94,DB,24,93-94,,333.6051861025149,5.48,582,,12.59526,78.10784,GOOD,GOOD,,FOREST HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10784 12.59526, 78.10949 12.59329)"
96,95,DD,28,94-95,,282.4361964053929,1.2,569,"36°32'10""(LT)",12.59329,78.10949,GOOD,GOOD,,NEW TOWER PROCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10949 12.59329, 78.11177 12.59273)"
97,96,DA,26,95-96,,255.4474390104307,0.91,563,,12.59273,78.11177,GOOD,GOOD,,"TOWER INSIDE THE KATERA COMPANY, NEW TOWER PROCESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11177 12.59273, 78.11445 12.59203)"
98,97,DA,26,96-97,,296.7337755320357,0.76,554,,12.59203,78.11445,GOOD,GOOD,,"TOWER INSIDE THE KATERA COMPANY, TAR ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11445 12.59203, 78.11688 12.59142)"
99,98,DB,24,97-98,,277.7197136209756,0.84,545,"06°43'12""(RT)",12.59142,78.11688,GOOD,GOOD,"LT LINE, 11KV LINE CROSSING",SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11688 12.59142, 78.11879 12.59068)"
100,99,DA,26,98-99,,223.28355635277362,2.36,539,,12.59068,78.11879,GOOD,GOOD,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11879 12.59068, 78.12125 12.58974)"
101,100,DA,26,99-100,,287.0515631385498,2.97,540,,12.58974,78.12125,GOOD,GOOD,,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12125 12.58974, 78.12386 12.58872)"
102,101,DB,24,100-101,,305.4745534948977,0.79,538,,12.58872,78.12386,GOOD,GOOD,LT LINE CROSSING,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12386 12.58872, 78.12631 12.58777)"
103,102,DA,26,101-102,,286.4437062240097,0.41,534,,12.58777,78.12631,GOOD,GOOD,33KV LINE CROSSING,"FARMER AREA, TAR ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12631 12.58777, 78.12923 12.58665)"
104,103,DA,26,102-103,,340.89907116665313,0.65,531,,12.58665,78.12923,GOOD,GOOD,11KV LINE CROSSING,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12923 12.58665, 78.13159 12.58574)"
105,104,DA,26,103-104,,275.7150282543571,0.71,527,,12.58574,78.13159,GOOD,GOOD,LT LINE CROSSING,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13159 12.58574, 78.13416 12.58476)"
106,105,DB,24,104-105,,299.8074543188565,4.83,520,,12.58476,78.13416,GOOD,GOOD,,"FARMER AREA, RIVER CROSSING, SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13416 12.58476, 78.13664 12.58381)"
107,106,DA,26,105-106,,289.4820881128022,5.19,517,,12.58381,78.13664,GOOD,GOOD,"LT-3,33 KV LINE CROSSING",FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13664 12.58381, 78.13832 12.58315)"
108,107,DA,26,106-107,,196.7700721482115,0.59,525,,12.58315,78.13832,GOOD,GOOD,11KV-2,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13832 12.58315, 78.14041 12.58237)"
109,108,DA,26,107-108,,243.13956139527235,1.61,528,,12.58237,78.14041,GOOD,GOOD,,"SAND ROAD CROSSING, FARMER LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14041 12.58237, 78.14316 12.5812)"
110,109,DB,24,108-109,,325.9104559060455,0.81,526,"10°40'06""(RT)",12.5812,78.14316,GOOD,GOOD,,"TAR ROAD CROSSING, FARMER LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14316 12.5812, 78.14489 12.58005)"
111,110,DC,26,109-110,,227.17079565137675,0.31,524,"23°41'56""(RT)",12.58005,78.14489,GOOD,GOOD,LT LINE CROSSING,LAKE CROSSING ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14489 12.58005, 78.14616 12.57807)"
112,111,DB,24,110-111,,259.0950880733745,0.75,524,"09°07'00""(RT)",12.57807,78.14616,GOOD,GOOD,LT-3,"TAR ROAD CROSSING, HOUSE HOLD AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14616 12.57807, 78.14705 12.57602)"
113,112,DD,28,111-112,,246.7404210774007,6.99,531,"42°09'32""(LT)",12.57602,78.14705,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14705 12.57602, 78.14959 12.57487)"
114,113,DD,28,112-113,,304.1603630348502,0.22,534,"30°39'02""(RT)",12.57487,78.14959,GOOD,GOOD,"11KV-1,230KV CROSSING(DHARMAPURI TO KURIBARAPALLI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14959 12.57487, 78.15018 12.57403)"
115,114 (TAPPING POINT),DC,26,113-114,,112.98644412862359,0.16,535,"19°34'20""(LT)",12.57403,78.15018,GOOD,GOOD,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15018 12.57403, 78.15128 12.57325)"
116,115,DD,28,114-115,,147.54073632809153,1.61,534,"23°52'22""(RT)",12.57325,78.15128,GOOD,GOOD,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15128 12.57325, 78.15175 12.57246)"
117,116 LILO POINT,DD,28,115-116 LILO POINT,,101.30424074544742,2.16,537,"90°00'00""(LT)",12.57246,78.15175,GOOD,GOOD,116 LILO POINT GOING TO GURUBARAPALLI SS FROM HOSUR TO KARIMANGALLAM LINE,"SAND ROAD CROSSING, HOUSE HOLD AREA",FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15175 12.57246, 78.15293 12.57314)"
118,117,DD,28,116-117,,148.7816232253949,1.53,535,"60°50'41""(LT)",12.57314,78.15293,GOOD,GOOD,"LT-1,33KV-1","TAR ROAD CROSSING, HOUSE HOLD AREA",FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15293 12.57314, 78.15289 12.57495)"
119,118,DD,28,117-118,,200.4389776436331,2.29,536,"65°25'41""(LT)",12.57495,78.15289,GOOD,GOOD,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15289 12.57495, 78.15145 12.57556)"
120,119,DB,24,118-119,,170.54412108121798,2.45,536,,12.57556,78.15145,GOOD,GOOD,"33KV-1,11KV-2,LT-1",TAR ROAD CROSSING,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15145 12.57556, 78.15044 12.57606)"
121,120,DC,26,119-120,,122.99995099723559,2.14,537,"21°41'21""(LT)",12.57606,78.15044,GOOD,NO,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15044 12.57606, 78.15021 12.57608)"
122,GANTRY (KURUBARAPALLI),T,20,120-GANTRY,,25.110639398384812,,535,,12.57608,78.15021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G8:G128),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
