Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,,T,26,22A to 23 ,196.0343299,194.7104607,5.2,227,"26⁰21'5"" RT",11.45226,77.752747,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.752747 11.45226, 77.753378 11.451587)"
24,,T,26,23 to 24,100.6851731,101.4776679,4.1,236,"22⁰43'29"" RT",11.451587,77.753378,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.753378 11.451587, 77.754352 11.448953)"
25,,S,26,24 to 25 ,314.072914,310.3691823,4.6,223,,11.448953,77.754352,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.754352 11.448953, 77.755002 11.447262)"
26,,T,24,25 to 26 ,197.4480492,200.1944068,3.6,223,"5⁰48'17"" LT",11.447262,77.755002,Good,Good,,Road crossing ,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.755002 11.447262, 77.756163 11.444972)"
27,,T,24,26 to 27,286.5922087,283.4323275,5.1,222,"10⁰8'2"" RT",11.444972,77.756163,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.756163 11.444972, 77.756797 11.442852)"
28,,S,26,27 to 28 ,244.7232126,244.6779465,5.4,214,,11.442852,77.756797,Good,Good,230 kv line crossing,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.756797 11.442852, 77.756636 11.442005)"
MT ,,T,46,28-MT,239,97,,,,11.442005,77.756636,Good,Good,,,plain,Earth wire gong to via crossing tower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.756636 11.442005, 77.757422 11.440775)"
29,,S,26,MT to 29 ,,160,2.8,210,,11.440775,77.757422,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.757422 11.440775, 77.757965 11.438825)"
30,,T,28,29 to 30 ,228.2363056,223.856577,3.2,216,"42⁰17'38"" LT",11.438825,77.757965,Good,Good,230 kv line crossing (B8 & B9),,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.757965 11.438825, 77.756636 11.437856)"
EX T,,T,28,30 to EX T,252.3997196,140,,,,11.437856,77.756636,Good,Good,,,plain,Earth wire gong to via crossing tower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.756636 11.437856, 77.759937 11.437593)"
