S.NO,Tower No,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,VEMBADITHALAM  GANDRY,GANTRY,T,20,, ,,260,  ,11.57705,78.01047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01047 11.57705, 78.01037 11.57703)"
2,50,C,T,26,GANDRY -50,11.139259543370878,4.35,261,"20⁰19'51"" RT",11.57703,78.01037,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01037 11.57703, 78.00959 11.57715)"
3,49,D,T,28,50-49,86.18244248356994,5.61,260,"55⁰52'6"" RT",11.57715,78.00959,GOOD,GOOD,"LT LINE CROSSING, 33KV LINE CROSSING",TAR ROAD CROSSING,,SUBSTATION INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00959 11.57715, 78.00847 11.57949)"
4,48,A,S,26,49-48,286.4877933149225,8.71,268,,11.57949,78.00847,GOOD,GOOD,22KV LINE CROSSING,SAND ROAD CROSSING,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00847 11.57949, 78.00724 11.58199)"
5,47,A,S,26,48-47,307.65128913698715,9.52,263,,11.58199,78.00724,GOOD,GOOD,LT LINE CROSSING 3,SAND ROAD CROSSING,,"HOUSING AREA,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00724 11.58199, 78.00602 11.58459)"
6,46,A,S,26,47-46,317.18979569076885,10.25,266,,11.58459,78.00602,GOOD,GOOD,LT LINE CROSSING 3,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00602 11.58459, 78.00484 11.58704)"
7,45,C,T,26,46-45,300.298101463765,4.58,263,"19⁰2'41"" LT",11.58704,78.00484,GOOD,GOOD,"LT LINE CROSSING, 22KV LINE CROSSING",,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00484 11.58704, 78.00291 11.58898)"
8,44,B,T,24,45-44,300.879914164198,6.32,269,"12⁰18'34"" RT",11.58898,78.00291,GOOD,GOOD,"LT LINE CROSSING, 22KV LINE CROSSING 2",TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00291 11.58898, 78.00147 11.59124)"
9,43,A,S,26,44-43,295.5099311637938,7.86,275,,11.59124,78.00147,GOOD,GOOD,22KV LINE CROSSING,SAND ROAD CROSSING,,"HOUSING AREA,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00147 11.59124, 78.00005 11.59346)"
10,42,A,S,26,43-42,290.59846194711855,5.39,278,,11.59346,78.00005,GOOD,GOOD,LT LINE CROSSING 4,SAND ROAD CROSSING,,"MANGO GARDEN, HOUSING AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00005 11.59346, 77.998751 11.595483)"
11,41,A,S,26,42-41,265,8.27,279,,11.595483,77.998751,GOOD,GOOD,LT LINE CROSSING ,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.998751 11.595483, 77.99735 11.59773)"
12,40,B,T,24,41-40,292.0384603731521,4.66,287,"13⁰40'39"" RT",11.59773,77.99735,GOOD,GOOD,"LT LINE CROSSING 2, 22KV LINE CROSSING 3","SAND ROAD ,TAR ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99735 11.59773, 77.99658 11.60008)"
13,39,A,S,26,40-39,273.4345636741913,7.11,283,,11.60008,77.99658,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99658 11.60008, 77.99565 11.602929)"
14,38,C,T,26,39-38,331.3779651210239,6.12,288,"20⁰7'37"" RT",11.602929,77.99565,GOOD,GOOD,"LT LINE CROSSING 3, 22KV LINE CROSSING 2","SAND ROAD ,TAR ROAD CROSSING",,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99565 11.602929, 77.99571 11.60441)"
15,37,C,T,26,38-37,164.1086687794434,8,285,"21⁰32'53"" LT",11.60441,77.99571,GOOD,GOOD,"LT LINE CROSSING 4, 22KV LINE CROSSING ",TAR ROAD CROSSING,,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99571 11.60441, 77.99487 11.60678)"
