S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,
1,GT ARASUR 230SS,T,GT,20,,,,397,,77.12627777777777,11.093333333333334,GOOD,MISSING,,,PLAIN,230KV ARASUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12627777777777 11.093333333333334, 77.12619444444444 11.093055555555557)",,,,,,,,,,,,,
2,T.NO 1,T,DB,24,GT-1,30.083217912982647,11.4,385,"3°44'36""",77.12619444444444,11.093055555555557,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12619444444444 11.093055555555557, 77.12566666666666 11.091583333333334)",,,,,,,,,,,,,
3,T.NO 2,T,DD,28,1-2,173.62315513778685,3.36,384,"99°28'59""",77.12566666666666,11.091583333333334,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12566666666666 11.091583333333334, 77.12758333333332 11.09125)",,,,,,,,,,,,,
4,T.NO 3,T,DD,28,2-3,214.04905979704745,3.75,389,"57°11'28""",77.12758333333332,11.09125,GOOD,GOOD,"2nos LT,2nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12758333333332 11.09125, 77.12794444444444 11.090388888888889)",,,,,,,,,,,,,
5,T.NO 4,T,DD,28,3-4,104.38869670610895,5.95,386,"92°21'59""",77.12794444444444,11.090388888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12794444444444 11.090388888888889, 77.12933333333332 11.091027777777779)",,,,,,,,,,,,,
6,T.NO 5,T,DD,28,4-5,167.28717822953436,6.6,385,"47°5'43""",77.12933333333332,11.091027777777779,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12933333333332 11.091027777777779, 77.13033333333333 11.094055555555556)",,,,,,,,,,,,,
7,T.NO 6,T,DB,24,5-6,354.2315626818141,7.85,384,"4°41'15""",77.13033333333333,11.094055555555556,GOOD,GOOD,"2nos HT,LT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13033333333333 11.094055555555556, 77.13047222222221 11.094611111111112)",,,,,,,,,,,,,
8,T.NO 7,T,MB,45,6-7,63.56099432828282,8.25,382,"3°58'30""",77.13047222222221,11.094611111111112,GOOD,GOOD,,,PLAIN,NEED 3WAY JUNCTION BOX.FROM THIS TOWER CONNECT TO 230KV ARASUR-PGCIL LINK.OPGW AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13047222222221 11.094611111111112, 77.13102777777777 11.096416666666666)",,,,,,,,,,,,,
9,T.NO 8,S ,MA,45,7-8,208.806130178211,7.05,386,,77.13102777777777,11.096416666666666,GOOD,GOOD,"LT,2nos HT",TAAR ROAD,PLAIN,OPGW AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13102777777777 11.096416666666666, 77.13208333333333 11.0995)",,,,,,,,,,,,,
10,T.NO 9,T,MB,45,8-9,358.60284438358826,5.2,395,"7°16'41""",77.13208333333333,11.0995,GOOD,GOOD,HT,TAAR ROAD,PLAIN,OPGW AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13208333333333 11.0995, 77.13305555555554 11.101416666666667)",,,,,,,,,,,,,
11,T.NO 10,T,MC,45,9-10,238.8325773423718,4.3,393,"16°55'41""",77.13305555555554,11.101416666666667,GOOD,GOOD,,,PLAIN,OPGW AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13305555555554 11.101416666666667, 77.13430555555556 11.102722222222221)",,,,,,,,,,,,,
12,T.NO 11,T,MC,45,10-11,197.43606560099397,3.6,388,"17°10'25""",77.13430555555556,11.102722222222221,GOOD,GOOD,,,PLAIN,OPGW AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13430555555556 11.102722222222221, 77.13533333333334 11.104833333333334)",,,,,,,,,,,,,
13,T.NO 12,T,MC,45,11-12,257.18670261115756,2.9,394,"12°30'13""",77.13533333333334,11.104833333333334,GOOD,GOOD,,TAAR ROAD,PLAIN,OPGW AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13533333333334 11.104833333333334, 77.13586111111111 11.106972222222222)",,,,,,,,,,,,,
14,T.NO 13,T,MB,45,12-13,243.29817097545143,4.66,396,"7°59'54""",77.13586111111111,11.106972222222222,GOOD,GOOD,LT,,PLAIN,230KV ARASUR-PGCIL LINE SPLITTED IN THIS TOWER.OPGW AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13586111111111 11.106972222222222, 77.1363888888889 11.108305555555555)",,,,,,,,,,,,,
15,T.NO 14 LILO CHELLAPAM PALAYAM,T,DB,24,13-14,158.59697348940804,3.17,394,"2°16'50""",77.1363888888889,11.108305555555555,GOOD,MISSING,"LT,HT",,PLAIN,CHELLAPAMPALAYAM LILO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1363888888889 11.108305555555555, 77.1371388888889 11.11)",,,,,,,,,,,,,
16,T.NO 15,S,DA,26,14-15,206.93960471596537,7.75,398,,77.1371388888889,11.11,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1371388888889 11.11, 77.13813888888889 11.112416666666666)",,,,,,,,,,,,,
17,T.NO 16,S,DA,26,15-16,288.2013185257833,3.42,393,,77.13813888888889,11.112416666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13813888888889 11.112416666666666, 77.13925 11.115)",,,,,,,,,,,,,
18,T.NO 17,S,DA,26,16-17,309.23292192132453,3.3,390,,77.13925,11.115,GOOD,GOOD,"LT,HT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13925 11.115, 77.14008333333334 11.116944444444444)",,,,,,,,,,,,,
19,T.NO 18,S,DA,26,17-18,235.46761985462035,3.9,387,,77.14008333333334,11.116944444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14008333333334 11.116944444444444, 77.14130555555556 11.119805555555557)",,,,,,,,,,,,,
20,T.NO 19,T,DC,26,18-19,343.0014577228499,6.5,377,"19°24'53""",77.14130555555556,11.119805555555557,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14130555555556 11.119805555555557, 77.14305555555556 11.121722222222223)",,,,,,,,,,,,,
21,T.NO 20,S,DA,26,19-20,284.682279041039,7.3,377,,77.14305555555556,11.121722222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14305555555556 11.121722222222223, 77.1448888888889 11.123777777777779)",,,,,,,,,,,,,
22,T.NO 21,S,DA,26,20-21,305.45212390815027,4.2,374,,77.1448888888889,11.123777777777779,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1448888888889 11.123777777777779, 77.1466388888889 11.125694444444445)",,,,,,,,,,,,,
23,T.NO 22,T,DC,26,21-22,284.1918366174511,5.1,381,"29°36'34""",77.1466388888889,11.125694444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1466388888889 11.125694444444445, 77.14719444444445 11.128305555555556)",,,,,,,,,,,,,
24,T.NO 23,S,DA,26,22-23,294.96101437308624,6.27,377,,77.14719444444445,11.128305555555556,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14719444444445 11.128305555555556, 77.14775 11.130805555555556)",,,,,,,,,,,,,
25,T.NO 24,S,DA,26,23-24,282.66057383370605,3.47,372,,77.14775,11.130805555555556,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14775 11.130805555555556, 77.14838888888889 11.133638888888889)",,,,,,,,,,,,,
26,T.NO 25,T,DC,26,24-25,322.8188346425902,6,375,"17°56'51""",77.14838888888889,11.133638888888889,GOOD,GOOD,2nosLT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14838888888889 11.133638888888889, 77.14930555555556 11.135222222222222)",,,,,,,,,,,,,
27,T.NO 26,S,DA,26,25-26,201.55644370746373,4.8,374,,77.14930555555556,11.135222222222222,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14930555555556 11.135222222222222, 77.15036111111111 11.136916666666666)",,,,,,,,,,,,,
28,T.NO 27,T,DC,26,26-27,219.3467574412715,2.65,366,"28°16'56""",77.15036111111111,11.136916666666666,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15036111111111 11.136916666666666, 77.15047222222223 11.139)",,,,,,,,,,,,,
29,T.NO 28,S,DA,26,27-28,231.26175645791503,6.1,368,,77.15047222222223,11.139,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15047222222223 11.139, 77.15063888888889 11.141222222222222)",,,,,,,,,,,,,
30,T.NO 29,T,DC,26,28-29,247.45504642257754,4.7,360,"17°27'13""",77.15063888888889,11.141222222222222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15063888888889 11.141222222222222, 77.15011111111112 11.143333333333333)",,,,,,,,,,,,,
31,T.NO 30,S,DA,26,29-30,240.11039127867832,3.8,359,,77.15011111111112,11.143333333333333,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15011111111112 11.143333333333333, 77.1496388888889 11.145416666666666)",,,,,,,,,,,,,
32,T.NO 31,T,DB,24,30-31,234.53997527074142,4.9,358,"6°47'12""",77.1496388888889,11.145416666666666,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1496388888889 11.145416666666666, 77.14941666666667 11.147222222222222)",,,,,,,,,,,,,
33,T.NO 32 LILO M.G.C PALAYAM,T,DB,24,31-32,203.42074623793906,4.1,354,"11°13'1""",77.14941666666667,11.147222222222222,GOOD,GOOD,230KV CROSSING ABOVE,,PLAIN,M.G.C PALAYAM LILO NEED 3WAY JUNCTION BOX.     ARASUR-PGCIL LINK  I & II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14941666666667 11.147222222222222, 77.1495 11.148166666666667)",,,,,,,,,,,,,
34,T.NO 33,T,DB,24,32-33,103.31021246711285,2.7,357,"0°21'37""",77.1495,11.148166666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1495 11.148166666666667, 77.14972222222222 11.150416666666667)",,,,,,,,,,,,,
35,T.NO 34,S,DA,26,33-34,250.88044961694405,3.65,360,,77.14972222222222,11.150416666666667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14972222222222 11.150416666666667, 77.15002777777778 11.153277777777777)",,,,,,,,,,,,,
36,T.NO 35,T,DC,26,34-35,317.5169286825507,4.68,362,"27°53'31""",77.15002777777778,11.153277777777777,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15002777777778 11.153277777777777, 77.14919444444445 11.155277777777778)",,,,,,,,,,,,,
37,T.NO 36,S,DA,26,35-36,239.92707225321615,6.7,367,,77.14919444444445,11.155277777777778,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14919444444445 11.155277777777778, 77.14827777777778 11.157527777777778)",,,,,,,,,,,,,
38,T.NO 37,S,DA,26,36-37,268.5386378158644,7,368,,77.14827777777778,11.157527777777778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14827777777778 11.157527777777778, 77.14733333333334 11.15988888888889)",,,,,,,,,,,,,
39,T.NO 38,T,DC,26,37-38,279.6587205863604,5.7,374,"16°48'5""",77.14733333333334,11.15988888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14733333333334 11.15988888888889, 77.14572222222223 11.161944444444444)",,,,,,,,,,,,,
40,T.NO 39,S,DA,26,38-39,289.70502239346837,3.4,371,,77.14572222222223,11.161944444444444,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14572222222223 11.161944444444444, 77.1438888888889 11.164333333333333)",,,,,,,,,,,,,
41,T.NO 40,S,DA,26,39-40,329.4267748681033,5.29,367,,77.1438888888889,11.164333333333333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1438888888889 11.164333333333333, 77.14222222222223 11.166527777777778)",,,,,,,,,,,,,
