Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),GROUND EARTH AVAILABLE,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-76,S,DA,26,75-76,292.02225942554446,3.44,305,,77.02258333333333,10.626277777777778,GOOD,GOOD,LT,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02258333333333 10.626277777777778, 77.02194444444444 10.629111111111111)"
T.NO-77,T,DB,24,76-77,323.12381527829234,7.28,303,"0°5'40.10""",77.02194444444444,10.629111111111111,GOOD,GOOD,LT,"MUDROAD,2 nos TAAR ROAD",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02194444444444 10.629111111111111, 77.02130555555556 10.631944444444445)"
T.NO-78,S,DA,26,77-78,320.95170976332247,15.16,308,,77.02130555555556,10.631944444444445,GOOD,GOOD,3nos LT,MUDROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02130555555556 10.631944444444445, 77.02069444444444 10.634916666666665)"
T.NO-79,S,DA,26,78-79,335.5964838909967,15.21,304,,77.02069444444444,10.634916666666665,GOOD,GOOD,22KV,"TAAR ROAD,MUDROAD",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02069444444444 10.634916666666665, 77.02033333333333 10.636694444444444)"
T.NO-80,S,DA,29,79-80,198.28514820833152,1.37,302,,77.02033333333333,10.636694444444444,GOOD,GOOD,,NALA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02033333333333 10.636694444444444, 77.01986111111111 10.638694444444443)"
T.NO-81,S,DA,26,80-81,226.80828909014767,2.24,307,,77.01986111111111,10.638694444444443,GOOD,GOOD,2nos LT,2nos MUDROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01986111111111 10.638694444444443, 77.01936111111111 10.641333333333332)"
T.NO-82,T,DD,31,81-82,298.8812473207377,0.96,313,"33°45'54.93""",77.01936111111111,10.641333333333332,GOOD,GOOD,11KV,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01936111111111 10.641333333333332, 77.02044444444445 10.643944444444443)"
T.NO-83,S,DA,29,82-83,312.54119728445403,1.88,312,,77.02044444444445,10.643944444444443,GOOD,GOOD,"4nos LT,22KV",4nos TAAR ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02044444444445 10.643944444444443, 77.02102777777777 10.645333333333333)"
T.NO-84,T,DC,26,83-84,166.388100536066,1.74,311,"19°50'8.47""",77.02102777777777,10.645333333333333,GOOD,GOOD,LT,2nos MUD ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02102777777777 10.645333333333333, 77.02116666666666 10.647694444444443)"
T.NO-85,S,DA,26,84-85,261.23169792351007,1.54,307,,77.02116666666666,10.647694444444443,GOOD,GOOD,"22KV,2nos LT","TAAR ROAD,MUDROAD",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02116666666666 10.647694444444443, 77.02127777777778 10.650111111111112)"
T.NO-86,T,DB,33,85-86,267.1872002922296,1.96,296,"1°46'51.60""",77.02127777777778,10.650111111111112,GOOD,GOOD,LT,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02127777777778 10.650111111111112, 77.02141666666667 10.651944444444444)"
T.NO-87,T,DD,37,86-87,204.47982785595258,4.44,297,"31°5'3.25""",77.02141666666667,10.651944444444444,GOOD,MISSING,,NON ELECTRICAL RAILWAY CROSSING,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02141666666667 10.651944444444444, 77.02016666666667 10.654388888888889)"
T.NO-88,S,DA,32,87-88,302.33259830855155,2.35,289,,77.02016666666667,10.654388888888889,GOOD,GOOD,LT,NALA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02016666666667 10.654388888888889, 77.01925 10.656222222222222)"
T.NO-89,T,DB,30,88-89,225.84286572747877,16.53,297,"14°37'15.15""",77.01925,10.656222222222222,GOOD,GOOD,22KV,TAAR ROAD (NH),,YES,NH-POLLACHI- UDUMALPET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01925 10.656222222222222, 77.01913888888889 10.656694444444446)"
GANTRY 110KV POLLACHI,GANTRY,GANTRY,20,89-GANTRY,53.150729063673246,,,,77.01913888888889,10.656694444444446,GOOD,MISSING,,,,NO,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,=SUM(F8:F97),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
