Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),GROUND EARTH AVAILABLE,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-18,T,DA,26,17-18,346.2831211595506,10.46,318,,76.98955555555555,10.485833333333332,GOOD,GOOD,22KV,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98955555555555 10.485833333333332, 76.98858333333334 10.487972222222222)"
T.NO-19,T,DB,24,18-19,259.04825805243314,7.06,309,"0°58'28.05""",76.98858333333334,10.487972222222222,GOOD,GOOD,LT,2nos MUDROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98858333333334 10.487972222222222, 76.98786111111112 10.489444444444443)"
T.NO-20,T,DB,24,19-20,181.13530854032848,16.09,305,"0°36'16.45""",76.98786111111112,10.489444444444443,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98786111111112 10.489444444444443, 76.98675 10.49186111111111)"
T.NO-21,T,DD,28,20-21,293.00170647967224,,290,"40°25'22.42""",76.98675,10.49186111111111,GOOD,GOOD,,,HILLY ROCK AND BUSHES,NO,BUSHES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98675 10.49186111111111, 76.98744444444445 10.494416666666666)"
T.NO-22,S,DA,26,21-22,294.25329225006135,12.38,288,,76.98744444444445,10.494416666666666,GOOD,GOOD,,"CANAL,MUDROAD",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98744444444445 10.494416666666666, 76.98819444444445 10.496944444444443)"
T.NO-23,S,DA,26,22-23,290.6613149354417,12.64,309,,76.98819444444445,10.496944444444443,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98819444444445 10.496944444444443, 76.98883333333333 10.499305555555555)"
T.NO-24,S,DA,26,23-24,271.9007171744863,9.67,294,,76.98883333333333,10.499305555555555,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98883333333333 10.499305555555555, 76.98977777777777 10.5025)"
T.NO-25,S,DA,26,24-25,365.9289548532611,4.48,291,,76.98977777777777,10.5025,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98977777777777 10.5025, 76.99038888888889 10.504777777777777)"
T.NO-26,T,DB,24,25-26,261.4670151281037,8.56,298,"0°57'40.38""",76.99038888888889,10.504777777777777,GOOD,GOOD,LT,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99038888888889 10.504777777777777, 76.99094444444445 10.507027777777777)"
T.NO-27,S,DA,32,26-27,258.3060200614767,6.74,298,,76.99094444444445,10.507027777777777,GOOD,GOOD,22KV ,MUDROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99094444444445 10.507027777777777, 76.99175 10.50988888888889)"
T.NO-28,S,DA,32,27-28,326.9740050829729,7.78,301,,76.99175,10.50988888888889,GOOD,GOOD,,"RIVER,TAAR ROAD",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99175 10.50988888888889, 76.99227777777777 10.511777777777779)"
T.NO-29,S,DA,26,28-29,215.6687274502263,3.56,297,,76.99227777777777,10.511777777777779,GOOD,GOOD,LT,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99227777777777 10.511777777777779, 76.99283333333334 10.51375)"
T.NO-30,S,DB,24,29-30,228.0350850198276,7.84,298,"0°26'40.76""",76.99283333333334,10.51375,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99283333333334 10.51375, 76.99355555555556 10.516416666666666)"
T.NO-31,T,DC,26,30-31,305.1376738457577,6.47,307,"17°16'26.70""",76.99355555555556,10.516416666666666,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99355555555556 10.516416666666666, 76.99505555555555 10.51875)"
T.NO-32,S,DA,26,31-32,306.86967917994116,4.63,306,,76.99505555555555,10.51875,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99505555555555 10.51875, 76.99658333333333 10.521055555555556)"
T.NO-33,S,DA,26,32-33,304.5669056217369,6.14,302,,76.99658333333333,10.521055555555556,GOOD,GOOD,LT,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99658333333333 10.521055555555556, 76.99797222222222 10.523138888888889)"
