S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,GPS Co-ordinate's,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY INGUR 110KV S/S,2W,GT,,15,,,,317,,11.2437,77.5779,"11°14'37.4"" N","77°34'40.3"" E",GOOD,,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5779 11.2437, 77.5782 11.2438)"
2,T.NO-376,,T,DC,26,GT-376,39.05124838,0.47,317,"14°19'35"" ",11.2438,77.5782,"11°14'37.7"" N","77°34'41.5"" E",GOOD,GOOD,"LT-1,11KV-1",,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5782 11.2438, 77.5793 11.2438)"
3,T.NO-375,,T,DC,26,376-375,115.01739,2.07,310,"10°3'25"" ",11.2438,77.5793,"11°14'37.6"" N","77°34'45.3"" E",GOOD,GOOD,"11KV-1,LT-1",TAR-1(SH),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5793 11.2438, 77.582 11.2442)"
4,T.NO-374,,S,DA,26,375-374,304.8032152,5.01,317,,11.2442,77.582,"11°14'39.0"" N","77°34'55.2"" E",GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.582 11.2442, 77.5851 11.2444)"
5,T.NO-373,,S,DA,26,374-373,333.7259355,8.54,316,,11.2444,77.5851,"11°14'39.7"" N","77°35'06.2"" E",GOOD,GOOD,LT-1,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5851 11.2444, 77.5877 11.2445)"
6,T.NO-372,,T,DC,26,373-372,293.6818006,8.17,310,"56°23'24"" ",11.2445,77.5877,"11°14'40.2"" N","77°35'15.9"" E",GOOD,GOOD,110KV-1 XING BELOW,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5877 11.2445, 77.5888 11.2431)"
7,T.NO-371,,T,DC,26,372-371,195.4123845,7.83,295,"24°50'4"" ",11.2431,77.5888,"11°14'35.2"" N","77°35'19.8"" E",GOOD,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5888 11.2431, 77.5895 11.2402)"
8,T.NO-370,,T,DC,26,371-370,328,13.28,290,"68°3'3"" ",11.2402,77.5895,"11°14'24.7"" N","77°35'22.0"" E",GOOD,GOOD,11KV-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5895 11.2402, 77.5921 11.2398)"
9,T.NO-369,,S,DA,26,370-369,291.8098696,15.25,291,,11.2398,77.5921,"11°14'23.1"" N","77°35'31.5"" E",GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5921 11.2398, 77.595 11.2393)"
10,T.NO-368,,S,DA,26,369-368,317.9213739,12.07,290,,11.2393,77.595,"11°14'21.6"" N","77°35'41.9"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.595 11.2393, 77.5978 11.2389)"
11,T.NO-367,2W,S,DA,26,368-367,309.8596456,13.17,290,,11.2389,77.5978,"11°14'20.2"" N","77°35'52.0"" E",GOOD,GOOD,,"TAR-1,MUD-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5978 11.2389, 77.5999 11.2386)"
12,T.NO-366,,T,DC,26,367-366,238.1596103,12.1,289,"13°37'18"" ",11.2386,77.5999,"11°14'19.1"" N","77°35'59.7"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5999 11.2386, 77.6021 11.2378)"
13,T.NO-365,,S,DA,26,366-365,255.5249499,10.12,280,,11.2378,77.6021,"11°14'16.0"" N","77°36'07.6"" E",GOOD,GOOD,"11KV-1,400KV-1 XING ABOVE(RSPM - PVDI)",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6021 11.2378, 77.6042 11.237)"
14,T.NO-364,,T,DC,26,365-364,248.0201605,6.34,279,"33°50'18"" ",11.237,77.6042,"11°14'13.1"" N","77°36'15.2"" E",GOOD,GOOD,LT-1,"TAR-1,ELECTRIC RAILWAY-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6042 11.237, 77.6047 11.2363)"
15,T.NO-363,,T,DC,26,364-363,91.60785992,6.4,270,"33°1'34"" ",11.2363,77.6047,"11°14'10.7"" N","77°36'17.0"" E",GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6047 11.2363, 77.6068 11.2355)"
16,T.NO-362,,S,DA,26,363-362,247.1942556,8.17,270,,11.2355,77.6068,"11°14'07.8"" N","77°36'24.6"" E",GOOD,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6068 11.2355, 77.6089 11.2347)"
17,T.NO-361,,T,DC,26,362-361,244.9693858,8.79,269,"9°52'42"" ",11.2347,77.6089,"11°14'04.9"" N","77°36'32.1"" E",GOOD,GOOD,LT-3,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6089 11.2347, 77.6108 11.2336)"
18,T.NO-360,,S,DA,26,361-360,243.0164603,12.17,267,,11.2336,77.6108,"11°14'00.8"" N","77°36'38.9"" E",GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6108 11.2336, 77.6129 11.2323)"
19,T.NO-359,,S,DA,26,360-359,270.2924342,17.09,267,,11.2323,77.6129,"11°13'56.3"" N","77°36'46.6"" E",GOOD,GOOD,,"MUD-1,POND-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6129 11.2323, 77.615 11.2311)"
20,T.NO-358,,S,DA,26,359-358,266.3400083,14.17,268,,11.2311,77.615,"11°13'51.8"" N","77°36'54.1"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.615 11.2311, 77.617 11.2299)"
21,T.NO-357,,T,DC,26,358-357,250.4276343,7.92,269,"16°19'41"" ",11.2299,77.617,"11°13'47.7"" N","77°37'01.2"" E",GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.617 11.2299, 77.6195 11.2293)"
22,T.NO-356,,S,DA,26,357-356,281.1494265,7.17,270,,11.2293,77.6195,"11°13'45.5"" N","77°37'10.2"" E",GOOD,GOOD,11KV-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6195 11.2293, 77.622 11.2286)"
23,T.NO-355,,T,DC,26,356-355,281.8882757,7.3,280,"28°18'3"" ",11.2286,77.622,"11°13'42.8"" N","77°37'19.1"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.622 11.2286, 77.6221 11.2284)"
24,T.NO-354,,GT,GT,15,355354,28.28427125,,281,,11.2284,77.6221,"11°13'42.2"" N","77°37'19.7"" E",GOOD,GOOD,110KV-1 XING ABOVE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6221 11.2284, 77.6223 11.2283)"
25,T.NO-353,,GT,GT,15,354-353,23.60084744,,281,,11.2283,77.6223,"11°13'41.7"" N","77°37'20.3"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6223 11.2283, 77.6225 11.2282)"
26,T.NO-352,2W,T,DC,26,353-352,18.24828759,10.17,281,"47°35'30"" ",11.2282,77.6225,"11°13'41.6"" N","77°37'20.9"" E",GOOD,GOOD,"11KV-1,LT-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6225 11.2282, 77.6238 11.2261)"
27,T.NO-351,,T,DC,26,352-351,277.6508599,1071,280,"25°44'24"" ",11.2261,77.6238,"11°13'34.0"" N","77°37'25.8"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6238 11.2261, 77.6241 11.2237)"
28,T.NO-350,,S,DA,26,351-350,263.0779352,12.7,270,,11.2237,77.6241,"11°13'25.5"" N","77°37'26.8"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6241 11.2237, 77.6244 11.2215)"
29,T.NO-349,,S,DA,26,350-349,253.5507839,10.31,271,,11.2215,77.6244,"11°13'17.3"" N","77°37'27.7"" E",GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6244 11.2215, 77.6246 11.2192)"
30,T.NO-348,,S,DA,26,349-348,254.3324596,9.6,270,,11.2192,77.6246,"11°13'09.0"" N","77°37'28.5"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6246 11.2192, 77.6248 11.2169)"
31,T.NO-347,,S,DA,26,348-347,253.3377193,9.1,260,,11.2169,77.6248,"11°13'00.8"" N","77°37'29.3"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6248 11.2169, 77.625 11.2146)"
32,T.NO-346,,S,DA,26,347-346,258.2130903,8.7,260,,11.2146,77.625,"11°12'52.5"" N","77°37'30.0"" E",GOOD,GOOD,11KV-1,TAR-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.625 11.2146, 77.6252 11.2123)"
33,T.NO-345,,T,DC,26,346-345,253.0474264,13.07,261,"9°55'41"" ",11.2123,77.6252,"11°12'44.3"" N","77°37'30.7"" E",GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6252 11.2123, 77.6259 11.2096)"
34,T.NO-344,,S,DA,26,345-344,313.8996655,13.09,260,,11.2096,77.6259,"11°12'34.4"" N","77°37'33.3"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6259 11.2096, 77.6266 11.2069)"
35,T.NO-343,,S,DA,26,344-343,301.3702042,12.71,260,,11.2069,77.6266,"11°12'24.9"" N","77°37'35.9"" E",GOOD,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6266 11.2069, 77.6274 11.2043)"
36,T.NO-342,,T,DC,26,343-342,300.4080558,10.17,267,"56°26'31"" ",11.2043,77.6274,"11°12'15.5"" N","77°37'38.5"" E",GOOD,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6274 11.2043, 77.6254 11.202)"
37,T.NO-341,2W,T,DC,26,342-341,331.9036005,8.41,270,"69°56'53"" ",11.202,77.6254,"11°12'07.4"" N","77°37'31.3"" E",GOOD,GOOD,11KV-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6254 11.202, 77.6266 11.1998)"
38,T.NO-340,,S,DA,26,341-340,285.6588875,8.7,287,,11.1998,77.6266,"11°11'59.2"" N","77°37'35.9"" E",GOOD,GOOD,"11KV-1,LT-1",TAR-2,PLAIN,INSIDE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6266 11.1998, 77.6279 11.1976)"
39,T.NO-339,,T,DC,26,340-339,280.4442904,7.39,289,"32°29'33"" ",11.1976,77.6279,"11°11'51.3"" N","77°37'40.4"" E",GOOD,GOOD,"11KV-1,LT-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6279 11.1976, 77.6278 11.1951)"
40,T.NO-338,,S,DA,26,339-338,270.2665351,7.7,280,,11.1951,77.6278,"11°11'42.5"" N","77°37'39.9"" E",GOOD,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6278 11.1951, 77.6276 11.1926)"
41,T.NO-337,,S,DA,26,338-337,283.3972477,7.39,280,,11.1926,77.6276,"11°11'33.3"" N","77°37'39.4"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6276 11.1926, 77.6274 11.1901)"
42,T.NO-336,,T,DC,26,337-336,275.6555822,7.51,284,"14°21'1"" ",11.1901,77.6274,"11°11'24.4"" N","77°37'38.7"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6274 11.1901, 77.627 11.1889)"
43,T.NO-1 LILO THANEERPANDAL,3W,T,DD,28,336-1 LILO,136.9269878,5.1,284,"62°58'16"" ",11.1889,77.627,"11°11'20.2"" N","77°37'37.2"" E",GOOD,GOOD,,,PLAIN,NEED THREE WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.627 11.1889, 77.629 11.1892)"
44,T.NO-2,,T,DD,28,01-Feb,217.5178154,5.7,280,"15°3'59"" ",11.1892,77.629,"11°11'21.2"" N","77°37'44.3"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.629 11.1892, 77.6309 11.189)"
45,T.NO-3,,T,DD,28,02-Mar,208.2738582,5.8,290,"16°25'32"" ",11.189,77.6309,"11°11'20.4"" N","77°37'51.1"" E",GOOD,GOOD,LT-1,"TAR-1,MUD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6309 11.189, 77.6332 11.1894)"
46,T.NO-4,,T,DD,28,03-Apr,256.9708155,5.1,290,"16°20'40"" ",11.1894,77.6332,"11°11'21.8"" N","77°37'59.5"" E",GOOD,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6332 11.1894, 77.636 11.189)"
47,T.NO-5,,T,DD,28,04-May,311.8589425,4.2,286,"44°43'4"" ",11.189,77.636,"11°11'20.6"" N","77°38'09.7"" E",GOOD,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.636 11.189, 77.6379 11.1905)"
48,T.NO-6,,T,DD,28,05-Jun,266.902604,4.01,287,"48°15'44"" ",11.1905,77.6379,"11°11'25.9"" N","77°38'16.6"" E",GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6379 11.1905, 77.6381 11.1923)"
49,T.NO-7,,T,DD,28,06-Jul,192.314846,3.12,290,"8°48'57"" ",11.1923,77.6381,"11°11'32.1"" N","77°38'17.0"" E",GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6381 11.1923, 77.6385 11.1942)"
50,T.NO-8,,T,DD,28,07-Aug,214.7673159,3.76,291,"20°21'15"" ",11.1942,77.6385,"11°11'39.0"" N","77°38'18.6"" E",GOOD,GOOD,,MUD-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6385 11.1942, 77.6382 11.1964)"
51,T.NO-9,,T,DD,28,08-Sep,250.5992817,3.01,290,"61°5'42"" ",11.1964,77.6382,"11°11'47.0"" N","77°38'17.4"" E",GOOD,GOOD,LT-2,TAR-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6382 11.1964, 77.6393 11.1972)"
