S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
84,T.NO-17,,T,DC,26,17-16,349.9142752,3.18,428,"21°1'4"" ",12.27583333,78.42938889,GOOD,GOOD,"LT-1,11KV-1",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4293888888889 12.275833333333335, 78.42694444444444 12.275972222222222)"
85,T.NO-16,,S,DA,26,16-15,267.5406511,4.17,429,,12.27597222,78.42694444,GOOD,GOOD,"LT-1,11KV-1",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42694444444444 12.275972222222222, 78.42452777777778 12.276055555555557)"
86,T.NO-15,,S,DA,26,15-14,262.3223208,5.12,427,,12.27605556,78.42452778,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42452777777778 12.276055555555557, 78.42175 12.276194444444446)"
87,T.NO-14,2W,T,DC,26,14-13,302.5970919,2.15,426,"48°6'36"" ",12.27619444,78.42175,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42175 12.276194444444446, 78.42161111111112 12.276361111111111)"
88,T.NO-13,,T,GT,15,13-Dec,24.20743687,1.5,428,,12.27636111,78.42161111,GOOD,NO EARTHWIRE,110KV-1 XING ABOVE,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42161111111112 12.276361111111111, 78.42155555555556 12.276611111111112)"
89,T.NO-12,,T,GT,15,12-Nov,27.89265136,2.2,431,,12.27661111,78.42155556,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42155555555556 12.276611111111112, 78.42147222222222 12.27688888888889)"
90,T.NO-11,2W,T,DC,26,11-Oct,32.01562119,3.12,433,"25°0'37"" ",12.27688889,78.42147222,GOOD,GOOD,,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42147222222222 12.27688888888889, 78.41961111111111 12.279083333333334)"
91,T.NO-10,,T,DC,26,10-Sep,316.1281386,1.1,435,"8°20'6"" ",12.27908333,78.41961111,GOOD,GOOD,,,CULTIVATION,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41961111111111 12.279083333333334, 78.41722222222222 12.281166666666667)"
92,T.NO-9,,S,DA,26,09-Aug,345.4851661,3.8,439,,12.28116667,78.41722222,GOOD,GOOD,,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41722222222222 12.281166666666667, 78.41525 12.282944444444444)"
93,T.NO-8,,S,DA,26,08-Jul,292.227651,4.7,441,,12.28294444,78.41525,GOOD,GOOD,,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41525 12.282944444444444, 78.4131388888889 12.284805555555556)"
94,T.NO-7,,S,DA,26,07-Jun,309.3622472,1.1,439,,12.28480556,78.41313889,GOOD,GOOD,33KV-1,,PLAIN,INSIDE FENCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4131388888889 12.284805555555556, 78.41088888888889 12.28675)"
95,T.NO-6,,T,DC,26,06-May,326.3142657,3.4,438,"31°56'3"" ",12.28675,78.41088889,GOOD,GOOD,"33KV-1,LT-1,11KV-2",TAR ROAD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41088888888889 12.28675, 78.41000000000001 12.289777777777777)"
96,T.NO-5,,S,DA,26,05-Apr,347.9382129,2.5,437,,12.28977778,78.41,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41000000000001 12.289777777777777, 78.40913888888889 12.292583333333333)"
97,T.NO-4,,T,DC,26,04-Mar,325.9601203,2.6,441,"7°6'42"" ",12.29258333,78.40913889,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40913888888889 12.292583333333333, 78.40847222222223 12.29411111111111)"
98,T.NO-3,,T,DC,26,03-Feb,181.8598361,3.1,443,"88°28'43"" ",12.29411111,78.40847222,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40847222222223 12.29411111111111, 78.40869444444445 12.294194444444445)"
99,T.NO-2,,T,DC,26,2-GT,26.92582404,2.1,443,"10°40'11"" ",12.29419444,78.40869444,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40869444444445 12.294194444444445, 78.4088888888889 12.294333333333332)"
100,GANTRY SIPCOT POCHAMPALLI       110KV S/S,2W,T,GT,15,,26.07680962,1.1,441,,12.29433333,78.40888889,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
