S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO-81,2W,T,DC,26,81-80,257.3285837,1.2,320,"58°23'14"" ",12.24322222,78.57741667,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57741666666666 12.243222222222222, 78.57722222222222 12.242916666666666)"
21,T.NO-80,,T,GT,15,80-79,38.83297568,1.5,321,,12.24291667,78.57722222,GOOD,NO EARTHWIRE,"LT-1,110KV-1 XING ABOVE",TAR ROAD -1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57722222222222 12.242916666666666, 78.57702777777777 12.242694444444444)"
22,T.NO-79,,T,GT,15,79-78,32.20248438,1.6,325,,12.24269444,78.57702778,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57702777777777 12.242694444444444, 78.57694444444444 12.242555555555555)"
23,T.NO-78,2W,T,DC,26,78-77,18.02775638,2.5,322,"57°56'47"" ",12.24255556,78.57694444,GOOD,GOOD,"LT-1,11KV-1","TAR ROAD -1,CANAL-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57694444444444 12.242555555555555, 78.57502777777778 12.242583333333332)"
24,T.NO-77,,S,DA,26,77-76,210.0856968,1.2,323,,12.24258333,78.57502778,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57502777777778 12.242583333333332, 78.57258333333333 12.242666666666667)"
25,T.NO-76,,T,DC,26,76-75,266.2273465,1.2,324,"2°1'12"" ",12.24266667,78.57258333,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57258333333333 12.242666666666667, 78.571 12.242666666666667)"
26,T.NO-75,,T,DD,28,75-74,170.0029412,1.6,326,"8°36'56"" ",12.24266667,78.571,GOOD,GOOD,,"RIVER-1,MUD ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.571 12.242666666666667, 78.56833333333333 12.243055555555555)"
27,T.NO-74,,T,DC,26,74-73,295.6010825,1.3,328,"7°59'54"" ",12.24305556,78.56833333,GOOD,GOOD,"LT-1,11KV-1",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56833333333333 12.243055555555555, 78.56563888888888 12.243833333333333)"
28,T.NO-73,,S,DA,26,73-72,305.2621824,1.3,331,,12.24383333,78.56563889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56563888888888 12.243833333333333, 78.56322222222222 12.244638888888888)"
29,T.NO-72,,S,DA,26,72-71,278.298401,1.5,335,,12.24463889,78.56322222,GOOD,GOOD,11KV-1,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56322222222222 12.244638888888888, 78.56099999999999 12.245333333333333)"
30,T.NO-71,,S,DA,26,71-70,252.0337279,1.5,334,,12.24533333,78.561,GOOD,GOOD,11KV-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56099999999999 12.245333333333333, 78.55852777777777 12.246055555555555)"
31,T.NO-70,,T,DC,26,70-69,282.1772493,1.7,337,"5°27'28"" ",12.24605556,78.55852778,GOOD,GOOD,"11KV-1,LT-1",TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55852777777777 12.246055555555555, 78.55580555555555 12.246555555555554)"
32,T.NO-69,,S,DA,26,69-68,300.4563196,0.7,336,,12.24655556,78.55580556,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55580555555555 12.246555555555554, 78.55302777777777 12.247027777777777)"
33,T.NO-68,,T,DC,26,68-67,308.1314654,0.9,338,"2°32'30"" ",12.24702778,78.55302778,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55302777777777 12.247027777777777, 78.55044444444444 12.247361111111111)"
34,T.NO-67,,S,DA,26,67-66,282.7030244,0.5,339,,12.24736111,78.55044444,GOOD,GOOD,,MUD ROAD-1,CULTIVATION,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55044444444444 12.247361111111111, 78.548 12.247666666666666)"
35,T.NO-66,,S,DA,26,66-65,269.5514793,0.9,340,,12.24766667,78.548,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.548 12.247666666666666, 78.54525 12.247972222222222)"
36,T.NO-65,,S,DA,26,65-64,299.2958403,0.2,343,,12.24797222,78.54525,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54525 12.247972222222222, 78.54252777777778 12.248277777777776)"
37,T.NO-64,2W,T,DC,26,64-63,300.1666204,0.2,345,"5°43'13"" ",12.24827778,78.54252778,GOOD,GOOD,"LT-1,11KV-1","MUD ROAD-1,POND-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54252777777778 12.248277777777776, 78.53972222222222 12.24886111111111)"
38,T.NO-63,,S,DA,26,63-62,311.5124396,0.3,346,,12.24886111,78.53972222,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53972222222222 12.24886111111111, 78.53722222222223 12.24936111111111)"
39,T.NO-62,,T,DC,26,62-61,277.7048793,0.3,350,"8°42'32"" ",12.24936111,78.53722222,GOOD,GOOD,LT-1,NH-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53722222222223 12.24936111111111, 78.53441666666666 12.249472222222222)"
40,T.NO-61,,S,DA,26,61-60,304.3698408,1.3,352,,12.24947222,78.53441667,GOOD,GOOD,LT-1,POND-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53441666666666 12.249472222222222, 78.53152777777778 12.249555555555554)"
41,T.NO-60,,S,DA,26,60-59,316.267292,1.5,354,,12.24955556,78.53152778,GOOD,GOOD,"LT-1,11KV-1",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53152777777778 12.249555555555554, 78.52869444444444 12.249666666666666)"
42,T.NO-59,,T,DC,26,59-58,308.3180176,1.3,356,"15°49'57"" ",12.24966667,78.52869444,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52869444444444 12.249666666666666, 78.52652777777777 12.250333333333334)"
43,T.NO-58,,S,DA,26,58-57,246.6576575,1.7,358,,12.25033333,78.52652778,GOOD,GOOD,"LT-1,11KV-1",POND-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52652777777777 12.250333333333334, 78.5245 12.251027777777777)"
44,T.NO-57,,T,DC,26,57-56,233.7541443,1.5,361,"27°41'2"" ",12.25102778,78.5245,GOOD,GOOD,11KV-1,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5245 12.251027777777777, 78.52283333333334 12.252805555555556)"
45,T.NO-56,,T,DC,26,56-55,266.1127581,2.3,363,"28°53'56"" ",12.25280556,78.52283333,GOOD,GOOD,11KV-2,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52283333333334 12.252805555555556, 78.51975 12.253777777777778)"
46,T.NO-55,,S,DA,26,55-54,352.2782991,1.1,365,,12.25377778,78.51975,GOOD,GOOD,,POND-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51975 12.253777777777778, 78.51727777777778 12.254444444444445)"
47,T.NO-54,,S,DA,26,54-53,278.5677655,1.5,367,,12.25444444,78.51727778,GOOD,GOOD,"LT-1,11KV-1",MUD ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51727777777778 12.254444444444445, 78.51466666666667 12.255277777777778)"
48,T.NO-53,2W,T,DC,26,53-52,301.3652269,1.7,369,"7°34'59"" ",12.25527778,78.51466667,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51466666666667 12.255277777777778, 78.51227777777778 12.255694444444444)"
49,T.NO-52,,S,DA,26,52-51,261.629509,1.5,371,,12.25569444,78.51227778,GOOD,GOOD,LT-1,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51227777777778 12.255694444444444, 78.50963888888889 12.25613888888889)"
50,T.NO-51,,S,DA,26,51-50,291.6727618,1.7,373,,12.25613889,78.50963889,GOOD,GOOD,,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50963888888889 12.25613888888889, 78.50708333333333 12.256611111111111)"
51,T.NO-50,,S,DA,26,50-49,283.388426,2.1,375,,12.25661111,78.50708333,GOOD,GOOD,,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50708333333333 12.256611111111111, 78.50458333333333 12.257055555555555)"
52,T.NO-49,,S,DA,26,49-48,275.5739465,2.2,378,,12.25705556,78.50458333,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50458333333333 12.257055555555555, 78.5021111111111 12.2575)"
53,T.NO-48,,S,DA,26,48-47,274.9618155,2.1,381,,12.2575,78.50211111,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5021111111111 12.2575, 78.4996388888889 12.257916666666667)"
54,T.NO-47,,S,DA,26,47-46,273.2489707,1.1,382,,12.25791667,78.49963889,GOOD,GOOD,11KV-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4996388888889 12.257916666666667, 78.49697222222223 12.258416666666667)"
55,T.NO-46,,T,DC,26,46-45,293.7822323,1.7,385,"30°24'43"" ",12.25841667,78.49697222,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49697222222223 12.258416666666667, 78.49458333333334 12.257555555555555)"
56,T.NO-45,,T,DC,26,45-44,276.0815097,1.3,387,"32°39'53"" ",12.25755556,78.49458333,GOOD,GOOD,11KV-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49458333333334 12.257555555555555, 78.49333333333334 12.257861111111112)"
57,T.NO-44,,T,DC,26,44-43,139.9464183,2.2,389,"11°35'37"" ",12.25786111,78.49333333,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49333333333334 12.257861111111112, 78.49077777777778 12.257916666666667)"
58,T.NO-43,,T,DC,26,43-42,280.1785145,2.4,391,"31°38'41"" ",12.25791667,78.49077778,GOOD,GOOD,"LT-1,11KV-1","TAR ROAD-1,POND-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49077777777778 12.257916666666667, 78.48902777777778 12.259055555555555)"
59,T.NO-42,,S,DA,26,42-41,227.1497304,2.5,394,,12.25905556,78.48902778,GOOD,GOOD,LT-1,"TAR ROAD-1,MUD ROAD-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48902777777778 12.259055555555555, 78.48683333333334 12.260444444444444)"
60,T.NO-41,,T,DC,26,41-40,285.6711396,2.8,395,"3°42'22"" ",12.26044444,78.48683333,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48683333333334 12.260444444444444, 78.48427777777778 12.261861111111111)"
61,T.NO-40,,S,DA,26,40-39,319.3900437,1.5,398,,12.26186111,78.48427778,GOOD,GOOD,LT-1,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48427777777778 12.261861111111111, 78.48172222222222 12.263277777777779)"
62,T.NO-39,2W,T,DC,26,39-38,317.1576895,1.7,401,"13°7'35"" ",12.26327778,78.48172222,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48172222222222 12.263277777777779, 78.47991666666667 12.263777777777777)"
63,T.NO-38,,S,DA,26,38-37,204.6875668,2.7,405,,12.26377778,78.47991667,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47991666666667 12.263777777777777, 78.47772222222223 12.264333333333333)"
64,T.NO-37,,S,DA,26,37-36,246.9109151,2.5,407,,12.26433333,78.47772222,GOOD,GOOD,LT-1,,CULTIVATION,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47772222222223 12.264333333333333, 78.47552777777778 12.265055555555556)"
65,T.NO-36,,T,DC,26,36-35,251.7300141,1.5,409,"2°11'22"" ",12.26505556,78.47552778,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47552777777778 12.265055555555556, 78.4731388888889 12.265722222222223)"
66,T.NO-35,,T,DC,26,35-34,269.5329293,1.9,411,"21°3'13"" ",12.26572222,78.47313889,GOOD,GOOD,,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4731388888889 12.265722222222223, 78.47188888888888 12.266666666666667)"
67,T.NO-34,,S,DA,26,34-33,171.0263138,2.4,415,,12.26666667,78.47188889,GOOD,GOOD,"LT-1,11KV-2",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47188888888888 12.266666666666667, 78.46944444444445 12.268444444444444)"
68,T.NO-33,,T,DC,26,33-32,331.6021713,3.7,417,"19°53'14"" ",12.26844444,78.46944444,GOOD,GOOD,11KV-1,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46944444444445 12.268444444444444, 78.46625 12.269333333333334)"
69,T.NO-32,,T,DC,26,32-31,360.3345668,3.2,415,,12.26933333,78.46625,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46625 12.269333333333334, 78.46441666666666 12.269916666666667)"
70,T.NO-31,,S,DA,26,31-30,209.990476,5.2,416,,12.26991667,78.46441667,GOOD,GOOD,LT-1,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46441666666666 12.269916666666667, 78.46183333333333 12.27063888888889)"
