Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
34LILO ,3W,LILO,20,,,0.15,267,,11.69497842,77.95287616,GOOD,GOOD,,,,LILO of Tharamangalam Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95287616157225 11.694978420695218, 77.95214708545068 11.695365297735211)"
35,,SA,26,34-35,0.002832946,1,265,,11.6953653,77.95214709,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95214708545068 11.695365297735211, 77.95073321300494 11.695994071556138)"
36,,SB,24,35-36,0.002843305,1,267,"6d15'32""LT",11.69599407,77.95073321,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95073321300494 11.695994071556138, 77.94913876105203 11.697744730358602)"
37,,SD,28,36-37,0.002894129,0.5,259,"65d55'28""RT",11.69774473,77.94913876,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94913876105203 11.697744730358602, 77.94831114232093 11.697482273482873)"
38,,SD,28,37-38,0.002966703,0.35,256,"78d18'28""LT",11.69748227,77.94831114,GOOD,GOOD,765KV,,PLAIN,Power Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94831114232093 11.697482273482873, 77.94629535220689 11.70098956969184)"
39,,SB,24,38-39,0.003041105,1.55,245,"6d10'59""LT",11.70098957,77.94629535,GOOD,GOOD,,LAKE,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94629535220689 11.70098956969184, 77.94515887408403 11.703584565356476)"
40,,SB,24,39-40,0.002999403,0.5,244,"12d14'30""RT",11.70358457,77.94515887,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94515887408403 11.703584565356476, 77.94351538561186 11.705904765372631)"
41,,SA,26,40-41,0.001978176,0.75,199,,11.70590477,77.94351539,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94351538561186 11.705904765372631, 77.94179865354917 11.708234747293218)"
42,,SA,26,41-42,0.001929503,0.05,200,,11.70823475,77.94179865,GOOD,GOOD,LT-1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94179865354917 11.708234747293218, 77.94004590623493 11.710628323248148)"
43,,SA,26,42-43,0.0021334,0.5,201,,11.71062832,77.94004591,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94004590623493 11.710628323248148, 77.93826640172134 11.713094430549452)"
44,,SA,26,43-44,0.002093424,0.5,202,,11.71309443,77.9382664,GOOD,GOOD,LT-2 HT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93826640172134 11.713094430549452, 77.93649555550745 11.715515281811147)"
45,,SB,24,44-45,0.002509356,0.25,286,"14d58'1""LT",11.71551528,77.93649556,GOOD,GOOD,LT-3,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93649555550745 11.715515281811147, 77.93495046118636 11.716750540428622)"
46,,SA,26,45-46,0.002060142,0.15,286,,11.71675054,77.93495046,GOOD,GOOD,LT-2 ,ROAD-2,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93495046118636 11.716750540428622, 77.93346024497292 11.717976198275416)"
47,2W,SC,26,46-47,0.00243288,0.07,295,"15d24'52""LT",11.7179762,77.93346024,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93346024497292 11.717976198275416, 77.93222289727754 11.719714118600578)"
48,,SA,26,47-48,0.002903736,0.01,292,,11.71971412,77.9322229,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93222289727754 11.719714118600578, 77.93100348370234 11.721415722558264)"
