Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22A Lilo ,T,,,,5.3,225,,11.452887,77.751081,Good,Good,,,Plain,Tapping tower to Pallakkapalayam LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.751081 11.452887, 77.75267 11.454505)"
2,T,24,22A to 2 ,249.370801980564,8.1,227,"0⁰49'38"" LT",11.454505,77.75267,Good,Good,,,Plain,Dry empty land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75267 11.454505, 77.754375 11.456292)"
3,T,24,2 to 3,271.648787073449,10.1,230,"10⁰47'54"" LT",11.456292,77.754375,Good,Good,,,Plain,Dry empty land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.754375 11.456292, 77.754672 11.456538)"
4,DP1,28,3 to 4 ,42.3474887158923,5.6,230,"90⁰14'46"" LT",11.456538,77.754672,Good,Good,110 kv multi circuit line,,Plain, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.754672 11.456538, 77.754593 11.45663)"
4A,DP4,28,4 to 4A ,13.346579175914,5.6,231,"93⁰35'42"" RT",11.45663,77.754593,Good,Good,,,Plain,Dry empty land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.754593 11.45663, 77.755188 11.457067)"
5,T,28,4A to 5,81.0018056335938,5.8,237,"31⁰26'15"" LT",11.457067,77.755188,Good,Good,,,Plain,Dry empty land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.755188 11.457067, 77.755553 11.457963)"
6,T,28,5 to 6,106.893188020172,6.5,242,"39⁰35'16"" RT",11.457963,77.755553,Good,Good,,Car Track,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.755553 11.457963, 77.757788 11.459161)"
7,S,26,6 to 7,277.752242038899,10.1,241,,11.459161,77.757788,Good,Good,,,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.757788 11.459161, 77.758648 11.45959)"
8,S,26,7 to 8 ,105.231423368199,9.8,246,,11.45959,77.758648,Good,Good,,,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.758648 11.45959, 77.760332 11.460413)"
9,T,28,8 to 9 ,205.213218063128,7.6,248,"32⁰51'51"" RT",11.460413,77.760332,Good,Good,,,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.760332 11.460413, 77.762607 11.460157)"
10,T,26,9 to 10 ,250.026242835185,5.6,255,"17⁰24'4"" RT",11.460157,77.762607,Good,Good,11 kv line crossing  ,,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.762607 11.460157, 77.764617 11.459278)"
11,T,26,10 to 11 ,240.081945323466,5.3,251,"21⁰25'1"" LT",11.459278,77.764617,Good,Good,,Road Crossing ,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.764617 11.459278, 77.767597 11.45915)"
12,T,24,11 to 12 ,325.707232802265,7.9,246,"11⁰26'33"" LT",11.45915,77.767597,Good,Good,,,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.767597 11.45915, 77.77014 11.459545)"
13,T,24,12 to 13,281.103129200532,6.1,233,"12⁰37'18"" RT",11.459545,77.77014,Good,Good,Lt line crossing ,,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77014 11.459545, 77.771798 11.45944)"
14,T,28,13 to 14,181.41735183382,5.6,232,"58⁰25'53"" RT",11.45944,77.771798,Good,Good,,Car Track,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.771798 11.45944, 77.772757 11.457653)"
15,T,26,14 to 15,223.826614959435,5.3,230,"29⁰16'21"" RT",11.457653,77.772757,Good,Good,,,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.772757 11.457653, 77.772708 11.455643)"
16,T,24,15 to 16 ,222.569588081075,5.4,234,"0⁰57'25"" RT",11.455643,77.772708,Good,Good,,,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.772708 11.455643, 77.772652 11.454288)"
17,T,24,16 to 17 ,150.121902798693,3.8,228,"0⁰12'55"" RT",11.454288,77.772652,Good,Good,,,Plain,Agriculture land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.772652 11.454288, 77.7726421 11.45406857)"
 Pallakapalayam Gantry ,Gantry ,20,17 to Gantry ,24.3147501275321,,226,,11.45406857,77.7726421,,,,,Plain,In Side the 110 kv pallakkapalayam SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,=SUM(E8:E25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
