Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY INGUR 230KV SS,2W,T,GANTRY,20,,,,325,,77.57638889,11.24358333,GOOD,MISSING,,,PLAIN,230KV INGUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57638888888889 11.243583333333332, 77.57619444444444 11.243305555555555)"
T.NO 305,,T,DD,28,Gantry-305,36.35931793,5.49,329,"100°5'35""",77.57619444,11.24330556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57619444444444 11.243305555555555, 77.57530555555554 11.24411111111111)"
T.NO 304,,T,DD,28,305-304,131.0457935,7.19,309,"62°6'24""",77.57530556,11.24411111,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57530555555554 11.24411111111111, 77.57591666666666 11.246527777777777)"
T.NO 303,,S,DA,26,304-303,276.7417569,4.96,311,,77.57591667,11.24652778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57591666666666 11.246527777777777, 77.57647222222222 11.248555555555555)"
T.NO 302,,S,DA,26,303-302,232.3553313,6.27,307,,77.57647222,11.24855556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57647222222222 11.248555555555555, 77.57691666666666 11.250361111111111)"
T.NO 301,,S,DA,26,302-301,205,5.72,303,,77.57691667,11.25036111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57691666666666 11.250361111111111, 77.57738888888889 11.252166666666668)"
T.NO 300,,T,DD,28,301-300,206.1552813,9.37,299,"84°11'48""",77.57738889,11.25216667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57738888888889 11.252166666666668, 77.5796111111111 11.251833333333334)"
T.NO 299,,T,DB,2,300-299,247.3479331,11.46,291,"11°40'31""",77.57961111,11.25183333,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5796111111111 11.251833333333334, 77.58225 11.252027777777778)"
T.NO 298,,S,DA,26,299-298,288.0867925,2.83,292,,77.58225,11.25202778,GOOD,GOOD,2 NOS LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58225 11.252027777777778, 77.585 11.25225)"
T.NO 297,,S,DA,26,298-297,302.0364216,13.42,302,,77.585,11.25225,GOOD,GOOD,"2 NOS HT,LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.585 11.25225, 77.58752777777778 11.252277777777778)"
T.NO 296,2W,T,DB,24,297-296,276.0887538,15.11,291,"3°59'21""",77.58752778,11.25227778,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58752777777778 11.252277777777778, 77.59025 11.252305555555555)"
T.NO 295,,S,DA,26,296-295,297.0420846,11.47,285,,77.59025,11.25230556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59025 11.252305555555555, 77.59288888888888 11.252333333333333)"
T.NO 294,,S,DA,26,295-294,289.0432494,7.11,286,,77.59288889,11.25233333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59288888888888 11.252333333333333, 77.59519444444445 11.25225)"
T.NO 293,,S,DA,26,294-293,250.0719896,5.39,285,,77.59519444,11.25225,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59519444444445 11.25225, 77.59747222222222 11.252194444444445)"
T.NO 292,,S,DA,26,293-292,251.0179276,10.55,276,,77.59747222,11.25219444,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59747222222222 11.252194444444445, 77.59975 11.252138888888888)"
T.NO 291,,T,DD,28,292-291,248.07257,8.41,288,"40°27'37""",77.59975,11.25213889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59975 11.252138888888888, 77.60033333333332 11.25163888888889)"
T.NO 290,,T,DD,28,291-290,84.3860178,6.43,285,"50°42'29""",77.60033333,11.25163889,GOOD,GOOD,110KV CROSSING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60033333333332 11.25163888888889, 77.60272222222221 11.252027777777778)"
T.NO 289,,T,DB,24,290-289,264.0378761,5.31,284,"10°22'39""",77.60272222,11.25202778,GOOD,GOOD,"2 NOS LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60272222222221 11.252027777777778, 77.60502777777778 11.251972222222221)"
T.NO 288,,S,DA,26,289-288,253.007905,6.39,282,,77.60502778,11.25197222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60502777777778 11.251972222222221, 77.60727777777777 11.251944444444444)"
T.NO 287,,T,DD,28,288-287,246.0020325,9.42,281,"54°41'33""",77.60727778,11.25194444,GOOD,GOOD,2 NOS LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60727777777777 11.251944444444444, 77.60886111111111 11.254083333333334)"
T.NO 286,,T,DB,24,287-286,291.6659048,11.13,277,"10°22'39""",77.60886111,11.25408333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60886111111111 11.254083333333334, 77.61030555555556 11.25611111111111)"
T.NO 285,,T,DD,28,286-285,274.361076,10.85,275,"54°41'33""",77.61030556,11.25611111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61030555555556 11.25611111111111, 77.61188888888888 11.258416666666667)"
T.NO 284,,S,DA,26,285-284,309.8080051,10.86,274,,77.61188889,11.25841667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61188888888888 11.258416666666667, 77.61330555555556 11.260777777777777)"
T.NO 283,,T,DD,28,284-283,303.9078808,9.46,279,"49°27'6""",77.61330556,11.26077778,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61330555555556 11.260777777777777, 77.61308333333332 11.261583333333334)"
T.NO 1 ERODE LILO,3W,T,DB,24,283-1,90.80198236,_,276,"7°10'35""",77.61308333,11.26158333,GOOD,GOOD,NEW INSERT TOWER,,PLAIN,NEW TOWER TO LINK ERODE SS WORK ON PROGRESS.NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61308333333332 11.261583333333334, 77.61302777777777 11.261944444444444)"
T.NO 282,,T,DC,26,1-282,42.57933771,14.56,275,"27°1'38""",77.61302778,11.26194444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61302777777777 11.261944444444444, 77.6138611111111 11.264444444444445)"
T.NO 281,,T,DD,28,282-281,291.5956104,11.59,282,"179°46'34""",77.61386111,11.26444444,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6138611111111 11.264444444444445, 77.6146111111111 11.266722222222223)"
T.NO 280,,T,DB,24,281-280,265.0471656,13.56,286,"5°25'13""",77.61461111,11.26672222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6146111111111 11.266722222222223, 77.61513888888888 11.269166666666667)"
T.NO 279,,T,DD,28,280-279,275.9510826,7.46,272,"179°58'5""",77.61513889,11.26916667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61513888888888 11.269166666666667, 77.61566666666666 11.271555555555556)"
T.NO 278,,T,DD,28,279-278,271.8308297,9.11,269,"30°41'31""",77.61566667,11.27155556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61566666666666 11.271555555555556, 77.61725 11.273222222222223)"
T.NO 277,,T,DB,24,278-277,251.2468905,10.13,269,"1°12'2""",77.61725,11.27322222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61725 11.273222222222223, 77.61905555555555 11.275083333333335)"
T.NO 276,,S,DA,26,277-276,285.0701668,13.92,259,,77.61905556,11.27508333,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61905555555555 11.275083333333335, 77.62086111111111 11.27688888888889)"
T.NO 275,,T,DC,26,276-275,280.0464247,7.97,260,"22°4'19""",77.62086111,11.27688889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62086111111111 11.27688888888889, 77.62197222222221 11.279472222222223)"
T.NO 274,,S,DA,26,275-274,312.9233133,13.78,255,,77.62197222,11.27947222,GOOD,GOOD,"2 NOS LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62197222222221 11.279472222222223, 77.62325 11.282666666666668)"
T.NO 273,,T,DC,26,274-273,379.2255266,7.02,254,"21°52'6""",77.62325,11.28266667,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62325 11.282666666666668, 77.62525 11.284694444444444)"
T.NO 272,,T,DC,32,273-272,313.3448579,5.47,254,"29°10'49""",77.62525,11.28469444,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62525 11.284694444444444, 77.62588888888888 11.287055555555556)"
T.NO 271,,T,DD,34,272-271,269.4624278,3.12,252,"49°19'29""",77.62588889,11.28705556,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62588888888888 11.287055555555556, 77.62474999999999 11.288694444444443)"
T.NO 270,,T,DB,24,271-270,218.3254452,11.52,252,"2°9'6""",77.62475,11.28869444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62474999999999 11.288694444444443, 77.62386111111111 11.289861111111112)"
T.NO 269,,T,DB,24,270-269,164.2010962,5.13,248,"1°28'6""",77.62386111,11.28986111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62386111111111 11.289861111111112, 77.62338888888888 11.290555555555555)"
T.NO 268,2W,T,DB,24,269-268,91.02197537,7.02,247,"7°35'42""",77.62338889,11.29055556,GOOD,GOOD,110KV CROSSING,,PLAIN,THIRUVACHI - METTUKADAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62338888888888 11.290555555555555, 77.62155555555555 11.2925)"
T.NO 267,,T,DC,26,268-267,293.5932561,9.02,253,"24°11'16""",77.62155556,11.2925,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62155555555555 11.2925, 77.62083333333332 11.294638888888889)"
T.NO 266,,T,DC,26,267-266,248.5678982,5.95,258,"16°35'34""",77.62083333,11.29463889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62083333333332 11.294638888888889, 77.62080555555555 11.296111111111111)"
T.NO 265,,S,DA,26,266-265,163.1103921,8.56,255,,77.62080556,11.29611111,GOOD,GOOD,"2 NOS LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62080555555555 11.296111111111111, 77.62069444444444 11.298472222222221)"
T.NO 264,,T,DD,28,265-264,262.2746652,6.13,249,"30°10'24""",77.62069444,11.29847222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62069444444444 11.298472222222221, 77.62183333333333 11.300527777777779)"
T.NO 263,,T,DD,28,264-263,259.8865137,7.47,245,"179°20'15""",77.62183333,11.30052778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62183333333333 11.300527777777779, 77.62288888888888 11.3025)"
T.NO 262,,T,DB,30,263-262,245.9776413,4.26,237,"1°47'38""",77.62288889,11.3025,GOOD,GOOD,2 NOS LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62288888888888 11.3025, 77.62402777777777 11.3045)"
T.NO 261,,T,DC,32,262-261,254.6723385,3.95,241,"16°31'42""",77.62402778,11.3045,GOOD,GOOD,2 NOS LT,"TAAR ROAD,RIVER",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62402777777777 11.3045, 77.62444444444444 11.306222222222223)"
T.NO 260,,S,DC,26,261-260,194.2832983,5.17,239,,77.62444444,11.30622222,GOOD,GOOD,2 NOS LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62444444444444 11.306222222222223, 77.62488888888888 11.308222222222224)"
T.NO 259,,T,DC,26,260-259,226.5149002,4.44,243,"28°18'33""",77.62488889,11.30822222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62488888888888 11.308222222222224, 77.62658333333333 11.310305555555557)"
T.NO 258,,S,DA,26,259-258,296.7305175,3.56,235,,77.62658333,11.31030556,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62658333333333 11.310305555555557, 77.62838888888888 11.312166666666668)"
T.NO 257,,S,DA,26,258-257,284.4292531,17.11,238,,77.62838889,11.31216667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62838888888888 11.312166666666668, 77.6301111111111 11.31413888888889)"
T.NO 256,,S,DA,26,257-256,289.4995682,11.51,239,,77.63011111,11.31413889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6301111111111 11.31413888888889, 77.63180555555554 11.316027777777778)"
T.NO 255,,T,DC,26,256-255,279.3027032,6.87,234,"20°14'59""",77.63180556,11.31602778,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63180555555554 11.316027777777778, 77.63263888888888 11.318277777777778)"
T.NO 254,,S,DA,26,255-254,265.0358466,4.56,230,,77.63263889,11.31827778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63263888888888 11.318277777777778, 77.63358333333333 11.320666666666666)"
T.NO 253,,S,DA,26,254-253,282.6605738,7.59,232,,77.63358333,11.32066667,GOOD,GOOD," LT ,",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63358333333333 11.320666666666666, 77.63444444444445 11.323166666666667)"
T.NO 252,,S,DA,26,253-252,291.5647441,9.42,240,,77.63444444,11.32316667,GOOD,GOOD,400KV CROSSING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63444444444445 11.323166666666667, 77.63513888888889 11.32461111111111)"
T.NO 251,2W,T,DD,28,252-251,179.4268653,13.17,241,"41°30'49""",77.63513889,11.32461111,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63513888888889 11.32461111111111, 77.63719444444445 11.325722222222222)"
T.NO 250,,S,DA,26,251-250,256.517056,12.97,238,,77.63719444,11.32572222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63719444444445 11.325722222222222, 77.63919444444446 11.326777777777778)"
T.NO 249,,S,DA,26,250-249,246.5319452,9.07,230,,77.63919444,11.32677778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63919444444446 11.326777777777778, 77.64097222222223 11.327666666666666)"
T.NO 248,,S,DA,26,249-248,218.7167118,11.47,235,,77.64097222,11.32766667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64097222222223 11.327666666666666, 77.64305555555556 11.328722222222222)"
T.NO 247,,S,DA,32,248-247,255.8378393,8.93,231,,77.64305556,11.32872222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64305555555556 11.328722222222222, 77.64533333333334 11.32986111111111)"
T.NO 246,,T,DD,34,247-246,278.2373088,IN WATER,232,"31°45'21""",77.64533333,11.32986111,GOOD,GOOD,"LT,HT","TAAR ROAD,RIVER",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64533333333334 11.32986111111111, 77.6465 11.331805555555555)"
T.NO 245,,S,DA,26,246-245,248.6966023,7.57,239,,77.6465,11.33180556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6465 11.331805555555555, 77.64775 11.333916666666667)"
T.NO 244,,T,DC,26,245-244,270.6510669,6.36,231,"25°55'12""",77.64775,11.33391667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64775 11.333916666666667, 77.64794444444445 11.336166666666667)"
T.NO 243,,S,DA,26,244-243,252.5727618,9.82,232,,77.64794444,11.33616667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64794444444445 11.336166666666667, 77.6481388888889 11.33838888888889)"
T.NO 242,,T,DD,28,243-242,246.8116691,10.97,223,"44°6'3""",77.64813889,11.33838889,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6481388888889 11.33838888888889, 77.65013888888889 11.340194444444444)"
T.NO 241,,S,DA,26,242-241,293.6954205,6.07,233,,77.65013889,11.34019444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65013888888889 11.340194444444444, 77.65222222222222 11.341916666666668)"
T.NO 240,,S,DA,26,241-240,298.6050904,5.96,236,,77.65222222,11.34191667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65222222222222 11.341916666666668, 77.65405555555556 11.3435)"
T.NO 239,2W,T,DD,28,240-239,266.9925093,4.02,220,"45°11'40""",77.65405556,11.3435,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65405555555556 11.3435, 77.65416666666667 11.345972222222223)"
