S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,31,,Tension,DD+0,28,-,-,0.8,314,,11.34488333,77.03126944,OK,OK,-,-,Plain,LILO POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03126944444445 11.344883333333334, 77.029575 11.343438888888889)"
2,32,,Suspension,SA+0,26,35-36,254,3.1,307,,11.34343889,77.029575,OK,OK,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.029575 11.343438888888889, 77.02765 11.34176388888889)"
3,33,,Suspension,SA+0,26,36-37,284,0.5,310,,11.34176389,77.02765,OK,OK,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02765 11.34176388888889, 77.02577777777778 11.340175)"
4,34,,Tension,SD+9,37,37-38,275,0.3,302," 21°59’16.92""RT",11.340175,77.02577778,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02577777777778 11.340175, 77.02429166666667 11.339661111111111)"
5,35,,Tension,SD+9,37,38-39,180,0.6,301," 23°8’59.62""RT",11.33966111,77.02429167,OK,OK,LT,SH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02429166666667 11.339661111111111, 77.0216361111111 11.339877777777778)"
6,36,,Suspension,SA+0,26,39-40,297,10.7,292,,11.33987778,77.02163611,OK,OK,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0216361111111 11.339877777777778, 77.01923888888889 11.340058333333333)"
7,37,,Suspension,SA+0,26,40-41,273,7.4,298,,11.34005833,77.01923889,OK,OK,"33kv, LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01923888888889 11.340058333333333, 77.01649722222223 11.340258333333335)"
8,38,,Tension,SD+0,28,41-42,302,-,294, 36°26’25.06”RT,11.34025833,77.01649722,OK,OK,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01649722222223 11.340258333333335, 77.01421666666667 11.342202777777779)"
9,39,,Tension,SD+9,37,42-43,330,-,290," 41°55’15.64""LT",11.34220278,77.01421667,OK,OK,-,Bhavani River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01421666666667 11.342202777777779, 77.011725 11.342141666666667)"
10,40,,Suspension,SA+0,26,43-44,283,11,285,,11.34214167,77.011725,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.011725 11.342141666666667, 77.00888333333333 11.342080555555556)"
