Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
#VALUE!,,T,28,119 to 120,,312,,16,182,"0°38'38"" RT",11.508404,77.694305,Good,Good,,Tar Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.694305 11.508404, 77.693443 11.505816)"
3,,S,26,120 to 121,,315,,18,191,,11.505816,77.693443,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.693443 11.505816, 77.692578 11.503158)"
4,,S,26,121 to 122,,309.0032985,,20,186,,11.503158,77.692578,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.692578 11.503158, 77.691636 11.500335)"
5,,S,26,122 to 123,,328.9716376,,22,187,,11.500335,77.691636,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.691636 11.500335, 77.690801 11.497745)"
#VALUE!,,S,26,123 to 124,,300.836564,,21,170,,11.497745,77.690801,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.690801 11.497745, 77.690078 11.495557)"
2,,S,26,124 to 125,,265,,18,168,,11.495557,77.690078,Good,Good,,Tar Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.690078 11.495557, 77.689187 11.492892)"
3,,T,24,125 to 126,,310.6183946,,16,170,"0°36'24"" LT",11.492892,77.689187,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.689187 11.492892, 77.688248 11.48998)"
4,,T,24,126 to 127,,338.2441482,,19,185,"0°44'12"" RT",11.48998,77.688248,Good,Good,,Tar Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.688248 11.48998, 77.687293 11.487145)"
128 LILO,,T,28,127 to 128,,330.6785076,,18,187,"98°25'38"" LT",11.487145,77.687293,Good,Good,,Tar Road ,Sugar cane ,Tapping point to LMHEP-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.687293 11.487145, 77.687449 11.487118)"
1,,T,24,128 to 1,,37,,19,187,"4°39'32"" LT",11.487118,77.687449,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.687449 11.487118, 77.689802 11.486903)"
2,,S,26,1 to 2,,257.9929045,,21,176,,11.486903,77.689802,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.689802 11.486903, 77.692314 11.486716)"
3,,S,26,2 to 3,,275.0327613,,16,176,,11.486716,77.692314,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.692314 11.486716, 77.694538 11.486513)"
4,,S,26,3 to 4,,243.8478904,,15,178,,11.486513,77.694538,Good,Good,,Tar Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.694538 11.486513, 77.696696 11.486319)"
5,,T ,24,4 to 5,,236.5818474,,13,179,"11°6'44"" RT",11.486319,77.696696,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.696696 11.486319, 77.698358 11.485839)"
6,,T,24,5 to 6,,189.0726885,,18,170,"6°11'25"" LT",11.485839,77.698358,Good,Good,,Tar Road ,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.698358 11.485839, 77.700605 11.485443)"
7,,T,28,6 to 7,,249.2088471,,18,167,"110°7'3"" RT",11.485443,77.700605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.700605 11.485443, 77.7006 11.485471)"
LMHEP-4 SS,2W,Gantry ,20,7 to Gantry,,3.147107273,,,168,,11.485471,77.7006,Good,Good,,,,LMHEP-4  SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
