S.NO,Tower No, Supspension/Tenion,TOWER TYPE,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
77,T.NO-72A,GANTRY,GT,20,72-72A,47.07440918375928,,348,,77.3688611111111,10.688166666666667,GOOD,GOOD,,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3688611111111 10.688166666666667, 77.36919444444443 10.68825)"
78,T.NO-72B,GANTRY,GANTRY,20,72A-72B,39.293765408777,,346,,77.36919444444443,10.68825,GOOD,GOOD,400KV SC LINE CROSSING ABOVE OUR LINE,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36919444444443 10.68825, 77.3696111111111 10.688333333333334)"
79,T.NO-73,T,DB,24,72B-73,45.12205669071391,4.6,344,"7°31'32.23""",77.3696111111111,10.688333333333334,GOOD,GOOD,,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3696111111111 10.688333333333334, 77.37127777777778 10.688472222222222)"
80,T.NO-74,S,DA,26,73-74,184.78365728602733,3.7,344,,77.37127777777778,10.688472222222222,GOOD,GOOD,,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37127777777778 10.688472222222222, 77.37333333333332 10.688722222222223)"
81,T.NO-75,S,DA,26,74-75,225.6213642366343,4.5,344,,77.37333333333332,10.688722222222223,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37333333333332 10.688722222222223, 77.37591666666665 10.688944444444445)"
82,T.NO-76,S,DA,26,75-76,284.3817856333278,4.12,344,,77.37591666666665,10.688944444444445,GOOD,GOOD,11KV,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37591666666665 10.688944444444445, 77.378 10.68913888888889)"
83,T.NO-77,T,DB,30,76-77,228.1622229905731,3.97,342,"0°56'29.60""",77.378,10.68913888888889,GOOD,GOOD,110KV SC LINE CROSSING BELOW OUR LINE,,NO,PLAIN LAND,2 EARTH WIRE 1 EARTH WIRE CONTINUE TO OUR T.NO-78.ANOTHER EARTH WIRE CONNECT TO CROSSING 110KV TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.378 10.68913888888889, 77.37852777777778 10.689166666666667)"
84,T.NO-78,S,DA,26,77-78,59.21148537234985,4.18,340,,77.37852777777778,10.689166666666667,GOOD,GOOD,LT,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37852777777778 10.689166666666667, 77.38158333333332 10.689472222222223)"
85,T.NO-79,T,DB,24,78-79,333.73642294481436,3.62,340,"0°49'23.45""",77.38158333333332,10.689472222222223,GOOD,GOOD,LT,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38158333333332 10.689472222222223, 77.38405555555556 10.689666666666668)"
86,T.NO-80,S,DA,26,79-80,274.05291459862275,2.19,335,,77.38405555555556,10.689666666666668,GOOD,GOOD,11KV ,TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38405555555556 10.689666666666668, 77.38672222222223 10.68988888888889)"
87,T.NO-81,S,DA,26,80-81,292.4414471308744,5.32,332,,77.38672222222223,10.68988888888889,GOOD,GOOD,11KV,MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38672222222223 10.68988888888889, 77.38922222222223 10.690138888888889)"
88,T.NO-82,S,DA,26,81-82,274.5359721420856,4.25,334,,77.38922222222223,10.690138888888889,GOOD,GOOD,,MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38922222222223 10.690138888888889, 77.39161111111112 10.69036111111111)"
89,T.NO-83,S,DA,26,82-83,261.1991577321795,3.75,340,,77.39161111111112,10.69036111111111,GOOD,GOOD,,MUD ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39161111111112 10.69036111111111, 77.39427777777779 10.690555555555555)"
90,T.NO-84,T,DB,24,83-84,293.1552489722809,4.47,337,"14°11'33.96""",77.39427777777779,10.690555555555555,GOOD,GOOD,"LT,22KV",TAAR ROAD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39427777777779 10.690555555555555, 77.39686111111112 10.691444444444445)"
91,T.NO-85,S,DA,26,84-85,299.81661061388843,3.74,337,,77.39686111111112,10.691444444444445,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39686111111112 10.691444444444445, 77.39972222222222 10.692444444444444)"
92,T.NO-86 LILO PONNAPURAM 110 KV ,T,DD,24,85-86,332.77319603597886,4.32,334,"0°15'32.65""",77.39972222222222,10.692444444444444,GOOD,GOOD,LT,,NO,PLAIN LAND,NEED 3WAY JUNCTION BOX. 2 EARTH WIRE 1 EARTH WIRE CONTINUE TO OUR T.NO-87.ANOTHER EARTH WIRE CONNECT TO PONNAPURAM 110KV T.NO-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39972222222222 10.692444444444444, 77.40205555555556 10.69325)"
93,T.NO-87,T,DB,24,86-87,270.4902955745363,4.6,339,"0°57'15.03""",77.40205555555556,10.69325,GOOD,GOOD,,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40205555555556 10.69325, 77.40466666666667 10.694138888888888)"
94,T.NO-88,T,DB,24,87-88,301.70515408259104,4.3,334,"0°12'36.74""",77.40466666666667,10.694138888888888,GOOD,GOOD,"LT,4nos 11KV,110KV DC LINE CROSSING ABOVE OUR LINE",,NO,CULTIVATION,NO EARTH WIRE.EARTH WIRE CONNECT TO CROSSING 110KV RIGHT SIDE TOWER FRPOM T.NO-87 .THEN CONNECT TO OUR T.NO-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40466666666667 10.694138888888888, 77.40652777777778 10.69475)"
95,T.NO-89 LILO PONNAPURAM 230KV ,T,DD,28,88-89,214.11445537375565,3.9,336,"101°40'39.86""",77.40652777777778,10.69475,GOOD,GOOD,11KV,MUD ROAD,NO,CULTIVATION,NEED 3WAY JUNCTION BOX. 2 EARTH WIRE 1 EARTH WIRE CONTINUE TO OUR T.NO-90.ANOTHER EARTH WIRE CONNECT TO RASIPALAYAM 400KV TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40652777777778 10.69475, 77.4053888888889 10.696666666666667)"
96,T.NO-90,T,DC,26,89-90,246.272207120495,3.1,331,"17°24'35.14""",77.4053888888889,10.696666666666667,GOOD,GOOD,3nos 11KV,MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4053888888889 10.696666666666667, 77.40425 10.697666666666667)"
97,T.NO-91,S,DA,26,90-91,164.34719346554112,4.12,330,,77.40425,10.697666666666667,GOOD,GOOD,11KV,MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40425 10.697666666666667, 77.40261111111111 10.699166666666667)"
98,T.NO-92,T,DC,26,91-92,245.0673376849718,3.07,332,"29°58'43.61""",77.40261111111111,10.699166666666667,GOOD,GOOD,"LT,3nos 11KV",2nos MUD ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40261111111111 10.699166666666667, 77.40211111111111 10.700638888888887)"
99,T.NO-93,T,DB,24,92-93,171.71196813268432,2.12,328,"14°39'46.05""",77.40211111111111,10.700638888888887,GOOD,GOOD,,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40211111111111 10.700638888888887, 77.40100000000001 10.702361111111111)"
100,T.NO-94,T,DD,28,93-94,227.72132091659753,2.18,329,"58°17'42.38""",77.40100000000001,10.702361111111111,GOOD,GOOD,"LT,11KV",,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40100000000001 10.702361111111111, 77.40019444444445 10.702361111111111)"
101,T.NO-95,T,DC,26,94-95,89.02246907382428,,331,"21°11'31.58""",77.40019444444445,10.702361111111111,GOOD,GOOD,11KV,MUD ROAD,YES,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40019444444445 10.702361111111111, 77.39991666666667 10.70225)"
102,GANTRY PONNAPURAM 230KV SS ,GANTRY,GANTRY,20,95-GT,31.38470965295043,,,,77.39991666666667,10.70225,GOOD,MISSING,,,NO,SUBSTATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,=SUM(G8:G107),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
