S.NO,Tower No, Supspension/Tenion,TOWER TYPE,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,T.NO-16,S,DA,26,15-16,310.40940707394805,4.1,356,,77.26269444444445,10.626916666666666,GOOD,GOOD,LT,MUD ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26269444444445 10.626916666666666, 77.26383333333334 10.629416666666668)"
18,T.NO-17,S,DA,26,16-17,303.59183124715327,3.95,352,,77.26383333333334,10.629416666666668,GOOD,GOOD,"11KV,LT",TAAR ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26383333333334 10.629416666666668, 77.26491666666666 10.631805555555555)"
19,T.NO-18,T,DB,26,17-18,290.5942188000305,0.55,355,"0°4'57.89""",77.26491666666666,10.631805555555555,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26491666666666 10.631805555555555, 77.26613888888889 10.6345)"
20,T.NO-19,S,DA,26,18-19,326.4383555895355,3.89,351,,77.26613888888889,10.6345,GOOD,GOOD,LT,MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26613888888889 10.6345, 77.26727777777778 10.63711111111111)"
22,T.NO-20,S,DA,26,19-20,326,3.27,353,,77.26727777777778,10.63711111111111,GOOD,MISSING,"2nos LT,2nos 11KV",TAAR ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26727777777778 10.63711111111111, 77.26841666666667 10.63975)"
23,T.NO-21,S,DA,26,20-21,317.3846247063648,6.67,354,,77.26841666666667,10.63975,GOOD,GOOD,"LT,11KV","POND,MUD ROAD, TAAR ROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26841666666667 10.63975, 77.26966666666667 10.64236111111111)"
24,T.NO-22,S,DA,26,21-22,319.4620478241508,2.93,350,,77.26966666666667,10.64236111111111,GOOD,GOOD,2nos LT,3nos MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26966666666667 10.64236111111111, 77.27077777777778 10.64486111111111)"
25,T.NO-23,T,DC,26,22-23,301.87580227636664,2.38,353,"19°50'29.07""",77.27077777777778,10.64486111111111,GOOD,GOOD,LT,2nos MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27077777777778 10.64486111111111, 77.27269444444444 10.646833333333333)"
26,T.NO-24,S,DA,26,23-24,303.48805577814755,2.61,352,,77.27269444444444,10.646833333333333,GOOD,GOOD,"LT,11KV",CANAL,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27269444444444 10.646833333333333, 77.2745 10.648777777777777)"
27,T.NO-25,S,DA,29,24-25,292.3439754809392,2.82,353,,77.2745,10.648777777777777,GOOD,GOOD,"110KV SC CROSSING BELOW OUR LINE,11KV",,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2745 10.648777777777777, 77.27658333333333 10.650972222222222)"
