S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT-KARUVALUR 230SS,2W,T,GANTRY,15,NIL,NIL,NIL,371,"00°00'00""",77.15986111,11.21505556,GOOD,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTH WIRE TERMINATED IN TAKE OFF TOWER OF KARUVALUR 230KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15986111111111 11.215055555555555, 77.16041666666668 11.214888888888888)"
2,T.NO 1,2W,T-MC,MD,48,GT-1,62.93647591,13.1,371,"52°49'48""",77.16041667,11.21488889,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16041666666668 11.214888888888888, 77.16125000000001 11.212499999999999)"
3,T.NO 2,,T-MC,MD,48,01-Feb,280.2356152,9.05,372,"52°4'57""",77.16125,11.2125,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16125000000001 11.212499999999999, 77.16261111111112 11.212055555555555)"
4,T.NO 3,,T-MC,MD,48,02-Mar,155.9006094,6.75,370,"47°54'40""",77.16261111,11.21205556,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16261111111112 11.212055555555555, 77.16372222222223 11.209527777777778)"
5,T.NO 4,,T-MC,MD,48,03-Apr,302.6763949,7.45,370,"36°25'51""",77.16372222,11.20952778,GOOD,GOOD,"4nos LT,HT",TAAR ROAD,PLAIN,RAMANATHAPURAM VILLAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16372222222223 11.209527777777778, 77.1631388888889 11.207027777777776)"
6,T.NO 5,,T-MC,MC,45,04-May,282.8780656,6.8,373,"25°8'16""",77.16313889,11.20702778,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1631388888889 11.207027777777776, 77.16358333333334 11.204916666666666)"
7,T.NO 6,,T,DB,24,05-Jun,240.6844407,6.11,375,"0°54'18""",77.16358333,11.20491667,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16358333333334 11.204916666666666, 77.16411111111111 11.202666666666666)"
8,T.NO 7,,T,DD,28,06-Jul,254.9215566,6.95,380,"56°38'5""",77.16411111,11.20266667,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16411111111111 11.202666666666666, 77.16672222222223 11.201722222222221)"
9,T.NO 8,,T,DB,24,07-Aug,304.3221977,8.05,378,"5°45'53""",77.16672222,11.20172222,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16672222222223 11.201722222222221, 77.16941666666668 11.200999999999999)"
10,T.NO 9,,T,DC,26,08-Sep,305.353893,7.35,374,"27°56'13""",77.16941667,11.201,GOOD,GOOD,NIL,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16941666666668 11.200999999999999, 77.17097222222223 11.19961111111111)"
11,T.NO 10,,T,DD,28,09-Oct,227.9692962,6.1,371,"34°3'23""",77.17097222,11.19961111,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17097222222223 11.19961111111111, 77.17333333333333 11.199250000000001)"
12,T.NO 11,,S,DA,26,10-Nov,260.7834351,8.65,370,"00°00'00""",77.17333333,11.19925,GOOD,GOOD,NIL,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17333333333333 11.199250000000001, 77.1756388888889 11.198916666666667)"
