S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 230KV ARASUR SS,T,GT,15,,,,396,,77.12602777777776,11.093416666666668,GOOD,,,,PLAIN,ARASUR 230KV SS THESE LINES ALREADY HAVE 24F OPGW ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12602777777776 11.093416666666668, 77.12602777777776 11.093083333333334)"
2,T.NO 1,T,DC,26,GT-1,37.013511046643494,5.93,396,"19°40'42""",77.12602777777776,11.093083333333334,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12602777777776 11.093083333333334, 77.12569444444443 11.092055555555556)"
3,T.NO 2,T,DC,26,1-2,118.90332207301863,5.05,397,"29°35'46""",77.12569444444443,11.092055555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12569444444443 11.092055555555556, 77.12558333333332 11.091972222222223)"
4,DP1,DP,DP,15,2-DP1,14.866068747318506,DP,397,,77.12558333333332,11.091972222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12558333333332 11.091972222222223, 77.12527777777777 11.091916666666668)"
5,DP2,DP,DP,15,DP1-DP2,32.55764119219941,DP,397,,77.12527777777777,11.091916666666668,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12527777777777 11.091916666666668, 77.12508333333332 11.091666666666667)"
6,T.NO 3,T,DB,24,DP2-3,34.20526275297414,4.95,396,"7°7'30""",77.12508333333332,11.091666666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12508333333332 11.091666666666667, 77.12463888888888 11.091222222222223)"
7,T.NO 4 MC,T,MB,24,3-4,69.29646455628166,1.69,396,"13°59'33""",77.12463888888888,11.091222222222223,GOOD,GOOD,LT ,TAARROAD,PLAIN,ARASUR - PALLADAM FEEDER CONNECTED NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12463888888888 11.091222222222223, 77.12355555555555 11.089500000000001)"
8,T.NO 5 MC,T,MB,24,4-5,225.17770760001977,5.31,397,"1°21'52""",77.12355555555555,11.089500000000001,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12355555555555 11.089500000000001, 77.12225 11.087472222222223)"
9,T.NO 6 MC,T,MD,28,5-6,265.2168923730161,6.12,394,"59°2'40""",77.12225,11.087472222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12225 11.087472222222223, 77.12322222222221 11.085555555555556)"
10,T.NO 85 MC ,T,MD,28,6-85,238.36526592605728,7.47,390,"85°24'14""",77.12322222222221,11.085555555555556,GOOD,GOOD,"LT,HT ",TAARROAD,PLAIN,ARASUR- PALLADAM FEEDER SPLITED NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12322222222221 11.085555555555556, 77.12044444444444 11.083916666666667)"
11,T.NO 84,T,DB,24,85-84,354.4925951271761,6.15,386,"0°35'29""",77.12044444444444,11.083916666666667,GOOD,GOOD,"LT-2,HT-2",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12044444444444 11.083916666666667, 77.11827777777778 11.082666666666666)"
12,T.NO 83,T,DB,24,84-83,274.40116617827994,6.95,384,"0°43'40""",77.11827777777778,11.082666666666666,GOOD,GOOD,"LT-2,HT ",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11827777777778 11.082666666666666, 77.11594444444444 11.081277777777778)"
13,T.NO 82,S,DA,26,83-82,296.52150006365474,7.12,383,,77.11594444444444,11.081277777777778,GOOD,MISSING,"LT,110KV CROSSING ABOVE OUR LINE",,PLAIN,ARASUR - THINGALUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11594444444444 11.081277777777778, 77.11388888888888 11.080055555555555)"
14,T.NO 81,T,DB,24,82-81,260.0192300580863,7.02,386,"2°54'47""",77.11388888888888,11.080055555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11388888888888 11.080055555555555, 77.11188888888888 11.079027777777778)"
15,T.NO 80,S,DA,26,81-80,249.1766441703556,8.01,385,,77.11188888888888,11.079027777777778,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11188888888888 11.079027777777778, 77.10974999999999 11.07788888888889)"
16,T.NO 79,S,DA,26,80-79,263.12924580897504,6.81,383,,77.10974999999999,11.07788888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10974999999999 11.07788888888889, 77.1073611111111 11.076611111111111)"
17,T.NO 78 LILO NEELAMBUR,T,DB,24,79-78,298.9648808806814,5.98,380,"0°12'4""",77.1073611111111,11.076611111111111,GOOD,GOOD,,,PLAIN,NEELAMBUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1073611111111 11.076611111111111, 77.10488888888888 11.075333333333333)"
18,T.NO 77,S,DA,26,78-77,302.4119706625384,6.12,385,,77.10488888888888,11.075333333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10488888888888 11.075333333333333, 77.10241666666666 11.074027777777777)"
19,T.NO 76,S,DA,26,77-76,308.7798568559808,6.91,388,,77.10241666666666,11.074027777777777,GOOD,GOOD,"LT-3,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10241666666666 11.074027777777777, 77.10016666666667 11.072833333333334)"
20,T.NO 75,S,DA,26,76-75,278.29660436304283,7.21,392,,77.10016666666667,11.072833333333334,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10016666666667 11.072833333333334, 77.09774999999999 11.071583333333333)"
21,T.NO 74,T,DB,24,75-74,298.41246622753545,6.19,392,"0°13'28""",77.09774999999999,11.071583333333333,GOOD,GOOD,"LT,HT-2",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09774999999999 11.071583333333333, 77.09558333333332 11.070416666666667)"
22,T.NO 73,S,DA,26,74-73,268.5609800399157,8.72,394,,77.09558333333332,11.070416666666667,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09558333333332 11.070416666666667, 77.09316666666666 11.069166666666666)"
23,T.NO 72,S,DA,26,73-72,299.2941696725815,6.98,394,,77.09316666666666,11.069166666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09316666666666 11.069166666666666, 77.09069444444444 11.06786111111111)"
24,T.NO 71,S,DA,26,72-71,305.6681206799296,7.21,395,,77.09069444444444,11.06786111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09069444444444 11.06786111111111, 77.08863888888888 11.066777777777778)"
25,T.NO 70,S,DA,26,71-70,255.47211198093618,8.01,397,,77.08863888888888,11.066777777777778,GOOD,GOOD,"LT-3,HT",MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08863888888888 11.066777777777778, 77.08694444444444 11.065861111111111)"
26,T.NO 69,S,DA,26,70-69,210.86725682286476,8.91,396,,77.08694444444444,11.065861111111111,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08694444444444 11.065861111111111, 77.08519444444444 11.064972222222224)"
27,T.NO 68,S,DA,26,69-68,213.82469455140114,8.75,394,,77.08519444444444,11.064972222222224,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08519444444444 11.064972222222224, 77.083 11.063805555555556)"
28,T.NO 67,T,DC,26,68-67,272.9468812791236,6.12,395,"16°13'7""",77.083,11.063805555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.083 11.063805555555556, 77.08047222222221 11.063305555555557)"
29,T.NO 66,S,DA,26,67-66,281.82441342083905,6.21,395,,77.08047222222221,11.063305555555557,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08047222222221 11.063305555555557, 77.07822222222222 11.062805555555556)"
30,T.NO 65,T,DB,24,66-65,253.49161721840034,7.81,394,"0°47'21""",77.07822222222222,11.062805555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07822222222222 11.062805555555556, 77.07580555555555 11.06238888888889)"
31,T.NO 64,S,DA,26,65-64,268.50884529191956,6.47,394,,77.07580555555555,11.06238888888889,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07580555555555 11.06238888888889, 77.07322222222221 11.06188888888889)"
32,T.NO 63,S,DA,26,64-63,285.9440504714165,7.18,392,,77.07322222222221,11.06188888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07322222222221 11.06188888888889, 77.07113888888888 11.061444444444446)"
33,T.NO 62,S,DA,26,63-62,232.22833591101667,3.95,391,,77.07113888888888,11.061444444444446,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07113888888888 11.061444444444446, 77.06891666666667 11.06102777777778)"
34,T.NO 61,S,DA,26,62-61,249.07027120874943,7.32,392,,77.06891666666667,11.06102777777778,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06891666666667 11.06102777777778, 77.06663888888889 11.060555555555556)"
35,T.NO 60,S,DA,26,61-60,253.1896522372113,6.85,383,,77.06663888888889,11.060555555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06663888888889 11.060555555555556, 77.06388888888888 11.060027777777778)"
36,T.NO 59,T,DB,24,60-59,305.15897496223175,1.86,383,"14°58'46""",77.06388888888888,11.060027777777778,GOOD,GOOD,HT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06388888888888 11.060027777777778, 77.06119444444444 11.060222222222222)"
37,T.NO 58,S,DA,26,59-58,296.54679226051326,7.21,389,,77.06119444444444,11.060222222222222,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06119444444444 11.060222222222222, 77.0586111111111 11.060416666666667)"
38,T.NO 57,S,DA,26,58-57,281.64161624305456,7.01,390,,77.0586111111111,11.060416666666667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0586111111111 11.060416666666667, 77.05605555555556 11.060555555555556)"
39,T.NO 1LILO MYLAMPATTI,T,DB,24,57-1,280.40149785619906,4.98,393,"0°26'52""",77.05605555555556,11.060555555555556,GOOD,GOOD,,TAARROAD,PLAIN,MYLAMPATTI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05605555555556 11.060555555555556, 77.05583333333333 11.060611111111111)"
40,T.NO 56,S,DA,26,1-56,25.709920264364882,4.21,396,,77.05583333333333,11.060611111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05583333333333 11.060611111111111, 77.05333333333333 11.060777777777778)"
41,T.NO 55,S,DA,26,56-55,273.528791903156,5.21,398,,77.05333333333333,11.060777777777778,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05333333333333 11.060777777777778, 77.05091666666667 11.060944444444445)"
42,T.NO 54,S,DA,26,55-54,266.54267950930483,4.02,401,,77.05091666666667,11.060944444444445,GOOD,GOOD,HT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05091666666667 11.060944444444445, 77.04819444444445 11.06113888888889)"
43,T.NO 53,T,DB,24,54-53,297.6071235706565,5.01,406,"0°3'5""",77.04819444444445,11.06113888888889,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04819444444445 11.06113888888889, 77.04580555555556 11.061333333333334)"
44,T.NO 52,S,DA,26,53-52,259.6247291765559,4.61,411,,77.04580555555556,11.061333333333334,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04580555555556 11.061333333333334, 77.04313888888889 11.0615)"
45,T.NO 51,S,DA,26,52-51,294.49108645254444,6.12,415,,77.04313888888889,11.0615,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04313888888889 11.0615, 77.04083333333332 11.061666666666667)"
46,T.NO 50,S,DA,26,51-50,250.51147678300092,5.92,417,,77.04083333333332,11.061666666666667,GOOD,GOOD,LT-2,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04083333333332 11.061666666666667, 77.03825 11.06188888888889)"
