,Tower No, Supspension/Tenion,TOWER TYPE,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,T.NO 18,T,DC,26,17-18,NO,108.33743581975715,7.15,344,"20°4'19""",77.35177777777777,11.203555555555555,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35177777777777 11.203555555555555, 77.35019444444444 11.205194444444444)"
19,T.NO 19,T,DB,24,18-19,NO,251.76576415390556,6.8,345,"13°13'49""",77.35019444444444,11.205194444444444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35019444444444 11.205194444444444, 77.34891666666667 11.206027777777777)"
20,T.NO 20,T,DC,26,19-20,YES,166.43316977093238,2.9,346,"25°9'33""",77.34891666666667,11.206027777777777,GOOD,GOOD,LT,TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34891666666667 11.206027777777777, 77.34705555555556 11.206277777777776)"
21,T.NO 21,T,DC,26,20-21,NO,204.78769494283586,4.7,347,"25°16'11""",77.34705555555556,11.206277777777776,GOOD,GOOD,LT,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34705555555556 11.206277777777776, 77.34555555555555 11.205805555555555)"
22,T.NO 22,T,DD,28,21-22,NO,171.09354166653983,6.8,348,"71°16'49""",77.34555555555555,11.205805555555555,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34555555555555 11.205805555555555, 77.34422222222221 11.207638888888889)"
23,T.NO 23,T,DC,26,22-23,NO,251.00796800101784,8.3,349,"18°32'38""",77.34422222222221,11.207638888888889,GOOD,GOOD,"LT1,11kv","MUD ROAD,DRAIN",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34422222222221 11.207638888888889, 77.34369444444444 11.209305555555554)"
24,T.NO 24,T,DC,26,23-24,NO,192.27584351654787,4.95,350,"18°10'22""",77.34369444444444,11.209305555555554,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34369444444444 11.209305555555554, 77.34372222222221 11.211027777777778)"
25,T.NO 25,T,DD,37,24-25,NO,189.0026454841307,5.5,351,"101°53'43""",77.34372222222221,11.211027777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34372222222221 11.211027777777778, 77.34263888888889 11.210805555555554)"
26,T.NO 26,T,DD,37,25-26,YES,119.4361754243663,3.6,352,"86°22'54""",77.34263888888889,11.210805555555554,GOOD,GOOD,,"TAAR ROAD,NH",PLAIN,ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34263888888889 11.210805555555554, 77.34211111111111 11.212777777777777)"
27,T.NO 27,T,DD,28,26-27,NO,224.8777445635739,3.8,353,"42°30'50""",77.34211111111111,11.212777777777777,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34211111111111 11.212777777777777, 77.34108333333333 11.213444444444443)"
28,T.NO 28,T,DC,26,27-28,NO,134.8332303254654,6.05,354,"21°27'25""",77.34108333333333,11.213444444444443,GOOD,GOOD,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34108333333333 11.213444444444443, 77.3398611111111 11.21511111111111)"
29,T.NO 29,T,DB,24,28-29,YES,228.2126201593593,6.8,355,"2°49'56""",77.3398611111111,11.21511111111111,GOOD,GOOD,11kv,"DRAIN,TAAR ROAD",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3398611111111 11.21511111111111, 77.33891666666666 11.216527777777777)"
