S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT-VEERAPANDI 110kv SS,2W,T,GANTRY,15,NIL,,NIL,329,NIL,77.32183333,11.06525,GOOD,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTH WIRE TERMINATED IN TAKE OFF TOWER OF VEERAPANDI 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32183333333333 11.06525, 77.32124999999999 11.065277777777778)"
2,T.NO 44,,T,DB,24,GT-44,65.00769185,7.55,328,"12°11'29""",77.32125,11.06527778,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32124999999999 11.065277777777778, 77.31908333333332 11.064861111111112)"
3,T.NO 43,,T,DB,24,44-43,239.6539171,8.6,329,"1°28'11""",77.31908333,11.06486111,GOOD,GOOD,LT,TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31908333333332 11.064861111111112, 77.31736111111111 11.064611111111113)"
4,T.NO 42,,S ,DA,26,43-42,191.2119243,7.28,331,"0°00'00""",77.31736111,11.06461111,GOOD,GOOD,"2NOS LT,HT",TAARROAD,PLAIN,THANTHAI PERIYAR NAGAR SALAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31736111111111 11.064611111111113, 77.31502777777777 11.064222222222224)"
5,T.NO 41,,S,DA,26,42-41,258.1317493,6.05,326,"0°00'00""",77.31502778,11.06422222,GOOD,GOOD,"LT,HT",CANAL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31502777777777 11.064222222222224, 77.31302777777778 11.063861111111112)"
6,T.NO 40,,T,DC,26,41-40,223.6067977,5.08,328,"21°9'1""",77.31302778,11.06386111,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31302777777778 11.063861111111112, 77.31163888888888 11.064166666666667)"
7,T.NO 39,,T,DB,24,40-39,152.9705854,5.69,330,"0°3'39""",77.31163889,11.06416667,GOOD,COPING DAMAGE,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31163888888888 11.064166666666667, 77.31 11.0645)"
8,T.NO 38,,T,DC,26,39-38,184.5453874,4.78,336,"23°3'9""",77.31,11.0645,GOOD,COPING DAMAGE,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31 11.0645, 77.30741666666667 11.064)"
9,T.NO 37,,S,DA,26,38-37,286.9233347,4.1,334,"0°00'00""",77.30741667,11.064,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30741666666667 11.064, 77.30469444444444 11.063444444444444)"
10,T.NO 36,,S,DA,26,37-36,303.6083003,10.7,338,"0°00'00""",77.30469444,11.06344444,GOOD,GOOD,LT,MUDROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30469444444444 11.063444444444444, 77.30180555555555 11.062861111111111)"
