S. No ,Tower No,Joint Box, Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GOBI GANTRY,2W,T,20,,,,272,,11.40038,77.43629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43629 11.40038, 77.43631 11.40055)"
2,273,,T,28,GANTRY - 273,18.94024397,6.07,276,"83⁰19'37"" LT",11.40055,77.43631,GOOD,GOOD,LT/11 KVA/SUB STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43631 11.40055, 77.43498 11.40086)"
3,272,,T,28,273-272,149.218907,1460 (1000),263,"47⁰5'43"" RT",11.40086,77.43498,GOOD,GOOD,LT/SUB STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43498 11.40086, 77.43392 11.4027)"
4,271,,T,24,272-271,234.2265076,1557(1000),264,"10⁰32'42"" LT",11.4027,77.43392,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43392 11.4027, 77.43262 11.40422)"
5,270,,T,28,271-270,220.1034891,1592(1000),266,"45⁰5'7"" LT",11.40422,77.43262,GOOD,GOOD,,SAND ROAD,HOUSING AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43262 11.40422, 77.43128 11.40433)"
6,269,,T,28,270-269,146.81667,15.35,266,"34⁰28'0"" RT",11.40433,77.43128,GOOD,GOOD,,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43128 11.40433, 77.42902 11.40615)"
7,268,,T,24,269-268,318.5297791,4.57,268,"7⁰41'35"" RT",11.40615,77.42902,GOOD,GOOD,LT,SAND ROAD,BOUNDARY WALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42902 11.40615, 77.42738 11.40788)"
8,267,,S,26,268-267,262.1461821,583(1000),265,,11.40788,77.42738,GOOD,GOOD,LT/11KV,SAND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42738 11.40788, 77.42549 11.40984)"
9,266,,T,24,267-266,299.3915985,15.23,266,"5⁰41'2"" RT",11.40984,77.42549,GOOD,GOOD,LT/11 KV,TAR ROAD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42549 11.40984, 77.42381 11.41197)"
10,265,,T,24,266-265,298.6854504,15.49,263,"8⁰11'37"" RT",11.41197,77.42381,GOOD,GOOD,LT,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42381 11.41197, 77.42281 11.4137)"
11,264,,S,26,265-264,220.4021296,12.41,266,,11.4137,77.42281,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42281 11.4137, 77.42174 11.41558)"
12,263,,T,26,264-263,238.6133386,5.6,266,"21⁰19'34"" RT",11.41558,77.42174,GOOD,GOOD,LT,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42174 11.41558, 77.42141 11.4179)"
13,262,,S,26,263-262,259.2680684,5.34,261,,11.4179,77.42141,GOOD,GOOD,,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42141 11.4179, 77.42121 11.41949)"
14,261,,T,26,262-261,177.3135887,14.91,258,"24⁰27'17"" LT",11.41949,77.42121,GOOD,GOOD,,CANAL/SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42121 11.41949, 77.41973 11.42187)"
15,260,,S,26,261-260,309.007766,16.13,257,,11.42187,77.41973,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41973 11.42187, 77.4184 11.42411)"
16,259,,S,26,260-259,287.2962265,9.65,253,,11.42411,77.4184,GOOD,GOOD,11 KV,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4184 11.42411, 77.41757 11.42547)"
17,TAPPING 258,3W,T,28,259-258,175.6838302,15.64,250,"41⁰59'29"" LT",11.42547,77.41757,GOOD,GOOD,,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41757 11.42547, 77.41634 11.42584)"
18,TAPPING 257 A,,T,24,258-257A,140.393101,12.08,249,"8⁰31'55"" LT",11.42584,77.41634,GOOD,GOOD,LT,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41634 11.42584, 77.41415 11.42616)"
19,257,,S,26,257A-257,241.7077228,14.25,252,,11.42616,77.41415,GOOD,GOOD,LT,,SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41415 11.42616, 77.41179 11.42659)"
20,256,,S,26,257-256,262.0164164,1629(1000),249,,11.42659,77.41179,GOOD,GOOD,,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41179 11.42659, 77.40868 11.42721)"
21,255,,S,26,256-255,346.403978,13.96,249,,11.42721,77.40868,GOOD,GOOD,LT/11 KV,CANAL ,HOUSING AREA,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40868 11.42721, 77.40534 11.42787)"
22,254,,S,26,255-254,371.8928839,15.17,258,,11.42787,77.40534,GOOD,GOOD,LT/11KV,TAR / SAND /CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40534 11.42787, 77.40197 11.42848)"
23,253,,S,26,254-253,374.0651488,16.52,252,,11.42848,77.40197,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40197 11.42848, 77.3988 11.42909)"
24,252,,S,26,253-252,352.6089409,1543(1000),257,,11.42909,77.3988,GOOD,GOOD,11 KV/LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3988 11.42909, 77.39593 11.42964)"
25,251,,S,26,252-251,319.1896746,10.25,260,,11.42964,77.39593,GOOD,GOOD,,CANAL/SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39593 11.42964, 77.39313 11.43024)"
26,250,,S,26,251-250,312.8174649,1637(1000),253,,11.43024,77.39313,GOOD,GOOD,,CANAL/SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39313 11.43024, 77.39033 11.43071)"
27,249,,S,26,250-249,310.0813591,14.16,249,,11.43071,77.39033,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39033 11.43071, 77.3877 11.43122)"
28,248,,S,26,249-248,292.6217474,15.47,244,,11.43122,77.3877,GOOD,GOOD,,SAND/TAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3877 11.43122, 77.38488 11.43178)"
29,247,2W,T,24,248-247,314.0446152,1582(1000),247,"0⁰38'35"" LT",11.43178,77.38488,GOOD,GOOD,11 KV,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38488 11.43178, 77.38194 11.43233)"
30,246,,S,26,247-246,326.6887554,1618(1000),250,,11.43233,77.38194,GOOD,GOOD,11 KV,TAR ROAD ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38194 11.43233, 77.37932 11.43284)"
