S.NO,Tower No,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,KARUPUR  GANTRY,2W,GANTRY,T,20,,,,331,,11.7073,78.1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1061 11.7073, 78.10632 11.70753)"
2,1,,DC,T,26,GANDRY-1,34.99425356,3.36,331,"26⁰1'22""  LT",11.70753,78.10632,GOOD,GOOD,,,,TOWER IN SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10632 11.70753, 78.10662 11.70848)"
3,2,,DD,T,28,1--2,110.152176,1.08,332,"85⁰44'19"" RT",11.70848,78.10662,GOOD,GOOD,22KV LINE CROSSING,,CANAL CROSSING,"COMPOUND WALL CROSSING,TOWER IN SCHOOL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10662 11.70848, 78.10912 11.70791)"
4,3,,DD,T,28,2--3,279.9768005,4.89,333,"53⁰36'16"" LT",11.70791,78.10912,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10912 11.70791, 78.11021 11.70883)"
5,4,,DC,T,26,3--4,156.5833982,3.26,327,"17⁰10'7"" RT",11.70883,78.11021,GOOD,GOOD,,,CANAL CROSSING,"FENCING CROSSING ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11021 11.70883, 78.11171 11.70947)"
6,5,,DD,T,28,4--5,178.3419398,4.12,333,"73⁰53'58"" RT",11.70947,78.11171,GOOD,GOOD,"LT LINE CROSSING,22KV LINE CROSSING",,,"RESIDENCE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11171 11.70947, 78.11294 11.708)"
7,6,,DD,T,28,5--6,210.9423582,2.64,333,"68⁰8'12"" LT",11.708,78.11294,GOOD,GOOD,33KV AND 22KV LINE CROSSING,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11294 11.708, 78.11546 11.70879)"
8,7,,DD,T,28,6--7,288.5282928,1.07,326,"40⁰7'45"" RT",11.70879,78.11546,GOOD,GOOD,LT LINE CROSSING,"TAR ROAD CROSSING,SAND ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11546 11.70879, 78.11698 11.70817)"
9,8,,DB,T,24,7--8,179.48774,3.47,324,"3⁰17'14"" LT",11.70817,78.11698,GOOD,GOOD,,"TAR ROAD CROSSING,SAND ROAD CROSSING,WIRE CABLE CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11698 11.70817, 78.11902 11.70747)"
10,9,,DB,T,24,8--9,235.6861469,7.76,325,"3⁰43'45"" LT",11.70747,78.11902,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11902 11.70747, 78.12122 11.70687)"
11,10,,DB,T,24,9--10,249.0595782,4.08,331,"7⁰19'49"" LT",11.70687,78.12122,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12122 11.70687, 78.12271 11.70666)"
12,11,,DC,T,26,10--11,164.2251391,3.17,338,"22⁰39'47"" LT",11.70666,78.12271,GOOD,GOOD,"LT LINE CROSSING,22KV LINE CROSSING",,,"AGRI LAND,FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12271 11.70666, 78.12459 11.70714)"
13,12,,,S,26,11--12,211.8947192,2.07,341,,11.70714,78.12459,GOOD,GOOD,,SAND ROAD CROSSING,,"AGRI LAND,FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12459 11.70714, 78.12639 11.7076)"
14,13,,DC,T,26,12--13,202.8891053,11.16,348,"26⁰22'56"" RT",11.7076,78.12639,GOOD,GOOD,LT  LINE CROSSING,,,"HILLS AREA, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12639 11.7076, 78.12818 11.70723)"
15,14,,DD,T,28,13-14,199.5517575,8.09,344,"40⁰16'10"" RT",11.70723,78.12818,GOOD,GOOD,LT  LINE CROSSING,SAND ROAD CROSSING,,"HILLA AREA,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12818 11.70723, 78.12983 11.70514)"
16,15,,DB,T,24,14--15,293.1694711,7.46,342,"5⁰4'11"" LT",11.70514,78.12983,GOOD,GOOD,,SAND ROAD CROSSING,HILLS AREA,TOWER IN HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12983 11.70514, 78.131623 11.703242)"
17,16,,DD,T,28,15-16,287.0974064,8.34,336,"38⁰31'42"" RT",11.703242,78.131623,GOOD,GOOD,,,HILLS AREA,TOWER IN HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.131623 11.703242, 78.13177 11.70137)"
18,17,,DD,T,28,16-17,207.8680178,7.54,336,"66⁰53'19"" LT",11.70137,78.13177,GOOD,GOOD,"LT LINE CROSSING,22KV LINE CROSSING",,,TOWER IN HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13177 11.70137, 78.13426 11.70054)"
19,18,2W,DB,T,24,17-18,286.8011283,0.36,342,"7⁰5'16"" LT",11.70054,78.13426,GOOD,GOOD,,"CANAL CROSSING,ROAD CROSSING",HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13426 11.70054, 78.13688 11.70001)"
20,19,,DD,T,28,18-19,291.8263812,0.62,359,"55⁰39'26"" LT",11.70001,78.13688,GOOD,GOOD,LT LINE CROSSING,,HILLS AREA,"ELECTRICAL FENCING CROSSING,SCHOOL CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13688 11.70001, 78.13839 11.70145)"
21,20,,DD,T,28,19-20,229.2578384,0.85,343,"34⁰57'18"" RT",11.70145,78.13839,GOOD,GOOD,,SAND ROAD CROSSING,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13839 11.70145, 78.14067 11.70181)"
22,21,,DC,T,26,20-21,251.9398546,0.68,355,"29⁰7'13"" RT",11.70181,78.14067,GOOD,GOOD,LT LINE CROSSING,PIT CROSSING,HILLS AREA,"COMPOUND WALL CROSSING,RESIDENTIAL AREA,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14067 11.70181, 78.14326 11.70088)"
23,22,,DC,T,26,21-22,300.7625757,1.76,346,"17⁰46'46"" LT",11.70088,78.14326,GOOD,GOOD,"LT LINE CROSSING,22KV LINE CROSSING","SAND ROAD CROSSING,WIRE CABLE CROSSING", ,COMPOUND WALL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14326 11.70088, 78.145569 11.700791)"
24,23,,DC,T,26,22-23,252.1239043,0.78,343,"16⁰47'39"" LT",11.700791,78.145569,GOOD,GOOD,LT LINE CROSSING,"TAR ROAD CROSSING,SAND ROAD CROSSING",HILLS AREA,"FARMER LAND,FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.145569 11.700791, 78.14791 11.70139)"
25,24,,DC,T,26,23-24,263.8901126,4.83,338,"22⁰9'29"" RT",11.70139,78.14791,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14791 11.70139, 78.14943 11.70119)"
26,25,,DD,T,28,24-25,167.3154257,2.38,338,"48⁰32'31"" LT",11.70119,78.14943,GOOD,GOOD,,SAND ROAD CROSSING,,"TOWER IN HILLS,FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14943 11.70119, 78.15129 11.70278)"
27,26,,DD,T,28,25-26,268.6438475,6.41,350,"42⁰24'30"" RT",11.70278,78.15129,GOOD,GOOD,,,HILLS AREA,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15129 11.70278, 78.15287 11.70274)"
28,27,,DD,T,28,26-27,172.4458405,0.95,365,"46⁰58'57"" RT",11.70274,78.15287,GOOD,GOOD,,,,"FARMER LAND,FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15287 11.70274, 78.15394 11.70155)"
29,28,,DC,T,26,27-28,176.026247,0.72,353,"20⁰10'9"" RT",11.70155,78.15394,GOOD,GOOD,"LT LINE CROSSING,22KV LINE CROSSING",,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15394 11.70155, 78.1545 11.70014)"
30,29,,DD,T,28,28-29,167.6295611,1.21,326,"47⁰39'57"" LT",11.70014,78.1545,GOOD,GOOD,,"TAR ROAD CROSSING,WIRE CABLE CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1545 11.70014, 78.15601 11.69957)"
31,30,,,S,26,29-30,176.4241697,2.54,321,,11.69957,78.15601,GOOD,GOOD,,,,"AGRI LAND,FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15601 11.69957, 78.15771 11.699)"
32,31,,DD,T,28,30-31,195.9236755,1.31,321,"31⁰29'56"" RT",11.699,78.15771,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15771 11.699, 78.158755 11.69776)"
33,32,,DC,T,26,31-32,178.4516939,2.57,320,"21⁰35'52"" RT",11.69776,78.158755,GOOD,GOOD,"LT LINE CROSSING,22KV LINE CROSSING",SAND ROAD CROSSING,,"AGRI LAND,FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.158755 11.69776, 78.159222 11.696353)"
34,33,,DB,T,24,32-33,163.886952,0.43,313,"3⁰35'46"" RT",11.696353,78.159222,,,,,CANAL CROSSING,COMPOUND WALL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.159222 11.696353, 78.15932 11.69598)"
35, HASTHAMPATTY       GANTRY,2W,GANTRY,T,20,33-GANTRY,42.65562772,,312,,11.69598,78.15932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
