S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,
11,T.NO 47,T,DC,26,48-47,237.65521244020718,2.3,398,"18°52'41""",77.05,11.022055555555557,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05 11.022055555555557, 77.04816666666666 11.021194444444445)",,,,
12,T.NO 46,S,DA,26,47-46,220.04544985070697,5.87,398,,77.04816666666666,11.021194444444445,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04816666666666 11.021194444444445, 77.04638888888888 11.020333333333333)",,,,
13,T.NO 45,S,DA,26,46-45,216.01157376399996,8.02,399,,77.04638888888888,11.020333333333333,,,GOOD,GOOD,2 nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04638888888888 11.020333333333333, 77.0445 11.019444444444446)",,,,
14,T.NO 44,T,DB,24,45-44,228.53008554673934,3.77,396,"0°28'19""",77.0445,11.019444444444446,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0445 11.019444444444446, 77.04277777777777 11.018638888888889)",,,,
15,T.NO 43 M.G ROAD LILO,T,MB,45,44-43,210.66798522794107,5.17,402,"0°10'30""",77.04277777777777,11.018638888888889,Yes,,GOOD,GOOD,LT,MUD ROAD,PLAIN,M.G ROAD LILO.NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,T.NO 42,S,DA,26,43-42,225.523834660552,2.83,402,,,,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,T.NO 41,S,DA,26,42-41,235.3720459187964,2.9,399,,,,,,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,T.NO 40,T,DB,33,41-40,231.21634890292685,,405,"0°25'50""",,,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,T.NO 39,T,DB,33,40-39,227.27076362788065,6.28,400,"0°51'49""",,,,,GOOD,GOOD,"3 nos LT,","TAAR ROAD,RAILWAY",PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,T.NO 38,S,DA,26,39-38,211.7026216181557,2.25,399,,,,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,T.NO 37,T,DB,24,38-37,187.128298234126,1.25,405,"4°29'15""",,,,,GOOD,GOOD,2 nos LT,2 nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,T.NO 36,T,DD,28,37-36,213.00938946440834,2,410,"54°14'11""",,,,,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,T.NO 35,T,DP,20,36-35,136.41847382227965,1.52,396,"7°11'27""",,,,,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GANTRY KALLIMADAI 110KV SS,T,GANTRY,20,35-GANTRY,85.38149682454625,,398,,,,Yes,,GOOD,MISSING,,,,110KV KALLIMADAI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G8:G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
