Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 20,,T,DB,24,19-20,183.1747799,4.65,396,"11°3'17""",76.99408333,10.92458333,GOOD,GOOD,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99408333333334 10.924583333333333, 76.99261111111112 10.923694444444443)"
T.NO 21,,T,DD,34,20-21,189.3356807,4.17,397,"64°45'53""",76.99261111,10.92369444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99261111111112 10.923694444444443, 76.99136111111112 10.924527777777778)"
T.NO 22,,T,DD,34,21-22,164.468842,5.62,377,"50°40'8""",76.99136111,10.92452778,GOOD,GOOD,,NH,WATER LOGGED,SALEM-KOCHI HIGHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99136111111112 10.924527777777778, 76.99116666666667 10.926416666666666)"
T.NO 23,,T,DB,24,22-23,210.0523744,6.32,371,"5°21'58""",76.99116667,10.92641667,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99116666666667 10.926416666666666, 76.99080555555555 10.92836111111111)"
T.NO 24,,T,DB,24,23-24,218.0825532,5.12,376,"4°23'55""",76.99080556,10.92836111,GOOD,GOOD,LT,MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99080555555555 10.92836111111111, 76.99047222222222 10.929611111111111)"
T.NO 25,,T,DD,28,24-25,142.1724305,5.31,377,"44°19'49""",76.99047222,10.92961111,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99047222222222 10.929611111111111, 76.99177777777778 10.931916666666666)"
T.NO 26,,T,DB,24,25-26,294.4961799,6.81,381,"13°15'56""",76.99177778,10.93191667,GOOD,GOOD,,"2nos POND,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99177777777778 10.931916666666666, 76.99375 10.934055555555556)"
T.NO 27,,T,DC,32,26-27,320.7319753,6.21,390,"22°3'9""",76.99375,10.93405556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99375 10.934055555555556, 76.99583333333334 10.935055555555556)"
T.NO 28,,T,DD,34,27-28,252.2478939,5.75,393,"50°27'43""",76.99583333,10.93505556,GOOD,GOOD,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99583333333334 10.935055555555556, 76.9961111111111 10.936083333333334)"
T.NO 29,,T,DD,34,28-29,118.3596215,6.82,395,"31°47'22""",76.99611111,10.93608333,GOOD,GOOD,LT,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9961111111111 10.936083333333334, 76.99722222222222 10.937166666666666)"
T.NO 30,,T,DB,24,29-30,171.1256848,5.13,395,"10°13'7""",76.99722222,10.93716667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99722222222222 10.937166666666666, 76.998 10.937666666666667)"
T.NO 31,,T,DD,28,30-31,102.9028668,7.27,397,"80°28'2""",76.998,10.93766667,GOOD,GOOD,2nos HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.998 10.937666666666667, 76.9978888888889 10.937916666666666)"
GANTRY-PODANUR 110kv SS,2W,,GANTRY,20,31-GANTRY,28.63564213,,398,,76.99788889,10.93791667,GOOD,MISSING,,,,110KV PODANUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
