Tower No,JOINT BOX,Tower Type,Tower Type (T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 176 LILO MULANUR 110KV SS,,T,DC,26,,,5.19,268.14801,,77.51963889,10.81858333,GOOD,GOOD,,,PLAIN,MULANUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51963888888889 10.818583333333333, 77.51986111111111 10.818777777777777)"
T.NO 69 DP,,,DP,15,176-69,31.69346125,,265.431213,,77.51986111,10.81877778,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51986111111111 10.818777777777777, 77.52038888888889 10.818638888888888)"
T.NO 68,,T,SB,24,69-68,60.07084906,6.15,270.265656,"7°1'14""",77.52038889,10.81863889,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52038888888889 10.818638888888888, 77.52230555555555 10.818)"
T.NO 67,,T,SB,24,68-67,220.4920154,5.85,269.461243,"7°4'40""",77.52230556,10.818,GOOD,GOOD,400kv,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52230555555555 10.818, 77.52488888888888 10.817472222222221)"
T.NO 66,,S,SA,26,67-66,289.1243289,4.95,268.500946,,77.52488889,10.81747222,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52488888888888 10.817472222222221, 77.52741666666667 10.816944444444443)"
T.NO 65,,S,SA,26,66-65,284.4202938,5.05,267,,77.52741667,10.81694444,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52741666666667 10.816944444444443, 77.52927777777778 10.816555555555556)"
T.NO 64,,T,SB,24,65-64,208.0793118,6.7,259,"11°28'38""",77.52927778,10.81655556,GOOD,GOOD,"HT,LT",MUD ROAD,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52927777777778 10.816555555555556, 77.53225 10.816500000000001)"
T.NO 63,,S,SA,26,64-63,324.0015432,4.2,259,,77.53225,10.8165,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53225 10.816500000000001, 77.53502777777777 10.816500000000001)"
T.NO 62,,S,SA,26,63-62,303.0016502,5.15,248,,77.53502778,10.8165,GOOD,GOOD,2nos HT,TAAR ROAD,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53502777777777 10.816500000000001, 77.53777777777778 10.816472222222224)"
T.NO 61,,S,SA,26,62-61,302,6.05,276,,77.53777778,10.81647222,GOOD,GOOD,"2nos HT,LT",MUD ROAD,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53777777777778 10.816472222222224, 77.54041666666666 10.816444444444445)"
T.NO 60,,S,SA,26,61-60,288,7.1,258,,77.54041667,10.81644444,GOOD,GOOD,,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54041666666666 10.816444444444445, 77.54313888888889 10.816444444444445)"
T.NO 59,,S,SA,26,60-59,298.0067113,4.8,248,,77.54313889,10.81644444,GOOD,GOOD,2nos HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54313888888889 10.816444444444445, 77.54591666666667 10.816416666666667)"
T.NO 58,,S,SA,26,59-58,304,5.95,251,,77.54591667,10.81641667,GOOD,GOOD,320KV,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54591666666667 10.816416666666667, 77.54869444444444 10.816416666666667)"
T.NO 57,,S,SA,26,58-57,304.0016447,5.25,255,,77.54869444,10.81641667,GOOD,GOOD,400kv,,CULITIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54869444444444 10.816416666666667, 77.55147222222222 10.816361111111112)"
