S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ERODE 110KV S/S,GT,GT,15,,,,179,,77.71658333333333,11.337472222222223,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71658333333333 11.337472222222223, 77.71630555555556 11.337333333333333)"
2,T.NO-113,T,DC,26,GT-113,34.88552708502482,1.2,179,"10°7'3"" ",77.71630555555556,11.337333333333333,GOOD,GOOD,LT,TAR ROAD -2,PLAIN BUSHES,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71630555555556 11.337333333333333, 77.71461111111111 11.336083333333335)"
3,T.NO-112,T,DC,26,113-112,230.41050323281706,2.5,180,,77.71461111111111,11.336083333333335,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD -2,PLAIN,INSIDE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71461111111111 11.336083333333335, 77.71275 11.334722222222222)"
4,T.NO-111,T,DC,26,112-111,252.20031720836514,3.7,184,"56°56'45"" ",77.71275,11.334722222222222,GOOD,GOOD,LT-1,MUD ROAD-1,PLAIN,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71275 11.334722222222222, 77.71022222222223 11.335666666666667)"
5,T.NO-110,T,DC,26,111-110,292.9607482240582,6.12,185,,77.71022222222223,11.335666666666667,GOOD,GOOD,"LT-2,11KV-2",TAR ROAD -2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71022222222223 11.335666666666667, 77.70758333333333 11.33663888888889)"
6,T.NO-109,T,DC,26,110-109,309.1100127786222,,186,,77.70758333333333,11.33663888888889,GOOD,GOOD,"LT-2,11KV-1",TAR ROAD -3,PLAIN,INSIDE  PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70758333333333 11.33663888888889, 77.70497222222222 11.33763888888889)"
7,T.NO-108,S,DA,26,109-108,306.88760157425713,6.78,184,,77.70497222222222,11.33763888888889,GOOD,GOOD,LT-2,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70497222222222 11.33763888888889, 77.7025 11.338555555555557)"
8,T.NO-107,S,DA,26,108-107,288.8615585362649,6.37,189,,77.7025,11.338555555555557,GOOD,GOOD,"LT-2,11KV-2","TAR ROAD-1,MUD ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7025 11.338555555555557, 77.69958333333334 11.339638888888889)"
9,T.NO-106,T,DC,26,107-106,341.0630440255877,5.4,190,,77.69958333333334,11.339638888888889,GOOD,GOOD,LT,,PLAIN, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69958333333334 11.339638888888889, 77.6965 11.340805555555557)"
10,T.NO-105,T,DC,26,106-105,360.02777670618696,4.74,192,,77.6965,11.340805555555557,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6965 11.340805555555557, 77.69336111111112 11.341944444444445)"
