Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-29,,T,DB,24,30-29,278.3522948,12.33,322,"14°37'52.92""",10.74258333,77.37441667,GOOD,GOOD,NO,2nos 22KV  ,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37441666666666 10.742583333333332, 77.37508333333332 10.740388888888887)"
T.NO-28,,S,DA,26,29-28,255.8612905,12.6,321,,10.74038889,77.37508333,GOOD,GOOD,NO,2nos 22KV  ,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37508333333332 10.740388888888887, 77.37575 10.73811111111111)"
T.NO-27,,S,DA,26,28-27,261.6811036,8.66,332,,10.73811111,77.37575,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37575 10.73811111111111, 77.37647222222222 10.735666666666665)"
T.NO-26,,S,DA,26,27-26,280.2641611,5.36,330,,10.73566667,77.37647222,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37647222222222 10.735666666666665, 77.37727777777778 10.733138888888888)"
T.NO-25,,S,DA,26,26-25,293.8043567,5.63,330,,10.73313889,77.37727778,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37727777777778 10.733138888888888, 77.37797222222221 10.730916666666667)"
T.NO-24,2W,T,DC,26,25-24,259.3260496,4.04,331,"18°16'31.24""",10.73091667,77.37797222,GOOD,GOOD,NO,2nos 22KV  ,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37797222222221 10.730916666666667, 77.37938888888888 10.728944444444444)"
T.NO-23,,T,DC,26,24-23,267.0299609,3.95,334,"15°27'19.99""",10.72894444,77.37938889,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37938888888888 10.728944444444444, 77.38013888888888 10.726916666666666)"
T.NO-22,,S,DA,26,23-22,239.2321049,3.63,341,,10.72691667,77.38013889,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38013888888888 10.726916666666666, 77.38133333333333 10.724222222222222)"
T.NO-21,,S,DA,26,22-21,324.6074552,3.49,341,,10.72422222,77.38133333,GOOD,GOOD,NO,"2nos LT,22KV",MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38133333333333 10.724222222222222, 77.38222222222221 10.721583333333333)"
T.NO-20,,T,DC,26,21-20,308.9741089,1.47,341,"15°38'14.83""",10.72158333,77.38222222,GOOD,GOOD,NO,,"CANAL, MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38222222222221 10.721583333333333, 77.38388888888889 10.719138888888889)"
