Tower No,JOINT BOX,Tower Type,Tower Type ,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,,SB,T,24,20-21,0.002544404,12.25,230.7146,"13d41'11""RT",11.63513728,77.80267056,GOOD,GOOD,230KV,,PLAIN,230KV MTPS II-GOBI THINGALUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80267056078385 11.635137280412176, 77.8048995579169 11.633461280790037)"
22,,SA,S,26,21-22,0.002137409,11.98,231.183807,,11.63346128,77.80489956,GOOD,GOOD,LT-4,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8048995579169 11.633461280790037, 77.80709955507987 11.631783281167952)"
23,,SA,S,26,22-23,0.002257913,9.87,240.43486,,11.63178328,77.80709956,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80709955507987 11.631783281167952, 77.80907455252783 11.630312281498423)"
24,,SA,S,26,23-24,0.002147403,9.18,239.925568,,11.63031228,77.80907455,GOOD,GOOD,LT-2,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80907455252783 11.630312281498423, 77.81122454974269 11.628676281866307)"
25,,SA,S,26,24-25,0.002189346,12.61,238.410126,,11.62867628,77.81122455,GOOD,GOOD,400KV,,PLAIN,400KV RASIPALAYAM TO PALLAVADI (325-326),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81122454974269 11.628676281866307, 77.81326354709589 11.627154282208842)"
26,,SA,S,26,25-26,0.002295405,6.36,238.235245,,11.62715428,77.81326355,GOOD,GOOD,,"CART TRUCK,NH1,ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81326354709589 11.627154282208842, 77.8149775448663 11.62587728249543)"
27,2W,SB,T,24,26-27,0.002613432,3.13,238.345459,"14d59'51""LT",11.62587728,77.81497754,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8149775448663 11.62587728249543, 77.81706854215471 11.625025282677766)"
28,,SA,S,26,27-28,0.002752424,2.06,235.900436,,11.62502528,77.81706854,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81706854215471 11.625025282677766, 77.81905853956836 11.624218282849984)"
29,,SA,S,26,28-29,0.002658013,6.89,231.101456,,11.62421828,77.81905854,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81905853956836 11.624218282849984, 77.82109053692193 11.62340328302441)"
30,,SA,S,26,29-30,0.002196741,1.56,226.581024,,11.62340328,77.82109054,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82109053692193 11.62340328302441, 77.82321753414536 11.62254028320877)"
31,,SC,T,26,30-31,0.002237628,2.85,231.503189," 18d9'32""LT",11.62254028,77.82321753,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82321753414536 11.62254028320877, 77.8258235307521 11.622343283229982)"
32,,SA,S,26,31-32,0.002544224,3.75,229.606125,,11.62234328,77.82582353,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8258235307521 11.622343283229982, 77.82856952716676 11.622155283247618)"
33,,SA,S,26,32-33,0.002670458,4.9,222.611267,,11.62215528,77.82856953,GOOD,GOOD,"LT-1,HT-1",ROAD-3,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82856952716676 11.622155283247618, 77.8312205236952 11.621962283267155)"
34,,SC,T,24,33-34,0.002718966,6.15,224.318359,,11.62196228,77.83122052,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8312205236952 11.621962283267155, 77.83341052081964 11.62179028328611)"
35,,SA,S,26,34-35,0.002579234,5.35,235.680176,"20d58'45""RT",11.62179028,77.83341052,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83341052081964 11.62179028328611, 77.83545251811688 11.620875283482938)"
36,,SA,S,26,35-36,0.002751899,5.05,228.821396,,11.62087528,77.83545252,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83545251811688 11.620875283482938, 77.83776951504255 11.619824283708605)"
37,,SA,S,26,36-37,0.001979384,3.33,227.825134,,11.61982428,77.83776952,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83776951504255 11.619824283708605, 77.84017051184695 11.618655283962115)"
38,,SB,T,24,37-38,0.002425653,4.56,228.730591," 13d47'39""LT",11.61865528,77.84017051,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84017051184695 11.618655283962115, 77.84284550829382 11.618168284050537)"
39,,SA,S,26,38-39,0.002522351,7.3,211.069916,,11.61816828,77.84284551,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84284550829382 11.618168284050537, 77.84536650493419 11.61762328415379)"
40,,SA,S,26,39-40,0.002452325,5.34,217.624115,,11.61762328,77.8453665,GOOD,GOOD,,CARTRUCK-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84536650493419 11.61762328415379, 77.84806550132818 11.617086284253434)"
41,2W,SD,T,28,40-41,0.002361769,3.45,214.41684," 47d22'34""RT",11.61708628,77.8480655,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84806550132818 11.617086284253434, 77.84910249990858 11.615400284643368)"
42,,SA,S,26,41-42,0.002358238,4.85,213.164764,,11.61540028,77.8491025,GOOD,GOOD,"HT-1,LT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84910249990858 11.615400284643368, 77.8503734981663 11.613334285120217)"
43,,SA,S,26,42-43,0.00221754,2.33,213.144379,,11.61333429,77.8503735,GOOD,GOOD,LT-3,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8503734981663 11.613334285120217, 77.85169249635543 11.611184285617288)"
44,,SB,T,24,43-44,0.002933784,6.15,215.16777,,11.61118429,77.8516925,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85169249635543 11.611184285617288, 77.85298349458077 11.609099286098683)"
45,,SA,S,26,44-45,0.002415516,5.4,220.570496," 13d6'37""LT",11.60909929,77.85298349,GOOD,GOOD,LT-3,ROAD-1`,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85298349458077 11.609099286098683, 77.85464449231515 11.607420286479602)"
46,,SA,S,26,45-46,0.002476896,4.9,223.50293,,11.60742029,77.85464449,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85464449231515 11.607420286479602, 77.85630249004947 11.605743286860772)"
47,,SA,S,26,46-47,0.002444094,9.27,227.0755,,11.60574329,77.85630249,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85630249004947 11.605743286860772, 77.85785948791793 11.604164287219199)"
48,,SA,S,26,47-48,0.002443515,1.57,233.072327,,11.60416429,77.85785949,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85785948791793 11.604164287219199, 77.85993548507075 11.602091287689229)"
