Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation   (m),Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
146/1 Arasur  lilo ,,T ,26,,,3,283,,11.198466,77.441775,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.441775 11.198466, 77.440975 11.199959)"
2,,T ,26,146/1 lilo to 2,186.9268571,3.2,286,"6°30'5"" LT",11.199959,77.440975,GOOD,GOOD,LT - 1,Tar Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.440975 11.199959, 77.439898 11.201513)"
3,,T,24,2 to 3,208.3874763,3.5,289,"11°14'10"" LT",11.201513,77.439898,GOOD,GOOD,LT - 1,Sand Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.439898 11.201513, 77.438447 11.202915)"
4,,S,26,3 to 4,221.8329714,4.1,292,,11.202915,77.438447,GOOD,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.438447 11.202915, 77.437197 11.204038)"
5,,S,26,4 to 5,184.6616509,3.6,294,,11.204038,77.437197,GOOD,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.437197 11.204038, 77.435712 11.205448)"
6,,T ,24,5 to 6,225.1144485,4.5,297,"1°24'24"" RT",11.205448,77.435712,GOOD,GOOD,11 KV -1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.435712 11.205448, 77.433881 11.207274)"
7,,T ,24,6 to 7,284.3602828,4.2,297,"5°53'40"" LT",11.207274,77.433881,GOOD,GOOD,"LT - 1 , 11 Kv -1",Tar road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.433881 11.207274, 77.433231 11.207801)"
8,,T ,24,7 to 8,91.89883515,5.3,298,"4°4'58"" RT",11.207801,77.433231,GOOD,GOOD,,Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.433231 11.207801, 77.432636 11.208358)"
9,,T ,26,8 to 9,89.58902959,3.8,299,"21°7'39"" LT",11.208358,77.432636,GOOD,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.432636 11.208358, 77.431584 11.208785)"
10,,T ,24,9 to 10 ,124.2780291,4.7,300,"0°21'6"" RT",11.208785,77.431584,GOOD,GOOD,,Tar road,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.431584 11.208785, 77.430199 11.209357)"
11,,T ,26,10 to 11,164.0336607,3.4,303,"20°13'53"" LT",11.209357,77.430199,GOOD,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.430199 11.209357, 77.429212 11.209399)"
12,,T ,26,11 to 12,107.940873,6.7,305,"27°46'13"" LT",11.209399,77.429212,GOOD,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.429212 11.209399, 77.42825 11.20895)"
70/13 Kunnathur lilo,,T ,26,12 to 70/13 lilo,116.2628472,7.1,307,,11.20895,77.42825,GOOD,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
